Study,Summary,Ground Truth,Model,Predictions,Filtered Predictions
ELICIT Randomized Controlled Trial,The Early Life Interventions for Childhood Growth and Development in Tanzania (ELICIT) study was a randomized controlled trial evaluating the efficacy of antimicrobials and nicotinamide in increasing growth. Infants aged 0-14 days old with no significant birth defects or neonatal illness were enrolled with their mothers and assigned to one of 4 intervention arms in a 2 x 2 factorial trial design. Participants were followed for 18 months.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Randomized controlled trial, Growth, Infants",
GEMS1A HUAS Lite Survey,"The Global Enteric Multicenter Study (GEMS) 1A HUAS Lite surveys were 2 community-based Healthcare Services Utilization and Attitudes Surveys (HUAS Lite and HUAS Lite - Kenya) conducted in conjunction with the GEMS1A case control study. This cross-sectional survey provides data on where parents seek care when their children have diarrheal disease, and their attitudes and practices concerning diarrhea, its prevention, and treatment.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Public health and epidemiology, Gastroenterology, Pediatrics","Gastroenterology, Public health and epidemiology"
SCORE Five Country CCA Evaluation Cross-sectional,"The Schistosomiasis Consortium for Operational Research and Evaluation (SCORE) supported the evaluation of a commercial point-of-care circulating cathodic antigen (POC-CCA) test for assessing Schistosoma mansoni infection prevalence in areas at risk in 5 countries- Cameroon, Côte d'Ivoire, Ethiopia, Kenya, and Uganda. The study concluded that one urine POC-CCA test can replace Kato-Katz testing for community-level S. mansoni prevalence mapping.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Infectious disease, Public health and epidemiology","Parasitology, Infectious disease, Public health and epidemiology"
SCORE Seasonal Transmission S. haematobium Cluster Randomized Trial,"In order to assess the impact of different control strategies against Schistosoma haematobium in seasonal transmission foci in Côte d'Ivoire, villages were randomly assigned to four intervention arms comparing annual mass drug administration (MDA) before (arm 1) or after (arm 2) the peak transmission, biannual treatment with praziquantel before and after the peak transmission season (arm 3), and annual MDA before the peak transmission season, coupled with focal chemical snail control using molluscicides (arm 4). The primary outcome was change in prevalence and intensity of S. haematobium infection in each of the three study population age groups over the study period. In the first year follow-up survey, a significant decrease of S. haematobium prevalence was observed in all study arms.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Infectious disease, Epidemiology","Parasitology, Infectious disease"
LLINEUP Cluster Randomized Trial,"The LLIN Evaluation in Uganda Project (LLINEUP), a pragmatic cluster-randomized trial embedded in the 2017-2018 long-lasting insecticidal net (LLIN) national distribution campaign, evaluated the effect of LLINs with and without piperonyl butoxide on malaria indicators in 104 health sub-districts (clusters) in Eastern and Western Uganda. Cross-sectional community surveys were conducted at baseline and at 6, 12, 18, and 25 months following LLIN distribution in ~50 randomly selected households per cluster; all children aged 2-10 years from enrolled households were assessed for malaria parasites, and a subset of 5-10 households per cluster were randomly selected for entomology surveys. To assess net integrity and chemical composition, 100 of each LLIN net type were withdrawn and replaced from selected households enrolled in the community surveys after 12 and 25 months.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Parasitology, Public health and epidemiology","Parasitology, Public health and epidemiology"
GEMS1 Case Control,"The Global Enteric Multi-Center Study (GEMS) was a prospective, multi-center, case-control study of acute diarrhea in children 0-59 months of age. Each site recruited cases with severe diarrhea from hospitals or ambulatory facilities and up to three matched community controls per case. Participants were assessed at enrollment and at a 60-day follow-up visit.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Pediatrics, Epidemiology",Infectious disease
PROMOTE Birth Cohort 3 Randomized Controlled Trial,"A double-blind randomized controlled trial of monthly intermittent preventive treatment of malaria (IPTp) in HIV-uninfected pregnant women and infants with sulfadoxine-pyrimethamine (SP) vs dihydroartemisinin-piperaquine (DP). In cases where a woman had twins, find 2 records per woman, one for each infant, for visit post-partum visits.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Clinical medicine, Infectious disease, Gynaecology and obstetrics","Infectious disease, Gynaecology and obstetrics"
SCORE Rwanda Mapping Cross-sectional,The Schistosomiasis Consortium for Operational Research and Evaluation (SCORE) supported the mapping of Schistosoma mansoni prevalence in Rwanda to determine the feasibility of moving toward elimination. A national survey of Rwandan schoolchildren used two detection methods: the field standard Kato-Katz (KK) test to detect parasite eggs in stool and the more sensitive circulating cathodic antigen (CCA) rapid assay to detect schistosome antigen in urine. The results indicate that S. mansoni infection is still widespread in Rwanda and prevalence is much underestimated by KK testing.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Epidemiology, Public health and epidemiology","Parasitology, Public health and epidemiology"
Amazonia ICEMR Brazil Cohort,"A longitudinal cohort study of malaria was conducted in the Brazilian Amazon. All residents >3 months of age were recruited to the open cohort with visits every 4-6 months. Household data was collected twice, but participants may have changed households at any study visit. Note that data subsets based on participant or sample variables will only include the first household a participant belonged to.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Infectious disease, Public health and epidemiology","Infectious disease, Public health and epidemiology"
Bangladesh Cryptosporidium Cohort,The Bangladesh Cryptosporidium Cohort prospectively observed rural and slum-dwelling children during bi-weekly household visits and work-up of diarrheal stools and monthly surveillance stools for cryptosporidium to determine the incidence and contribution to disease of the different species and genotypes of cryptosporidia.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Infectious disease, Epidemiology","Parasitology, Infectious disease"
India ICEMR Cross-sectional,A cross-sectional study of malaria in different transmission settings was conducted in India. Participants of all ages were randomly identified from household censuses that were conducted and surveyed once. Participants had follow-up visits if they were positive for Plasmodium at the first visit.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Infectious disease, Microbiology","Infectious disease, Microbiology"
Southern Africa ICEMR Cross-sectional,"A cross-sectional study of malaria in different transmission settings was conducted in Zambia and Zimbabwe. Households were randomly surveyed, and all participants within a household were eligible for enrollment.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Infectious disease, Public health and epidemiology","Parasitology, Infectious disease, Public health and epidemiology"
Amazonia ICEMR Peru Cohort,A longitudinal cohort study of malaria was conducted at two sites in the Peruvian Amazon. Residents 3 years or older who planned to remain within the study area over the next two years were recruited. Participants were visited roughly every 3 months.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Infectious disease, Longitudinal study",Infectious disease
India ICEMR DAMaN Quasi-experimental Stepped-wedge,"A cluster-assigned quasi-experimental stepped-wedge study with a pretest-posttest control group design was conducted in Odisha, India to evaluate if malaria camps reduce the prevalence of malaria compared to control villages which receive the usual malaria control interventions (e.g. IRS, ITNs), as detected by PCR.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Comparative genomics, Infectious disease, Public health and epidemiology","Infectious disease, Public health and epidemiology, Comparative genomics"
WASH Benefits Bangladesh Cluster Randomized Trial,"WASH Benefits Bangladesh was a cluster-randomized trial that assessed improvements in water quality, sanitation, handwashing (WASH interventions) and child nutrition on the primary outcomes of child growth and diarrhea. Geographically matched clusters (groups of household compounds) were randomized to one of six intervention arms (1. water quality, 2. sanitation, 3. handwashing, 4. nutrition, 5. combined water quality + sanitation + handwashing, and 6. combined water quality + sanitation + handwashing + nutrition) or control. Newborns from rural households in Bangladesh were enrolled, and outcomes were measured at 12 and 24 months after intervention delivery.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Child nutrition, Diarrhea, Water quality",
SCORE S. mansoni Kenya and Tanzania Cohort,"Multi-country, cluster-randomized trials compared the effectiveness of community-wide and school-based treatment regimens on prevalence and intensity of schistosomiasis. To assess the impact of two different treatment schedules on S. mansoni-associated morbidity in children, cohort studies were nested within the randomized trials conducted in villages in Kenya and Tanzania. These cohort studies used selected markers to monitor changes in a suite of schistosomiasis disease outcomes.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Epidemiology, Pediatrics",Parasitology
SCORE Mozambique S. haematobium Cluster Randomized Trial,"The SCORE S. haematobium studies in Mozambique were community-level, cluster-randomized control trials designed to understand the impact of different schistosomiasis treatment strategies involving community-wide treatment, school-based treatment, and treatment holidays over a five-year period. Major outcomes were prevalence and intensity of schistosomiasis among 9 to 12 year old children, the highest risk group, at the end of the study. Four rounds of treatment, regardless of whether it was given in the community or school, resulted in a significantly greater reduction of S. haematobium prevalence than two rounds of treatment over a five-year period.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Epidemiology, Clinical trials",Parasitology
SCORE S. mansoni Cluster Randomized Trial,"The SCORE S. mansoni studies in Côte d'Ivoire, Kenya and Tanzania were community-level, cluster-randomized control trials designed to test optimal mass drug administration (MDA) regimens to control schistosomiasis. Villages with >10% S. mansoni prevalence were randomized to study arms that received a praziquantel MDA regimen that varied in the venue of MDA- either community-based or school-wide, and in the presence or absence of drug holidays during the four study years. Major outcomes were prevalence and intensity of schistosomiasis among 9 to 12 year old children, the highest risk group, at the end of the study.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Epidemiology, Public health and epidemiology","Parasitology, Public health and epidemiology"
Jilinde Prospective Cohort,"The Jilinde (Bridge to Scale) project is implementing oral pre-exposure prophylaxis (PrEP) as a routine service for HIV prevention at a public health scale in Kenya. This prospective cohort study and accompanying qualitative data are part of the evaluation of the Bridge to Scale Program for Oral Pre-Exposure Prophylaxis Delivery among Key Populations, Adolescent Girls and Young Women (AGYW) in Kenya.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Public health and epidemiology, HIV prevention, Adolescent Girls and Young Women (AGYW) in Kenya",Public health and epidemiology
MORDOR Cluster Randomized Trial,"The Mortality Reduction After Oral Azithromycin (MORDOR) study in Niger was a community-level cluster-randomized, placebo controlled trial designed to evaluate the role of mass azithromycin treatments as an intervention for reducing childhood morbidity and mortality. 594 communities were randomized to azithromycin or placebo arms and children aged 1-59 months were treated every 6 months for 2 years.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Clinical trial, Epidemiology, Pediatrics",
SCORE Zanzibar S. haematobium Cluster Randomized Trial,"The Zanzibar Elimination of Schistosomiasis Transmission (ZEST) project aimed to assess biannual mass drug administration (MDA) applied alone or with complementary snail control or behavior change interventions for the reduction of Schistosoma haematobium prevalence and infection intensity in children from Zanzibar and to compare the effect between the clusters. Major outcomes were prevalence and intensity of schistosomiasis among 9 to 12 year old children, the highest risk group, at the end of the study. The study found that prevalence was significantly reduced in all study arms, but transmission was not interrupted.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Parasitology, Public health and epidemiology","Infectious disease, Public health and epidemiology, Parasitology"
Myanmar ICEMR Malaria Cohort,A longitudinal cohort study of malaria was conducted in Myanmar. Participants >6 months of age were recruited and followed every 2-4 weeks for up to 4 weeks for uninfected individuals and up to 12 weeks for infected individuals. Dried blood spot samples were collected and analyzed by ultra sensitive PCR.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Infectious disease, Microbiology, Molecular biology","Infectious disease, Molecular biology, Microbiology"
Namibia rfMDA RAVC Cluster Randomized Trial - EDA data for QA,"A cluster-randomized control trial of reactive focal mass drug administration (rfMDA) and reactive focal vector control (RAVC) to reduce malaria transmission was performed in Namibia. Individuals residing within 500 meters of an index case were recruited. Participant observations were assessed at enrollment and at the endline cross-sectional survey, and data on the cumulative incidence of locally acquired malaria cases (the primary outcome) were extracted from health care facility rapid reports.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Epidemiology, Infectious disease, Public health and epidemiology","Infectious disease, Public health and epidemiology"
LEDoxy Randomized Controlled Trial,"LEDoxy is a double-blind, placebo-controlled study designed to investigate the impact of six weeks treatment with doxycycline added to standard limb hygiene on early stage filarial lymphoedema in five sites in Africa and the Indian subcontinent.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Parasitology, Infectious disease, Tropical medicine","Parasitology, Infectious disease, Tropical medicine"
VIDA HUCS Kenya Survey,"During the course of the Vaccine Impact on Diarrhea in Africa (VIDA) study, a Health care Utilization and Coverage Survey (HUCS) was conducted semiannually as part of the Demographic Surveillance System (DSS) at each VIDA study site. In Kenya, the HUCS questions were administered to the primary caretakers of all age-eligible children during each DSS round. The goal of the survey was to assess rotavirus vaccine coverage and to determine where children in the DSS seek care for moderate-to-severe diarrhea.","Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Vaccinology, Gastroenterology, Public health and epidemiology","Gastroenterology, Vaccinology, Public health and epidemiology"
PROVIDE Randomized Controlled Trial,The Performance of Rotavirus and Oral Polio Vaccines in Developing Countries (PROVIDE) study was a randomized controlled trial evaluating oral vaccine efficacy in Bangladesh. Infants aged 0-7 days old with no congenital abnormalities or birth defects and no abnormal stools since birth were enrolled with their mothers and assiged to one of 4 intervention arms in a 2 x 2 factorial trial design. Participants were followed for two years. A visual depiction of collection timpoints for various data types can be found below.,"Infectious disease, Public health and epidemiology, Preclinical and clinical studies",gpt-3.5-turbo,"Vaccinology, Clinical trials, Developing countries",Vaccinology
