Name,Description,Model,Predictions
Crypto-C. parvum high-content imaging proliferation (Wild Cp),"Phenotypic high-content imaging-based high-throughput screen against the protozoan pathogen C. parvum to find new small molecule inhibitors of Cryptosporidium, which causes diarrheal disease in humans.
Purpose
This is a secondary assay for hits active against C. parvum IOWA (Sterling and Bunch Grass Farm strains). Cryptosporidium parvum and the related species Cryptosporidium hominis cause diarrheal disease in humans. The current standard of care is ineffective in patients most at risk of cryptosporidiosis. This is a confirmatory secondary high-content imaging-based high-throughput screen of the hits from the full deck against the protozoan pathogen Cryptosporidium parvum. The assay measures inhibition of parasite proliferation within the human ileocecal colorectal adenocarcinoma cell line HCT-8; a commonly used cell line for studying Cryptosporidium spp. in vitro. HCI detection of this cell-based assay allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity.
Protocol
This specific ID is for field isolates of C. parvum, which were isolated from naturally infected calves at Washington State University by the Zambriski lab. For the assay, HCT-8 cells are seeded into 1536-well clear-bottom plates and incubated at 37C. 24 hours later, compounds are transferred (1.88 uM for primary screening and 25 uM top concentration for dose-response), and then excysted Cryptosporidium sporozoites and oocysts are dispensed onto cells. 48 hours later, cells are fixed with 4% paraformaldehyde. Cells are then washed, permeabilized with 0.25% Triton X-100 in PBS, blocked with SuperBlock (Thermo), and finally stained with a 1:10 dilution of Superblock with 1ug/mL FITC-tagged Vicia Villosa lectin and 3uM DAPI nuclear stain. Cells are then washed with PBS-T to remove residual stain and plates are sealed with aluminum adhesive seals. Plates are imaged (10x objective) on the CX5 Cellomics imager using the SpotDetector algorithm. Compounds that inhibit Cryptosporidium proliferation by >= 70% and do not inhibit HCT-8 growth by more than 40% are picked for dose response testing.
Readout
High-content imaging; normalized to neutral control minus inhibitor.
Detection Method
high-content imaging; nitazoxanide and floxuridine are used as positive controls, and dmso is the neutral control. spot counts are normalized by neutral controls minus inhibitors.
Detection Reagents
FITC 485/521
Components
C. parvum; HCT-8 cells; Detection reagent
Drug Concetration
2  Ã‚ÂµM",gpt-3.5-turbo,Parasitology	Zoology	Pharmacology
Crypto-C. hominis high-content imaging proliferation,"Phenotypic high-content imaging-based high-throughput screen against the protozoan pathogen C. parvum to find new small molecule inhibitors of Cryptosporidium, which causes diarrheal disease in humans.
Purpose
This is a secondary assay for hits active against C. parvum IOWA (Sterling and Bunch Grass Farm strains). Cryptosporidium parvum and the related species Cryptosporidium hominis cause diarrheal disease in humans. The current standard of care is ineffective in patients most at risk of cryptosporidiosis. This is a confirmatory secondary high-content imaging-based high-throughput screen of the hits from the full deck against the protozoan pathogen Cryptosporidium parvum. The assay measures inhibition of parasite proliferation within the human ileocecal colorectal adenocarcinoma cell line HCT-8 (ATCC Number?; a commonly used cell line for studying Cryptosporidium spp. in vitro. HCI detection of this cell-based assay allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity.
Protocol
This specific ID is for C. hominis (TU502), which has been routinely passaged through neonatal gnotobiotic piglets at Tufts University by the Tzipori lab. For the assay, HCT-8 cells are seeded into 1536-well clear-bottom plates and incubated at 37C. 24 hours later, compounds are transferred (1.88 uM for primary screening and 25 uM top concentration for dose-response), and then excysted Cryptosporidium sporozoites and oocysts are dispensed onto cells. 48 hours later, cells are fixed with 4% paraformaldehyde. Cells are then washed, permeabilized with 0.25% Triton X-100 in PBS, blocked with SuperBlock (Thermo), and finally stained with a 1:10 dilution of Superblock with 1ug/mL FITC-tagged Vicia Villosa lectin and 3uM DAPI nuclear stain. Cells are then washed with PBS-T to remove residual stain and plates are sealed with aluminum adhesive seals. Plates are imaged (10x objective) on the CX5 Cellomics imager using the SpotDetector algorithm. Compounds that inhibit Cryptosporidium proliferation by >= 70% and do not inhibit HCT-8 growth by more than 40% are picked for dose response testing.
Readout
High-content imaging; normalized to neutral control minus inhibitor.
Detection Method
high-content imaging; nitazoxanide and floxuridine are used as positive controls, and dmso is the neutral control. spot counts are normalized by neutral controls minus inhibitors.
Detection Reagents
FITC 485/521
Components
C. hominis (TU502); HCT-8 cells; Detection reagent
Drug Concetration
2  Ã‚ÂµM",gpt-3.5-turbo,Microbiology	Molecular biology	Drug discovery
Crypto-HCT-8 Host Cells (Wild C. parvum),"Cell-based assay which allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity using high-content imaging detection
Purpose
This is a secondary assay for hits active against C. parvum IOWA (Sterling and Bunch Grass Farm strains). Cryptosporidium parvum and the related species Cryptosporidium hominis cause diarrheal disease in humans. The current standard of care is ineffective in patients most at risk of cryptosporidiosis. This is a concomitant readout from the high-content imaging-based high-throughput screen of the full deck against the protozoan pathogen Cryptosporidium parvum. HCI detection of this cell-based assay allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity.
Protocol
This specific ID is for HCT-8 host cells infected with field isolates of C. parvum, which were isolated from naturally infected calves at Washington State University by the Zambriski lab. For the assay, HCT-8 cells are seeded into 1536-well clear-bottom plates and incubated at 37C. 24 hours later, compounds are transferred (1.88 uM for primary screening and 25 uM top concentration for dose-response), and then excysted Cryptosporidium sporozoites and oocysts are dispensed onto cells. 48 hours later, cells are fixed with 4% paraformaldehyde. Cells are then washed, permeabilized with 0.25% Triton X-100 in PBS, blocked with SuperBlock (Thermo), and finally stained with a 1:10 dilution of Superblock with 1ug/mL FITC-tagged Vicia Villosa lectin and 3uM DAPI nuclear stain. Cells are then washed with PBS-T to remove residual stain and plates are sealed with aluminum adhesive seals. Plates are imaged (10x objective) on the CX5 Cellomics imager using the SpotDetector algorithm. Compounds that inhibit Cryptosporidium proliferation by >= 70% and do not inhibit HCT-8 growth by more than 40% are picked for dose response testing.
Readout
After 48 hours, the infected cells are fixed, stained, and imaged. Cell count is the readout. Can you provide more information about the staining procedure, stains and algorithm used to quantify?
Detection Method
high-content imaging; puromycin is used as a positive control, and dmso is the neutral control. selected object counts are normalized by neutral controls minus inhibitors.
Detection Reagents
DAPI 386/440
Components
C. parvum-infected HCT-8 host cells; Detection reagent
Drug Concetration
2  Ã‚ÂµM",gpt-3.5-turbo,Cell biology  	Bioinformatics  	Microbiology
Crypto-HCT-8 Host Cells (C. hominis),"Cell-based assay which allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity using high-content imaging detection
Purpose
This is a secondary assay for hits active against C. parvum IOWA (Sterling and Bunch Grass Farm strains). Cryptosporidium parvum and the related species Cryptosporidium hominis cause diarrheal disease in humans. The current standard of care is ineffective in patients most at risk of cryptosporidiosis. This is a concomitant readout from the high-content imaging-based high-throughput screen of the full deck against the protozoan pathogen Cryptosporidium parvum. HCI detection of this cell-based assay allows for concomitant measurement of Cryptosporidium parasite inhibition and host cell cytotoxicity.
Protocol
This specific ID is for HCT-8 host cells infected with C. hominis (TU502), which has been routinely passaged through neonatal gnotobiotic piglets at Tufts University by the Tzipori lab. For the assay, HCT-8 cells are seeded into 1536-well clear-bottom plates and incubated at 37C. 24 hours later, compounds are transferred (1.88 uM for primary screening and 25 uM top concentration for dose-response), and then excysted Cryptosporidium sporozoites and oocysts are dispensed onto cells. 48 hours later, cells are fixed with 4% paraformaldehyde. Cells are then washed, permeabilized with 0.25% Triton X-100 in PBS, blocked with SuperBlock (Thermo), and finally stained with a 1:10 dilution of Superblock with 1ug/mL FITC-tagged Vicia Villosa lectin and 3uM DAPI nuclear stain. Cells are then washed with PBS-T to remove residual stain and plates are sealed with aluminum adhesive seals. Plates are imaged (10x objective) on the CX5 Cellomics imager using the SpotDetector algorithm. Compounds that inhibit Cryptosporidium proliferation by >= 70% and do not inhibit HCT-8 growth by more than 40% are picked for dose response testing.
Readout
High-content imaging; normalized to neutral control minus inhibitor.
Detection Method
high-content imaging; puromycin is used as a positive control, and dmso is the neutral control. selected object counts are normalized by neutral controls minus inhibitors.
Detection Reagents
DAPI 386/440
Components
C. hominis-infected HCT-8 host cells; Detection reagent
Drug Concetration
2  Ã‚ÂµM",gpt-3.5-turbo,Cell biology	Drug discovery	Parasitology
Promega CellTiter-Glo Luminescent Cell Viability Assay on Pathogenic Acanthamoeba castellanii,"Promega CellTiter-Glo Luminescent Cell Viability Assay on Pathogenic Acanthamoeba castellanii
Purpose
Acanthamoeba species cause a 95 % fatal brain disease known as Granulomatous Amebic Encephalitis (GAE). Current therapeutics are not effective as they were never optimised as amoebacidal drugs, they are currently used because they have been identified to have some level of activity against these opportunistic parasites. Identification of new drugs and or scaffolds would significantly improve the field for research and or treatments. Amoebae viability is measured by Promega's CellTiter-Glo 2.0.
Protocol
Calibr plates were prespotted with drug and sent frozen to UGA. Plates were allowed to thaw at room temperature overnight. Plates were centrifuged at 4000 rpm for 1 minute. Using the Biomek NXP 40 ¬µl of 1.5x104 cells/ml A. castellanii were seeding into 384 well white, TC treated plates (Corning 3570 flat bottom) and incubated for 72 hours. At the 72 hour time point 10 ¬µl of Promega's CellTiter-Glo 2.0 was added to every well. Plates were shaken for 2 minutes to induce cell lysis and left to sit for 10 minutes to stabilise the luminescent signal. The luminescent signal was read using the SpectraMax I3X system (Molecular Devices).
Readout
Luminescence (High sensitivity), Normalized to neutral control minus inhibitor
Detection Method
luminescence
Detection Reagents
Promega's CellTiter-Glo 2.0
Components
Acanthamoeba castellanii (ATCC 50370) - Human eye infection, New York, NY, 1978.
Drug Concetration
5  Ã‚ÂµM",gpt-3.5-turbo,Microbiology\tDrug discovery\tInfectious disease
Promega CellTiter-Glo Luminescent Cell Viability Assay on Pathogenic Naegleria fowleri,"Promega CellTiter-Glo Luminescent Cell Viability Assay on Pathogenic Naegleria fowleri
Purpose
Naegleria fowleri cause a 97 % fatal brain disease known as Primary Amoebic Meningoencephalitis (PAM). Current therapeutics are not effective as they were never optimised as amoebacidal drugs, they are currently used because they have been identified to have some level of activity against these opportunistic parasites. Identification of new drugs and or scaffolds would significantly improve the field for research and or treatments. Amoebae viability is measured by Promega's CellTiter-Glo 2.0.
Protocol
Calibr plates were prespotted with drug and sent frozen to UGA. Plates were allowed to thaw at room temperature overnight. Plates were centrifuged at 4000 rpm for 1 minute. Using the Biomek NXP 40 ¬µl of 7.5x104 cells/ml N. fowleri were seeding into 384 well white, TC treated plates (Corning 3570 flat bottom) and incubated for 72 hours. At the 72 hour time point 10 ¬µl of Promega's CellTiter-Glo 2.0 was added to every well. Plates were shaken for 2 minutes to induce cell lysis and left to sit for 10 minutes to stabilise the luminescent signal. The luminescent signal was read using the SpectraMax I3X system (Molecular Devices).
Readout
neutral control minus inhibitor
Detection Method
luminescence
Detection Reagents
Promega's CellTiter-Glo 2.0
Components
Naegleria fowleri (ATCC 30215) - 9 year old boy, Adelaide, South Australia, 1969.
Drug Concetration
5  Ã‚ÂµM",gpt-3.5-turbo,Parasitology	Population genetics	Drug discovery
Shigella flexneri growth inhibition,"Screen for inhibitors of Shigella flexneri growth
Purpose
This assay looks for lead compounds for antibiotics directed against Shigella flexneri. Drug-resistant S. flexneri has been designated a ‚ÄúSerious Threat‚Äù by the CDC. We expect to identify compounds that inhibit growth of S. flexneri in vitro in the initial screen, and will use secondary screens to determine which hits are viable for further study.
Protocol
S. flexneri 2457T are grown overnight in batch culture in LB. The OD600 is read and the culture is diluted to 0.002. 50 ¬µl of the diluted culture is dispensed manually into pre-spotted plates using a multi-channel pipetter. Plates are incubated overnight at 37 ¬?C. OD600 for each well is read in a SoftMax Pro Microplate reader (Molecular Devices).

Readout
OD600 measured in a plate reader and normalized to untreated wells.
Detection Method
od600
Detection Reagents
none
Components
Shigella flexneri 2a 2457T
Drug Concetration
10 Ã‚ÂµM",gpt-3.5-turbo,Antimicrobial Resistance    Computational biology     Drug discovery
SigmaE-Hfq inhibition,"Screen for inhibitors of the sigmaE-Hfq gene regulation pathway in Gram-negative bacteria
Purpose
This assay simultaneously looks for inhibitors of two key steps in the SigmaE-Hfq pathway: transcription by SigmaE and inhibition of translation by Hfq in conjunction with the RybB sRNA. SigmaE is a stress-inducible subunit of RNA polymerase and is required for viability and/or virulence in many Gram-negative pathogens. Hfq binds to sRNAs and facilitates their interaction with target mRNA, most often leading to inhibition of target gene expression. Hfq is required for virulence in many pathogens. Small molecular inhibitors of Hfq are expected to act as virulence inhibitors. SigmaE inhibitors are expected to result in growth inhibition of pathogens in which SigmaE is required for viability and virulence inhibitors for pathogens in which SigmaE is required for virulence.  An assay strain that does not produce SigmaE and RybB will be used as a positive control.
Protocol
Grow overnight (O/N) cultures of screening and control strains in LB at 37¬?C in batch culture. Inoculate O/N cultures into fresh LB in flasks to OD600 = 0.02. Grow cultures at 37 ¬?C with aeration to OD600 = 0.2 (1.5 to 2 h). Add IPTG to 1 mM final concentration to induce rpoE expression. Transfer 50 ¬µl of the screening strain to 96-well plates except for well A1, transfer 50 ¬µl control strain to well A1. Adhere sealing film and incubate at 37 ¬?C without shaking for 45 min in humid chamber. Add AHT to final concentration of 100 ng/ml and seal with new sealing film. Incubate at 37 ¬?C for 1 h in humid chamber. Add 50 ¬µl Bright-Glo Reagent (Promega) to each well using a multi-channel pipette. Seal plates and then mix on Vortex Genie setting 9 for 30 s, and l centrifuge using an Allegra centrifuge (Beckman). Incubate plates at room temp for 10 min and measure luminescence using a SpectraMax i3 (Molecular Devices).

Readout
Luminescence was measured and normalized to a range extending from the average of DMSO-treated wells (0%) to the average of wells treated with 10 uM KKL-35 (100%)
Detection Method
luminescence
Detection Reagents
Bright-Glo Reagent (Promega)
Components
E. coli
Drug Concetration
10  Ã‚ÂµM",gpt-3.5-turbo,Drug discovery   Computational biology   Microbiology
Giardia 1536w Luciferase Assay,"Identification of inhibitors of Giardia lamblia trophozoite proliferation in axenic culture via luminescence assay.
Purpose
Giardia lamblia is one of the most common parasitic human pathogens globally, causing diarrheal disease in humans. There are reports of resistance against the current first line drugs, creating a need for additional therapies or drugs that have cross reactivity against other diarrheal pathogens. This is a 1536-well 48 hour luminescence-based assay to determine growth inhibition of ReFRAME compounds against Giardia lamblia trophozoites.
Protocol
Compounds are pre-spotted in to dry 1536 white, TC treated plates at a 5uM final screening concentration. Dispense 5 uL of 250 trophs/uL (1250 trophs per well) in modified TYI-S-33 media supplemented with 10% FBS in to the plates. Cover each plate with a plastic lid and place into a Bio Bag type A. Seal bag and activate anaerobic generator and incubate for 48hrs at 37deg Celsius. Following incubation period, dispense 5uL of BacTiterGlo and wait 5-10 minutes prior to reading on the Perkin Elmer Viewlux with medium sensitivity luminescence at 30 seconds exposure. Compounds that inhibited growth >= 50% were tested in dose-response reconfirmation with a top concentration of 25 uM.
Readout
Luminescence-based, Normalized by neutral controls minus inhibitors
Detection Method
bactiter-glo luminescent microbial cell viability assay is used to measure atp as a surrogate marker for bacterial viability. metronidazole and nitazoxanide are used as positive controls (40um); dmso is the neutral control. signal is normalized by neutral controls minus inhibitors (20 um nitazoxanide).
Detection Reagents
Metronidazole and nitazoxanide are used as positive controls (40uM); DMSO is the neutral control.
Components
Giardia lamblia (GS clone H7) trophozoites; BacTiter-Glo
Drug Concetration
5  Ã‚ÂµM",gpt-3.5-turbo,Antimicrobial Resistance	Molecular biology	Parasitology
Identification of inhibitors of multiplication in cultured cells of the prototypic mammarenavirus lymphocytic choriomeningitis virus (LCMV),"Identification of inhibitors targeting any of the steps of multiplication in cultured cells of the prototypic mammarenavirus lymphocytic choriomeningitis virus (LCMV).
Purpose
Several mammarenaviruses, chiefly Lassa virus (LASV) in West Africa, cause hemorrhagic fever (HF) disease in humans and pose a serious public health problem in their endemic regions. Thus, LASV infects several hundred thousand individuals yearly in West Africa resulting in a high number of Lassa fever (LF) cases associated with high morbidity and mortality. Notably, increased traveling to and from endemic regions has led to the importation of LF into non-endemic metropolitan areas around the globe. In addition, evidence indicates that the worldwide-distributed prototypic mammarenavirus LCMV is a neglected important human pathogen of clinical significance. Moreover, because their stability, high morbidity and potential for aerosol transmission together with their unrestricted source from their natural rodent hosts, LASV and other HF mammarenaviruses pose a credible biodefense threat.  Concerns about mammarenavirus infections of humans are aggravated by the lack of US-FDA licensed vaccines and current anti-arenavirus therapy being restricted to ribavirin, which is only partially effective and associated with side effects. Therefore, there is an unmet need for the development of novel antiviral drugs to combat mammarenavirus infections. To this end, we have developed a robust cell-based assay to identify inhibitors of LCMV multiplication in cultured cells. The assay is based on the use of a recombinant LCMV expressing the ZsGreen reporter gene (rLCMV/ZsG). Levels of ZsGreen expression serve as surrogate of levels of virus multiplication. The assay has parameters compatible with HTS (S/B > 10, CV ‚â§ 10% and Z‚Äô > 0.5). 
Primary hits will be subjected to secondary screens for confirmation and authentication and to rule out false positives. Validated hits will be used in dose-response assays to assess their potency (EC50) and toxicity (CC50), and hits with the highest selectivity index (SI, SI = CC50/EC50) and biological properties of interest will be advanced to studies using an already developed battery of cell-based assays to identify the steps of the virus life cycle being targeted by the hits uncovered by the screen, as well as to test their activity against LASV. 
Protocol
Compounds are pre-spotted onto Greiner 384w black clear bottom. Primary screen of the ReFrame library is conducted at a single dose of 10 ŒºM final concentration per compound. DMSO (0.001%) is used as vehicle negative control and Ribavirin (100 uM ¬µM final concentration), a validated inhibitor of LCMV multiplication, is used as a positive control. Vero cells (1x106 cells/well, M6 plate) are infected for 1h with rLCMV/ZsGreen at moi = 0.01. After 1 hour infection, a single cell suspension is prepared and seeded at 103 cells/ 384 well, 30 ¬µl/well in DMEM containing 10% FBS. After 48 hour infection at 37 C, 5% CO2, 15 ul ¬µl of 12% PFA- PBS is added (4% PFA final concentration) and cells are fixed for 30 min, followed by removal of fixative, and 1x wash with PBS. Cells are stained with DAPI for 15 min at room temperature, followed by two washes with PBS. ZsGreen expression levels and DAPI staining levels are quantified using a fluorescent plate reader (Advanced Hybrid microplate reader Synergy H4) using the appropriate wavelengths to both excite and to measure emission of ZsGreen. Similarly, the appropriate wavelengths are selected for measurement of DAPI levels. Preliminary hits are identified based on low toxicity (cell biomass >60%, as determined by DAPI staining) and strong (>50%) inhibition of ZsGreen expression compared to vehicle-treated and infected cells. Primary hits are confirmed in the same assay format by a repeat experiment using three replicate wells per compound. Confirmed hits are tested in a dose-response assay and EC50 and CC50 values calculated (Prism using a non-linear regression curve fit).
Readout
ZsGreen expression levels are quantified using a fluorescent plate reader (Advanced Hybrid microplate reader Synergy H4), using the appropriate wavelengths to both excite and to measure emission of ZsGreen. Similarly, the appropriate wavelengths are selected for measurement of DAPI levels. 

Percent inhibition of ZsGreen expression levels (as a measure of viral LCMV multiplication) is calculated by dividing the fluorescent level of the compound treated cells (test well) by the average fluorescent level (average of 8 wells) in DMSO treated wells, and values normalized to % multiplying by 100.  Values for ribavirin-treated control samples (8 wells) are calculated in the same way. DAPI levels are compared similarly to DMSO control levels as a measure of cell biomass. Levels of ZsGreen expression in ribavirin-treated control wells are consistently < 5% of those obtained in vehicle (DMSO)-treated control wells. Mock-infected cells have a consistent small background fluorescence that can be subtracted from both compound- treated and control wells before determining percentage inhibition.
Detection Method
quantification of zsgreen expression levels by determining fluorescence levels in wells containing pfa fixed cells. dapi staining as surrogate of biomass levels.
Detection Reagents
Determination of ZsGreen expression levels do not need reagent addition (fluorescent protein is synthesized by the virus in infected cells). DAPI
Components
Vero cells infected with rLCMV/ZsGreen
Drug Concetration
10  Ã‚ÂµM",gpt-3.5-turbo,Antimicrobial Resistance	Molecular biology	Drug discovery
trans-Translation inhibition,"Screen for inhibitors of the trans-translation ribosome rescue pathway
Purpose
This assay looks for inhibitors of trans-translation, an essential process found in all bacteria. Small molecule inhibitors of trans-translation are expected to have broad-spectrum antibiotic activity. A characterized inhibitor, KKL-35, will be used as a positive control.

Protocol
E. coli with the plasmid pLuc-trpAt are grown overnight in batch culture in LB. The OD600 is read and the culture is diluted to 0.4. Luciferase expression is induced by addition of IPTG to 1 mM. The induced culture is dispensed manually into pre-spotted plates using a multi-channel pipetter. Plates are incubated for 2 h at 37 ¬?C. 50 ¬µl Bright-Glo Reagent (Promega) is added to each well using a multi-channel pipette. Plates are sealed, mixed on Vortex Genie setting 9 for 30 s, and liquid is collected by centrifugation using an Allegra centrifuge (Beckman). Plates are incubated at room temp for 10 min. Luminescence is measured using a SpectraMax i3 (Molecular Devices).

Readout
luminescence
Detection Method
luminescence was measured and normalized to a range extending from the average of dmso-treated wells (0%) to the average of wells treated with 10 um kkl-35 (100%)
Detection Reagents
Bright-Glo Reagent (Promega)
Components
E. coli MG1655 pluc-trpAt
Drug Concetration
10  Ã‚ÂµM",gpt-3.5-turbo,Antimicrobial Resistance	Cell biology	Microbiology
Trypanosoma cruzi Assay,"This target-free high-content screen aims to find compounds that are able to eliminate the Trypanosoma cruzi parasites without affecting the host cell viability.
Purpose
Chagas‚Äô disease is caused by the protozoan parasite Trypanosoma cruzi. The parasite infects human cells and replicates intracellularly. Chagas‚Äô pathology includes cardiomyopathy and/or digestive syndromes (megacolon and megaesophagus). In our screening assay, we use myoblast cell line (C2C12) and infect with T. cruzi parasites. We incubate the compounds for 72 hours, followed by fixation and staining with DAPI. Images are taken from the wells and a software is used to assess number of host cell and number of parasites. The antiparasitic activity is calculated based on the reduction of parasite number compared to the non-treated controls. We use benznidazole as reference drug and positive control (100% parasite reduction). Since we apply a phenotypic readout, we do also quantify cytotoxicity of the compound calculating the number of host cells compared to untreated controls.


Protocol
C2C12 and T.cruzi are collected from culture flasks and counted. A batch infection is prepared by mixing cells and parasites in solution (DMEM media supplemented with 10% FBS, 1x penicillin/streptomycin). Multidrop Combi (Thermo) is used to dispense 10ul of that solution in the assay plates containing the compounds.  Plates are incubated at 37C, 5% CO2 incubators for 72h. After incubation, 5ul/well is aspirated using EL-406 (Biotek) and we dispense 5ul of 8% paraformaldehyde (PFA) to fix the samples using the Multidrop Combi. After at least 30 minutes incubation with PFA solution at room temperature, we aspirate the content and wash one time with isotonic buffer. Next, we add DAPI solution (5ug/ml) for DNA staining for at least 30 minutes before reading the plates in ImageXpress MicroXL (Molecular Devices). The images are analyzed by a custom module algorithm in MetaXpress (Molecular Devices) to determine the number of host cells and number of parasites per well.
Readout
Automated fluorescence microscope and custom image analysis module
Detection Method
total number of c2c12 host cells and total number of t. cruzi parasites are counted via a custom module in metaxpress which detects host cell and parasite nuclei. activity is calculated by subtracting the ratio of the parasites to host cells in a compound-treated, infected well from the average of the ratios of parasites to host cells in dmso-treated, infected wells, then dividing by the difference of the average of the parasite to host cell ratios of dmso-treated, infected wells and the average of the parasite to host cell ratios of dmso-treated, uninfected wells, multiplied by 100.
Detection Reagents
DAPI
Components
Trypanosoma cruzi (Ca-I/72) and C2C12 (mouse myoblast cell line)
Drug Concetration
10  Ã‚ÂµM",gpt-3.5-turbo,Parasitology	Tropical medicine	Drug discovery
THP1-ISRE-SEAP,"Identification of back-up compounds to support the development of a STING agonist for immuno-oncology using a reporter assay for IFN signaling activation.
Purpose
Activation of the cGAS/STING pathway and subsequent engagement of the type I interferon pathway are key components of the innate immune system. Many STING pathway agonists have been identified and are being investigated as potential immuno-oncology therapeutic approaches to engage the immune system and eliminate the growth of tumors. To date, while analogs of the endogenous ligand 2'3'cGAMP have been evaluated in oncology patients, there are no small molecules which activate the STING pathway clinical investigated. To identify a small molecule that activates the STING pathway, a THP-1-based reporter system was used which overexpresses the interferon response element upstream of a secreted alkaline phosphophase (SEAP) reporter. Upon activation of type I interferon signaling, an increase in SEAP in the conditioned mediate is detected by the addition of the substrate. Subsequent counterscreening in a STING-null THP-1 line will focus the efforts on compounds which are dependent upon STING for the activation process.
Protocol
Spot Compound. Seed 5k THP1-ISRE-SEAP cells (Invivogen #thp-isg) in 5ul RPMI1640 + 20% FBS+ 1x Anti-Anti in white solid 1536 well plates. Incubate at 37 for 24hr. Dispense 2.5ul of 1x QUANTI-Blue (Invivogen #rep-qb2). Incubate at 37 for 1hr. Read on Viewlux using absorbance by fluorescence with excitation 525nm/emission 618nm and excitation 525nm/emission 598nm. 

Readout
Absorbance by Fluorescence
Detection Method
inverse fi  (envision or pherastar)
Detection Reagents
Quanti-Blue (Invivogen #rep-qb2)
Components
THP1-ISRE-SEAP cells
Drug Concetration
10  Ã‚ÂµM",gpt-3.5-turbo,"""Drug discovery""	""Immunology""	""Cell biology"""
P. berghei complete liver stage,"Multimodal phenotypic screen spanning the entirety of Plasmodium berghei liver stage development in HepG2 cells to identify antimalarial compounds for chemoprotection. The workflow combines a vital luciferase-based biomass readout with subsequent  high content imaging of fixed parasites.
Purpose
Multimodal phenotypic screen spanning the entirety of Plasmodium berghei liver stage development in HepG2 cells to identify antimalarial compounds for chemoprotection. Targeting liver stage malaria parasites is an ideal for chemoprophylaxis, as blocking infection in the liver will prevent both human disease and parasite transmission.  Liver stage parasites must both replicate and then differentiate to produce hepatic merozoites, the forms infectious to erythrocytes, to complete liver stage development.  In addition to a canonical indirect readout of immature liver stage parasite biomass, we incorporate high content imaging with several maturation markers to evalutate hepatic merozoite formation and terminal phenotypes induced by compound treatment.
Protocol
Assay is performed in white, microclear-bottomed 384 well plates, with final screening concentration of 5 micromolar. Parasite development is assessed with a vital luminescence-based assay after 46 hours of compound treatment, followed by compound readdition for a further 24 hours. Infected monolayers are fixed after parasite development should be complete, and high content imaging of individual parasite maturation state is performed.
Readout
Parasite development is assessed with a vital luminescence-based assay after 46 hours of compound treatment, followed by compound readdition for a further 24 hours. Infected monolayers are fixed after parasite development should be complete, and high content imaging of individual parasite maturation state is performed.
Detection Method
high content imaging, luciferase
Detection Reagents
d-Luciferin; Hoechst, Alexa488, Alexa555, Alexa647
Components
HepG2 human hepatoma cell line, P. berghei -luciferase parasites
Drug Concetration
Most at 5 micromolar; select compounds at 1 micromolar based on HepG2 pre-screen results from Calibr.",gpt-3.5-turbo,Parasitology	Molecular biology	Drug discovery
Male Contraceptive Screen (Motility),"High-throughput screen for male contraceptive targeting sperm motility
Purpose
The Gates Foundation has identified the need for a male contraceptive. We have developed a dual readout phenotypic assay to screen for sperm function: 1) Multiple sperm motility parameters are measured using high-throughput live cell microscopy and cell tracking; 2) the status of the acrosome (a sperm specific Golgi-derived organelle) is measured using high-throughput flow cytometry. 
The assays are in 384-well format and because they run sequentially which leads to a massive increase in throughput as compared to previous attempts in human sperm drug screening and allows for very efficient use of donor sample material. The assay is fully automated, flexible (screen for increased and decreased motility, acrosome agonists or antagonists) and extendible (e.g. for Ca2+ measurements). Furthermore, we have developed automated data analysis workflows to track sperm cells (motility assessment) and to gate sperm population (acrosome assessment).  
Protocol
Compounds are pre-spotted onto 384w black clear bottom microtiter plates (Perkin Elmer 6007550) at 6.25 uM for primary screen and 10uM top concentration for dose response. Human sperm from pooled donors is prepared, diluted, and dispensed 20uL into assay pre-spotted plates. Controls is added to columns 23/24. The plates are incubated for 10 minute at 37C and moved to CV7000 for fast imaging to look for sperm motility. The plates are then removed and stain and control are added for the acrosome reaction. The plates are incubated and moved to iQue screener for flow cytometry. Both data sets are processed using custom informatics solution.
Readout
Brightfield imaging, object tracking and velocity measurement and well average normalized to DMSO average of plate.
Detection Method
motility is measured by recording 2 positions per well. the sperm is tracked and velocity is calculated with the well average normalized to the dmso average of plate
Detection Reagents
none
Components
donated human sperm
Drug Concetration
6.25  Ã‚ÂµM",gpt-3.5-turbo,"""High-throughput screening""   ""Drug discovery""   ""Reproductive health"""
