Name,Description,Model,Predictions,Hallucinations
High-resolution transcriptomics of M. tuberculosis across O2 gradient,"To discern the genetic programs underlying hypoxia-induced dormancy in Mycobacterium tuberculosis, we obtained accurate dynamic measurements of genome-wide expression over an O2 gradient.",gpt-3.5-turbo,"{'Genetics', 'Transcriptomics', 'Infectious disease'}",set()
"Ontogeny of alveolar macrophages is a critical determinant of function during lung fibrosis [RNA-seq]
","Little is known about the relative importance of monocyte and tissue-resident macrophages in the development of lung fibrosis. We show that specific genetic deletion of monocyte-derived alveolar macrophages after their recruitment to the lung ameliorated lung fibrosis, whereas tissue-resident alveolar macrophages did not contribute to fibrosis. Using transcriptomic profiling of flow-sorted cells, we found that monocyte to alveolar macrophage differentiation unfolds continuously over the course of fibrosis and its resolution. During the fibrotic phase, monocyte-derived alveolar macrophages differ significantly from tissue-resident alveolar macrophages in their expression of profibrotic genes. A population of monocyte-derived alveolar macrophages persisted in the lung for one year after the resolution of fibrosis, where they became increasingly similar to tissue-resident alveolar macrophages. Human homologues of profibrotic genes expressed by mouse monocyte-derived alveolar macrophages during fibrosis were up-regulated in human alveolar macrophages from fibrotic compared with normal lungs. Our findings suggest that selectively targeting alveolar macrophage differentiation within the lung may ameliorate fibrosis without the adverse consequences associated with global monocyte or tissue-resident alveolar macrophage depletion.
",gpt-3.5-turbo,"{'Cell biology', 'Transcriptomics', 'Immunology'}",set()
"Impact of gut microbiota on white blood cell dynamics
","Analysis of the gut microbiota composition of cancer patients receiving bone marrow transplantation at Memorial Sloan Kettering Cancer Center as part of a study to determine the impact of the microbiota on the immune system.
",gpt-3.5-turbo,"{'Microbiology', 'Oncology', 'Immunology'}",set()
"GNPS U01 COM07 Metabolomics D592 RPMI+10%LB High-Resolution Dual-Polarity qTOF LC/MS Method
","Coordinated OMICs data collection as part of UCSD U01 ""Systems Biology Approach to Redefine Susceptibility Testing and Treatment of MDR Pathogens in the Context of Host Immunity"" [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Bioinformatics', 'Systems biology', 'Metabolomics'}",set()
Immortalized Human Hepatocyte (IHH) transcriptome response to wild-type Ebola viruses Zaire Ebola (ZEBOV '76) and Reston Ebola (REBOV '08),The purpose of this experiment was to obtain samples for transcriptome analysis using wild-type viruses: Zaire Ebola (ZEBOV '76) and Reston Ebola (REBOV '08).,gpt-3.5-turbo,"{'Transcriptomics', 'Virology', 'Infectious disease'}",set()
"WGS of Streptococcus pneumoniae T4 passaged under different antibiotic in mouse model
","WGS of Streptococcus pneumoniae T4 passaged under different antibiotic in mouse model
",gpt-3.5-turbo,"{'Genetics', 'Antimicrobial Resistance', 'Infectious disease'}",set()
"Hepatocarcinoma cell line metabolome response to Ebola
","metabolomics data from cell culture; time points 0, 8, 24, 48, & 72 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Oncology', 'Metabolomics'}",{'Cell culture'}
Global RNA-seq and proteomics landscape of SARS-CoV-2 Alpha variant,"Mass spectrometry-based protein abundance and phosphorylation profiling and total RNA sequencing were performed in Calu-3 cells at 10 and 24 hours post-infection. Cells were infected with SARS-CoV-2 Alpha (B.1.1.7) variant, B lineage BetaCoV/Australia/VIC01/2020 (VIC) or B.1.13 hCoV-19/England/IC19/2020 (IC19).",gpt-3.5-turbo,"{'Phylogeny', 'Transcriptomics', 'Proteomics'}",set()
"Mouse lymphnode proteomics response to West Nile Virus (WNV)
","Proteomics data from mouse lymphnodes; Treated with wild-type and mutant WNV, and mockulum [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Immunology', 'Proteomics', 'Infectious disease'}",set()
"GNPS - Primary human fibroblasts lipidome response to an icMERS coronavirus
","lipidomics data from cell culture; time points 0, 12, 24, 36 & 48 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Biochemistry', 'Cell culture collection', 'Infectious disease'}",set()
SCL005: icSARS CoV Urbani or icSARS deltaORF6 infections of the 2B4 clonal derivative of Calu-3 cells - Time course,Purpose of experiment was to compare transcriptomics of 2B4 cells (clonal derivative of Calu-3 cells) infected with either icSARS CoV or the icSARS deltaORF6 mutant.,gpt-3.5-turbo,"{'Cell biology', 'Transcriptomics', 'Virology'}",set()
"Identification of fosfomycin and meropenem hypersensitivity loci in Acinetobacter baumannii
","A. baumannii Tn-seq banks were grown in broth culture in the presence or absence of growth inhibiting concentrations of either fosfomycin or meropenem. After allowing 7-8 generations of growth, the banks were pooled and subjected to deep sequencing to identify insertions that confer hypersensitivity to antibiotics.
",gpt-3.5-turbo,"{'Genetics', 'Antimicrobial Resistance', 'Microbiology'}",set()
Primary human fibroblast transcriptome (mRNA) response to wild type MERS-CoV (icMERS),The purpose is to obtain samples for mRNA analysis in primary human fibroblasts infected with wild type MERS-CoV (icMERS),gpt-3.5-turbo,"{'Transcriptomics', 'Molecular biology', 'Infectious disease'}",set()
"Gut Microbiome Signatures are Predictive of Infectious Risk Following Induction Therapy for Acute Myeloid Leukemia
","The majority of studies providing insights on the influence of the microbiome on the health of hematologic malignancy patients have concentrated on the transplant setting. In this investigation we examined microbiome characteristics from baseline until neutrophil recovery following induction chemotherapy (IC) in 97 acute myeloid leukemia patients. We aimed to assess the predictive capacity of the gastrointestinal microbiome and its relationship to clinical outcomes, with a specific focus on infection. At the start of IC, higher Shannon diversity (HR, 0.36; P=0.005) and higher relative abundance of Porphyromonadaceae (HR, 0.36; P=0.005) were associated with increased probability of remaining infection free during neutropenia. We determined baseline Shannon diversity values <2 had the best sensitivity, positive, and negative predictive value for infectious complications during neutropenia. Longitudinal analyses of microbiome trajectories from baseline until neutrophil recovery found greater decreases in stool Shannon diversity among subjects who developed an infection in the 90 days post neutrophil recovery (P = 0.003). Additionally, carbapenem receipt for >72hrs resulted in significantly lower α-diversity at neutrophil recovery (P=0.001) and was associated with increased incidence of infection in the 90 days following neutrophil recovery (HR, 4.55; P=0.002). Similarly, days on treatment antibiotics during IC was inversely correlated with Shannon diversity at the end of sampling (r=-0.40, P<0.001) and the cumulative incidence of infections in the 90 days post neutrophil recovery (HR, 1.04; P=0.002). Our results suggest that gut microbiome evaluation could assist with infectious risk stratification and that antibiotic administration during IC may influence infectious complications of hematologic malignancy patients.",gpt-3.5-turbo,"{'Microbiology', 'Haematology', 'Infectious disease'}",{'Hematology'}
"TCH1516 RPMI+10pctLB Evolution
","TCH1516 RPMI+10pctLB Evolution
",gpt-3.5-turbo,"{'Microbiology', 'Immunology', 'Evolutionary biology'}",set()
"Mouse popliteal lymph node transcriptome response to a wild type West Nile virus (WNV), New York 99 Strain, and mutant WNV-E218A viruses [microRNA]","The purpose is to obtain samples for mRNA, miRNA, proteomics, lipidomics, metabolomics, and histopathology analysis in mouse cortex infected with wild-type West Nile virus (WNV; WNV-NY99 382), and mutant WNV-E218A (WNV-NY99 382 E218A 2 nt).",gpt-3.5-turbo,"{'Microbiology', 'Transcriptomics', 'Virology'}",set()
"GNPS U01 COM15 D712 in CA-MHB
","Metabolomics, BCP, etc data from UCSD AMR U01 COM15 [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Data integration and warehousing', 'Biomarkers', 'Metabolomics'}",set()
Compilation of longitudinal microbiota data and hospitalome from hematopoietic cell transplantation patients,"We provide a comprehensive collection of longitudinal patient datasets, including fecal microbiota compositions (>10,000 microbiota samples from >1,000 patients) and a rich description of the “hospitalome” experienced by the hosts, i.e., their drug exposures and other metadata from patients with cancer, hospitalized to receive allogeneic hematopoietic cell transplantation at a large cancer center (Memorial Sloan-Kettering Cancer Center) in the United States.",gpt-3.5-turbo,"{'Genetics', 'Microbiology', 'Oncology'}",set()
"Dataset MSV000081917 is currently private. It has been deposited to MassIVE, but has not yet been publicly released.

","Dataset MSV000081917 is currently private. It has been deposited to MassIVE, but has not yet been publicly released.

",gpt-3.5-turbo,"{'""Data submission, annotation, and curation""', 'Bioinformatics', 'Computational biology'}",set()
"GNPS - MaHPIC Experiment 04: Lipidomics from Macaca mulatta infected with Plasmodium cynomolgi B strain to produce and integrate clinical, hematological, parasitological, and omics measures of acute primary infection and relapses","Malaria-naive male rhesus macaques (Macaca mulatta), approximately three years of age, were inoculated intravenously with salivary gland sporozoites produced and isolated at the Centers for Disease Control and Prevention from multiple Anopheles species (An. dirus, An. gambiae, and An. stephensi) and then profiled for clinical, hematological, parasitological, immunological, functional genomic, lipidomic, proteomic, and metabolomic measurements. The experiment was designed for 100 days, and pre- and post-100 day periods to prepare subjects and administer curative treatments respectively. The anti-malarial drug artemether was subcuratively administered selectively to several subjects during the primary parasitemia to suppress clinical complications and to all animals for curative treatment of blood-stage infections to allow detection of relapses. One subject was euthanized during the 100-day experimental period due to clinical complications. The anti-malarial drugs primaquine and chloroquine were administered to all remaining subjects at the end of the study for curative treatment of the liver and blood-stage infections, respectively. Capillary blood samples were collected daily for the measurement of CBCs, reticulocytes, and parasitemias. Capillary blood samples were collected every other day to obtain plasma for metabolomic analysis. Venous blood and bone marrow samples were collected at seven time points for functional genomic, proteomic, lipidomic, and immunological analyses. Within the MaHPIC, this project is known as 'Experiment 04'. This dataset was produced by: The MaHPIC Consortium, Monica Cabrera, Jeremy D. DeBarry, Mary R. Galinski, Jay Humphrey, Ebru Karpuzoglu, Jessica C. Kissinger, Regina Joice, Esmeralda Meyer, Alberto Moreno, Vishal Nayak, Mustafa Nural, Dan Ory, Suman Pakala, and Xuntian Jiang. The experimental design and protocols for this study were approved by the Emory University Institutional Animal Care and Use Committee (IACUC).",gpt-3.5-turbo,"{'Animal study', 'Metabolomics', 'Infectious disease'}",{'Iinfectious disease'}
"Primary human fibroblasts Proteome response to an icMERS coronavirus
","Proteomics data from cell culture; time points 0, 12, 24, 36 & 48 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",gpt-3.5-turbo,"{'Cell culture collection', 'Proteomics', 'Infectious disease'}",set()
