Name,Description,Model,Predictions
Local selection in the presence of high levels of gene flow: Evidence of heterogeneous insecticide selection pressure across Ugandan Culex quinquefasciatus populations,"Population genetic structure was assessed through microsatellite analysis, and the impact of insecticide pressure by genotyping two target-site mutations, Vgsc-1014F of the voltage-gated sodium channel target of pyrethroid and DDT insecticides, and Ace1-119S of the acetylcholinesterase gene, target of carbamate and organophosphate insecticides.",gpt-3.5-turbo,"Population genetics	Population genomics	Infectious disease
"
SNP calls on A. fumigatus strains isolated from patients with PA and CNPA,WGS analyses of 17 strains isolated from patients in Japan with PA and CNPA,gpt-3.5-turbo,"Genetics	Molecular biology	Microbiology
"
<i>Schizosaccharomyces japonicus</i> yFS275 Genome Sequence and Annotation,Genome sequence and annotation for Schizosaccharomyces japonicus yFS275.,gpt-3.5-turbo,"Genomics  	Cell biology  	Molecular biology
"
<i>Toxoplasma gondii</i> COUG Genome Sequence and Annotation,Genome sequence and annotation for Toxoplasma gondii strain COUG.,gpt-3.5-turbo,"Genomics   Microbiology   Parasitology
"
Antennae vs hind legs,Antennae and legs dissected from blood-fed adult females on day 3 and 4.,gpt-3.5-turbo,"Anatomy	Molecular biology	Animal study
"
Transcriptional profiling of B. gramminis on Lr34 resistance and susceptible barley plants,Transcriptional analysis of the Blumeria graminis biotrophic pathogen during their respective growth on Lr34 resistance and susceptible barley plants.,gpt-3.5-turbo,"Transcriptomics   Plant biology   Biotechnology
"
<i>Plasmodium reichenowi</i> G01 Genome Sequence and Annotation,Genome Sequence and annotation for Plasmodium reichenowi G01,gpt-3.5-turbo,"Comparative genomics    Genetics    Genomics
"
<i>Mitosporidium daphniae</i> UGP3 Genome Sequence and Annotation,Mitosporidium daphniae UGP3 Sequence and Annotation,gpt-3.5-turbo,"Genomics   Bioinformatics   Biology
"
<i>Trypanosoma brucei</i> EATRO1125 Genome Sequence and Annotation,Genome Sequence and Annotation of Trypanosoma brucei EATRO1125,gpt-3.5-turbo,"Genomics	Parasitology	Molecular biology
"
Musca domestica Transcriptome or Gene expression,"RNA-Seq of eggs, larvae and adults",gpt-3.5-turbo,"Transcriptomics	Gene expression	Animal study
"
"State-wide mosquito surveillance in Iowa, USA, 1997 (New Jersey light trap)","Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000409)",gpt-3.5-turbo,"Environmental sciences  	Microbiology	 Zoology
"
"Origin of a High-Latitude Population of Aedes aegypti in Washington, DC","An overwintering population of Aedes aegypti has been documented in the Capitol Hill neighborhood of
 Washington, DC, since 2011. Mitochondrial cytochrome oxidase I (mtCOI) sequence data presented in a previous
 study traced the origin to the New World. Here, we use microsatellite and SNP chip data along with more
mitochondrial DNA (mtDNA) sequences on Washington Ae. aegypti samples and samples from potential sources to
 further narrow the origin of this population. Genetically, Washington Ae. aegypti are closest to populations in
Florida, meaning this is the most likely source. Florida experienced the first mosquito-borne transmission of dengue
in the United States after decades of absence of this disease, as well as local transmission of chikungunya and Zika
in recent years. This indicates that the Capitol Hill, Washington, DC population of Ae. aegypti is capable of
 transmitting viruses such as dengue, chikungunya, and Zika in modern US city environments.",gpt-3.5-turbo,"Genetics	Population genetics	Infectious disease
"
<i>Candida albicans</i> WO-1 Genome Sequence and Annotation,Genome sequence and annotation for Candida albicans WO-1.,gpt-3.5-turbo,"Genomics    Molecular biology    Microbiology
"
Transcript alignment from previous annotation,Transcripts for bld 31 T. cruzi SylvioX10-1 .,gpt-3.5-turbo,"Transcriptomics\tGenetics\tMolecular biology
"
<i>Macaca fascicularis</i> REF Genome Sequence and Annotation,Genome Sequence and Annotation of Macaca fascicularis REF,gpt-3.5-turbo,"Comparative genomics  	Genomics	Biology
"
Adaptive mechanisms of Aspergillus fumigatus’conidia to nutrient restriction Quant,"Aspergillus fumigatus quantitative proteome. Aspergillus fumigatus, a common airborne fungus, has been reported as one of the most frequent agents of human fungal infections.",gpt-3.5-turbo,"Microbiology	Molecular biology	Immunology
"
"Evaluation of resting traps to examine the behaviour and ecology of mosquito vectors in an area of rapidly changing land use in Sabah, Malaysian Borneo",This study evaluated the use of two mosquito traps: the resting bucket and sticky resting bucket traps relative to CDC backpack aspiration for sampling mosquitoes resting in a range of habitats representing a gradient of deforestation. (MapVEu VBP0000300),gpt-3.5-turbo,"Ecology	Tropical medicine	Entomology
"
<i>Candida dubliniensis</i> CD36 Genome Sequence and Annotation,Genome Sequence and Annotation of Candida dubliniensis CD36,gpt-3.5-turbo,"Genomics	Microbiology	Molecular biology
"
Fresh whole blood infected with Candida albicans,Homo sapiens fresh whole blood was infected with Candida albicans.,gpt-3.5-turbo,"Immunology   Microbiology   Infectious disease
"
<i>Spizellomyces punctatus</i> DAOM BR117 Genome Sequence and Annotation,Genome sequence and annotation for Spizellomyces punctatus DAOM BR117.,gpt-3.5-turbo,"Genomics   Computational biology	Genetics
"
"A multipurpose high throughput SNP chip for the dengue and yellow fever mosquito, Aedes aegypti",High throughput genotyping of Aedes aegypti populations from around the world using a custom SNP genotyping chip.,gpt-3.5-turbo,"Genetics	Population genetics	Bioinformatics
"
Insecticides resistance,"Larvae of Cx. quinquefasciatus (and Cx. pipiens pallens) collected from the field were reared in the lab to adulthood to get F1 generation. Then, without any exposure to insecticides, half of the F1 generation (12 larvae) was sequenced.",gpt-3.5-turbo,"Genetics	Microbiology	Infectious disease
"
GPL18530 - NimbleGen Aedes aegypti 12plex array,"An expression design for 17,494 genes/transposable_ORFs from Aedes aegypti and TEfam with up to three 60-mer probe pairs (PM/MM) per gene. Each probe is also replicated 3 times on the array. The design includes random GC and other control probes.",gpt-3.5-turbo,"Bioinformatics	Taxonomy	Transcriptomics
"
"State-wide mosquito surveillance in Iowa, USA, 2000 (New Jersey light trap)","Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000391)",gpt-3.5-turbo,"Environmental sciences  Biology  Genetics
"
Aligned genomic sequence reads -  Multiple <i>E. histolytica</i> Strains,Whole genome sequencing of multiplen of 9 E. Histolytica strains,gpt-3.5-turbo,"Genomics	Comparative genomics	Parasitology
"
Aposymbiotic midguts,"Whole gut transcriptomes (including cardia, bacteriome and midgut) were generated from aposymbiotic flies (collected at 11 days post eclosion at 72 hours post blood meal and derived from mothers treated with tetracycline and dietary yeast extract supplementation).",gpt-3.5-turbo,"Animal study  	Biology  	Transcriptomics
"
<i>Peronospora effusa</i> R13 Genome Sequence and Annotation,Genome Sequence and Annotation of Peronospora effusa R13,gpt-3.5-turbo,"Genomics   Genetics    Microbiology
"
Insecticide resistance and target site mutations (G119S ace-1 and L1014F kdr) of Culex pipiens in Morocco,"Mosquito adults from Mohammadia city in Morocco were reared from immature stages. The level of their susceptibility to insecticides was assessed using standard WHO bioassay. The two forms of the Cx. pipiens complex and their hybrids were identified by a multiplex PCR. Identified mosquitoes were then tested for the presence of the G119S ace-1 and L1014F kdr mutations using PCR-RFLP and PCR assays, respectively. (MapVEu VBP0000230)",gpt-3.5-turbo,"Infectious disease	Microbiology	Genetics
"
Transcriptomes of wild-type vs veA and mtfA deletion mutants,"RNA-Seq of wild-type and deletion mutants of the secondary metabolite regulators, VeA and MtfA",gpt-3.5-turbo,"Transcriptomics     Bioinformatics    Molecular biology
"
Frequency and intensity of pyrethroid resistance through the CDC bottle bioassay and their association with the frequency of kdr mutations in A. aegypti from Mexico,Estimated the frequency and intensity (F-RDT and I-RDT) of pyrethroid resistance in populations of Ae. aegypti from Mexico using the bottle bioassay and results were related to the frequencies of kdr mutations V1016I and F1534C. (MapVEu VBP0000272),gpt-3.5-turbo,"Environmental sciences	Population genetics	Parasitology
"
Mosquito midguts (MGs) and salivary glands (SGs) infected with P. falciparum,A. gambiae s.s. Kisumu midguts (MGs) and salivary glands (SGs) infected with P. falciparum 3D7,gpt-3.5-turbo,"Parasitology	Animal study	Biology
"
Promastigote-to-amastigote differentiation (L.d. Samples),"Microarray time course of axenic promastigote-to-amastigote differentiation in 
    	Leishmania donovani 1SR",gpt-3.5-turbo,"Bioinformatics	Taxonomy	Parasitology
"
Reproductive tissues infection with endosymbiotic Spiroplasma,"Field captured (Uganda) Spiroplasma infected and uninfected male (testes, accessory glands, and ejaculatory duct) and female (ovaries, spermathecae, uterus, and oocysts) reproductive tissues.",gpt-3.5-turbo,"Microbiology	Parasitology	Reproductive health
"
Gut transcriptomes of ISARL and GFP-injected ticks after engorgement on B. burgdorferi-infected or uninfected mice,"Gut transcriptomes of ds I. scapularis adiponectin receptor-like (ISARL, ISCW018477) and ds Aequorea victoria green fluorescent protein (GFP -control)-injected ticks after 96 hr feeding/engorgement on Borrelia burgdorferi N40-infected or uninfected mice (Mus musculus)",gpt-3.5-turbo,"Transcriptomics    Microbiology   Infectious disease
"
Comparison of deltamethrin tablet formulation with liquid deltamethrin and permethrin for bednet treatment in The Gambia.,Insecticide resistance study imported from IRBase. (MapVEu VBP0000107),gpt-3.5-turbo,"""Infectious disease""   ""Environmental sciences"" ""Comparative genomics""
"
Female antennal transcriptome of Anopheles quadriannulatus,Transcriptome of female Anopheles quadriannulatus antenna determined by RNA sequencing.,gpt-3.5-turbo,"Transcriptomics	Animal study	Biology
"
Secretome of T gondii tachyzoites (RH) isolated from infected mice and the proteome of extracellular vesicles (exosomes and ectosomes).,"Proteomic analysis of the secretome of Toxoplasma gondii tachyzoites (RH) and the proteomic profile of the vesicles released. For the secretome, parasites were isolated from infected mice, purified, and secretions were collected. The complete secretion was analyzed by MS generating the secretome. In addition, a proteomic characterization was achieved in exosomes, ectosomes and the supernatant obtained by differential centrifugation of the secretory products.",gpt-3.5-turbo,"Proteomics    Parasitology    Microbiology
"
"State-wide mosquito surveillance in Iowa, USA, 1996 (New Jersey light trap)","Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000410)",gpt-3.5-turbo,"Environmental sciences   Microbiology   Infectious disease
"
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 1980",Desplaines Valley Mosquito Abatement 1980. (MapVEu VBP0000482),gpt-3.5-turbo,"Environmental sciences   Entomology   Infectious disease
"
"Detection of kdr and ace-1 mutations in wild populations of Anopheles
arabiensis and An. melas in a residual malaria transmission area of Senegal","Malaria vectors were collected from three selected villages using nocturnal human
 landing catches and pyrethrum spray collections methods. An. gambiae s.l. specimens were identified
 at the species level then genotyped for the presence of kdr-west (L1014F), kdr-east (L1014S) and ace-1R mutations
by qPCR. (MapVEu VBP0000766)",gpt-3.5-turbo,"Infectious disease	Population genetics	Molecular biology
"
<i>Leptomonas seymouri</i> ATCC 30220 Genome Sequence and Annotation,Leptomonas seymouri  ATCC 30220 Sequence and Annotation,gpt-3.5-turbo,"Genetics	Population genetics	Parasitology
"
"A survey of Anopheles species composition and insecticide resistance on the island of Bubaque, Bijagos Archipelago, Guinea-Bissau",A survey of mosquito species composition was performed at the onset of the wet season (June/July) and the beginning of the dry season (November/December). Sampling was performed using indoor adult light-traps and larval dipping. Anopheles mosquitoes were identified to species level and assessed for kdr allele frequency by TaqMan PCR. Females were analysed for sporozoite positivity by CSP-ELISA. Resistance to permethrin and α-cypermethrin was measured using the CDC-bottle bioassay incorporating the synergist piperonyl-butoxide. (MapVEu VBP0000723),gpt-3.5-turbo,"Genomics	Microbiology	Molecular biology
"
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2017",Desplaines Valley Mosquito Abatement 2017. (MapVEu VBP0000479),gpt-3.5-turbo,"Vector control
"
Flagellar proteome,Trypanosoma brucei flagellum proteome comprising the membrane-bound axoneme and associated paraflagellar rod.,gpt-3.5-turbo,"Insecticide resistance
"
Anopheles sinensis strain:China Raw sequence reads,Analysis of microRNA profile of Anopheles sinensis by the deep sequencing and the bioinformatic approach,gpt-3.5-turbo,"Parasitology
"
<i>Meyerozyma guilliermondii</i> ATCC 6260 Genome Sequence and Annotation,Genome Sequence and Annotation of Meyerozyma guilliermondii ATCC 6260,gpt-3.5-turbo,"Environmental sciences\tMicrobiology\tInfectious disease
"
"Knockdown Resistance (kdr) Mutations in Indian
Anopheles stephensi (Diptera: Culicidae) Populations",Seven populations of An. stephensi from six states of India were screened for the presence of two alternative kdr mutations L1014F and L1014S using allele-specific polymerase chain reaction assays. (MapVEu VBP0000225),gpt-3.5-turbo,"Cell biology   Bioinformatics   Proteomics
"
"Maryland Dept. of Agriculture mosquito surveillance, Maryland, USA, 2020",Maryland Dept. of Agriculture weekly mosquito population surveillance performed using CDC light traps in 2020. (MapVEu VBP0000711),gpt-3.5-turbo,"Bioinformatics	Microbiology	Sequence analysis
"
Transcriptome,"The 1KITE (1K Insect Transcriptome Evolution) project aims to study the transcriptomes of 1,000 insect species encompassing all recognized insect orders. For each species, so-called ESTs (Expressed Sequence Tags) will be produced using next generation sequencing techniques (NGS).",gpt-3.5-turbo,"Genomics  	Anatomy  	Sequence analysis
"
ESTs in TvG2M library,T. vaginalis G3 EST sequences,gpt-3.5-turbo,"Genetics	Immunology	Microbiology
"
<i>Nematocida ausubeli</i> ERTm2 Genome Sequence and Annotation,Nematocida ausubeli ERTm2 sequence and annotation,gpt-3.5-turbo,"Environmental sciences     |     Biology     |     Entomology
"
Euryhaline vs stenohaline: larvae response to increasing salinity stress,Transcriptomic comparison between euryhaline and stenohaline malaria vector sibling species to increasing salinity stress.,gpt-3.5-turbo,"Bioinformatics	Molecular biology	Biology
"
"UK Culicoides surveillance, Pirbright Institute, UK, 2008","A UK surveillance network for Culicoides biting midges was ran up by The Pirbright Institute from 2006 to 2011 using 8W ultraviolet Onderstepoort Veterinary Institute (OVI) light-suction traps. Traps were set from dusk until dawn one day a week. Culicoides were categorised into groups using wing patterns and metrics. Male members of the subgenus Avaritia were identified to species level based on their genital morphology, whilst females were treated as a single group and sub-divided according to the appearance of their abdomen (unpigmented, pigmented, gravid and blood-fed). Development of pigmentation in female Culicoides is broadly indicative of aging, but direct extrapolation to parity is not recommended. For larger samples, a subsampling technique was used. 17 trapping sites are georeferenced to the county level. In most cases, there was a single trap per county. For higher resolution georeferencing, please contact the authors. (MapVEu VBP0000437)",gpt-3.5-turbo,"Bioinformatics	Molecular biology	Genetics
"
<i>Trichophyton tonsurans</i> CBS 112818 Genome Sequence and Annotation,Genome Sequence and Annotation of Trichophyton tonsurans CBS 112818,gpt-3.5-turbo,"Genomics	Microbiology	Biology
"
<i>Exophiala dermatitidis</i> NIH/UT8656 Genome Sequence and Annotation,Genome Sequence and Annotation for Exophiala dermatitidis NIH/UT8656,gpt-3.5-turbo,"Animal study    Transcriptomics    Ecology
"
<i>Aspergillus fumigatus</i> Af293 Genome Sequence and Annotation,Genome sequence and annotation for Aspergillus fumigatus Af293.,gpt-3.5-turbo,"Ecology	Iinfectious disease	Georeferencing
"
Transcriptomes of virulent and avirulent N. caninum strains,Transcriptomes of virulent (Nc-Spain7) and avirulent (Nc-Spain1H) N. caninum strains,gpt-3.5-turbo,"Genetics	Genomics	Microbiology
"
"Mosquito abundance, Rhode Island Department of Environmental Management, in Rhode Island, USA, 2020","Mosquito abundance in Mosquito abundance, Rhode Island Department of Environmental Management, in Rhode Island, USA, 2020 (MapVEu VBP0000740)",gpt-3.5-turbo,"Genomics  	Genetics  	Microbiology
"
Candida albicans functional genomic screening,Compiled and normalized Candida albicans  functional genomic screening data,gpt-3.5-turbo,"Genomics	Genetics	Biology
"
Transcriptomes of clinical isolate strains and mutant derivatives,Three cultures of each strain were grown to provide three biological replicates for Nanostring and RNA-Seq experiments.,gpt-3.5-turbo,"Transcriptomics     Parasitology     Infectious disease
"
<i>[Candida] auris</i> B8441 Genome Sequence and Annotation,Candida auris strain B8441 Genome Sequence and Annotation,gpt-3.5-turbo,"Environmental sciences   Infectious disease   Zoology
"
<i>Histomonas meleagridis</i> 2922-C6/04-290x Genome Sequence and Annotation,Genome Sequence and Annotation of Histomonas meleagridis 2922-C6/04-290x,gpt-3.5-turbo,"Functional genomics	genomics	compound libraries and screening
"
Aligned genomic sequence reads - Hybrid Selection Project,Whole genome sequencing from  175 P. vivax isolates from the Hybrid Selection Project of P. vivax,gpt-3.5-turbo,"Transcriptomics    Genetics    Microbiology
"
<i>Aspergillus oryzae</i> RIB40 Genome Sequence and Annotation,Genome sequence and annotation for Aspergillus oryzae RIB40.,gpt-3.5-turbo,"Genomics	Annotation	Microbiology
"
<i>Anopheles melas</i> CM1001059_A Genome Sequence and Annotation,Genome Sequence and Annotation for Anopheles melas CM1001059_A,gpt-3.5-turbo,"Genomics    Molecular biology    Parasitology
"
<i>Anopheles coluzzii</i> Mali-NIH Genome Sequence and Annotation,Genome Sequence and Annotation for Anopheles coluzzii Mali-NIH,gpt-3.5-turbo,"Genetics	Genomics	Sequence analysis
"
Dengue 1 infection,Midgut transcriptome of Aedes aegypti (strain: KPP-TN) infected or not by blood meal with Dengue virus 1 (midguts at 24 and 96 hpi).,gpt-3.5-turbo,"Genomics	Microbiology	Bioinformatics
"
Midgut transcriptomes of blood fed DENV2 NS1 vs. those blood fed BSA,"Transcriptional changes in the Aedes aegypti midguts transcriptome 4,8,18 hours after blood feeding BSA or DENV2 NS1.",gpt-3.5-turbo,"Genomics	Genetics	Biology
"
<i>Pichia kudriavzevii</i> strain CBS5147 Genome Sequence,Genome Sequence of Pichia kudriavzevii strain CBS5147,gpt-3.5-turbo,"Genomics    Bioinformatics    Genetics
"
"Mosquito surveillance in Desplaines Valley Mosquito Abatement, Illinois, USA, 2012",Desplaines Valley Mosquito Abatement 2012. (MapVEu VBP0000524),gpt-3.5-turbo,"Infectious disease\tTranscriptomics\tMicrobiology
"
Transcriptomes of HM1:IMSS and Rahman strain trophozoites,"Transcriptomes of virulent Entamoeba histolytica HM1:IMSS and non-virulent Rahman 
         strains were determined by Illumina RNA-Seq.",gpt-3.5-turbo,"Transcriptomics  	Infectious disease  	Biology
"
Combined target site (kdr) mutations play a primary role in highly pyrethroid resistant phenotypes of Aedes aegypti from Saudi Arabia,"Aedes aegypti collected from each city were raised to adults and assayed for resistance to permethrin, deltamethrin (with and without the synergist piperonyl butoxide, PBO), fenitrothion, and bendiocarb. Two fragments of the voltage-gated sodium channel (Vgsc), encompassing four previously identified mutation sites, were sequenced and subsequently genotyped to determine associations with resistance. Expression of five candidate genes (CYP9J10, CYP9J28, CYP9J32, CYP9M6, ABCB4) previously associated with pyrethroid resistance was compared between assay survivors and controls. (MapVEu VBP0000181)",gpt-3.5-turbo,"Genomics	Biology	Microbial ecology
"
"Mosquito surveillance in Uganda by PRISM ICEMR group, 2017 - 2019","Longitudinal entomological surveillance of mosquitoes from three regions of Uganda. This study is part of The Program for Resistance, Immunology, Surveillance and Modeling of Malaria in Uganda (PRISM) Study, part of International Centers of Excellence for Malaria Research Program (ICEMR). (MapVEu VBP0000649)",gpt-3.5-turbo,"Environmental sciences   Zoology   Infectious disease
"
Development of insecticide resistance in malaria vector Anopheles sinensis populations from Shandong province in China,"From 2003 to 2012, six districts in Shandong province were selected as the study areas. Insecticide susceptibility bioassay were tested on F1 progeny of An. sinensis to 4% DDT, 0.05% deltamethrin, 0.15% cyfluthrin, and 5% malathion, using the standard WHO resistance tube assay. (MapVEu VBP0000232)",gpt-3.5-turbo,"Transcriptomics
"
Insecticide resistance profiles in malaria vector populations from Sud-Kivu in the Democratic Republic of the Congo,"Insecticide susceptibility bioassays were performed on wild populations of A. funestus and A. gambiae using WHO insecticide-impregnated papers at discriminating concentration. In addition, PCR was performed to identify mosquito species and to detect kdr and ace-1R mutations involved in insecticide resistance. (MapVEu VBP0000773)",gpt-3.5-turbo,"Microbiology
"
<i>Aspergillus flavus</i> NRRL3357 2020 Genome Sequence and Annotation,Genome Sequence and Annotation of Aspergillus flavus NRRL 3357 2020,gpt-3.5-turbo,"Infectious disease
"
<i>[Candida] duobushaemulonis</i> B09383 Genome Sequence and Annotation,Genome sequence and annotation for Candida duobushaemulonis B09383.,gpt-3.5-turbo,"Genetics	Molecular biology	Pharmacology
"
"Mosquito surveillance in South Walton County, Florida, USA. 2014",Mosquito surveillance from the South Walton County Mosquito Control District Vector Surveillance program to survey mosquito populations. (MapVEu VBP0000481),gpt-3.5-turbo,"Infectious disease	Public health and epidemiology	Vector biology
"
Dap-Seq of Neurospora crassa,DAP-Seq performed on ADV-1 and PP-1 proteins.,gpt-3.5-turbo,"Genetics	Molecular biology	Microbiology
"
Human Quantitative Proteome During an Infection with 4 strains of T. gondii,"H. sapiens peptide sequences from a proteomic analysis of mixed parasite/host samples
    collected during time course infections with T. gondii.",gpt-3.5-turbo,"Infectious disease	Tropical medicine	Genetics
"
<i>Malassezia globosa</i> CBS 7966 Genome Sequence and Annotation,Genome sequence and annotation for Malassezia globosa CBS 7966.,gpt-3.5-turbo,"Genomics   Molecular biology  Microbiology
"
Polysomal and steady-state asexual stage transcriptomes,Transcriptome and translatome of the  P. falciparum asexual cell cycle.,gpt-3.5-turbo,"Genomics\tBiology\tMicrobiology
"
"Insecticide susceptibility of Anopheles coluzzii and Anopheles gambiae mosquitoes in Ibadan, South-West Nigeria","This study aimed to determine the dynamics of insecticide susceptibility levels and frequency of knockdown resistance (kdr) mutations (L1014F) in wild Anopheles coluzzii and An. gambiae Giles from Ojoo and Bodija areas of Ibadan, South-West, Nigeria. Insecticide susceptibility to pyrethroids, organophosphates, carbamates and organochlorines was assessed using WHO bioassays. A subset of the mosquitoes exposed to pyrethroids and DDT was used for species and molecular form identification and kdr genotyping was determined using the Taqman real time PCR assay. (MapVEu VBP0000172)",gpt-3.5-turbo,"Environmental sciences	I
"
"Tick Cell Lines ISE6, ISE18, IDE2, IDE8, IDE12 and IRE11","Unpublished transcriptome sequencing of Ix. ricinus IRE11 and, Ix. scapularis ISE6, ISE18, IDE2, IDE8, IDE12 cell lines.",gpt-3.5-turbo,"Infectious disease	I
"
Small RNA (sRNA): Mosquito saliva and salivary glands (SGs) following chikungunya virus (CHIKV) infection,"Saliva was collected from 150 mosquitoes and salivary glands (SG) were dissected from 80 mosquitoes, 14 days after the blood meal (either challenged or unchallenged with chikungunya virus). Experiments were done in triplicate. This dataset is not appropriate for comparing protein-coding or lncRNA transcripts because it is enriched in RNAs < 200 nt (small RNAs).",gpt-3.5-turbo,"Public health and epidemiology.
"
"Insecticide susceptibility status of some anophelines in district Bikaner, Rajasthan",Insecticide resistance study imported from IRBase. (MapVEu VBP0000041),gpt-3.5-turbo,"Biochemistry   Computational biology   Genetics
"
Comparative evaluation of carbosulfan- and permethrin-impregnated curtains for preventing house-entry by the malaria vector Anopheles gambiae in Burkina Faso.,Insecticide resistance study imported from IRBase. (MapVEu VBP0000110),gpt-3.5-turbo,"Bioinformatics	Microbiology	Proteomics
"
<i>Entamoeba histolytica</i> KU27 Genome Sequence and Annotation,E. histolytica KU27 genome sequence and annotation,gpt-3.5-turbo,"Genomics	Annotation	Microbiology
"
Multiple Insecticide Resistance in the Malaria Vector Anopheles funestus from Northern Cameroon Is Mediated by Metabolic Resistance Alongside Potential Target Site Insensitivity Mutations,"Collection of indoor-resting female mosquitoes in Gounougou (northern Cameroon) in 2012 and 2015 revealed a predominance of An. funestus during dry season. WHO bioassays performed using F1 An. funestus revealed that the population was multiple resistant to several insecticide classes including pyrethroids (permethrin, deltamethrin, lambda-cyhalothrin and etofenprox), carbamates (bendiocarb) and organochlorines (DDT and dieldrin). (MapVEu VBP0000151)",gpt-3.5-turbo,"Transcriptomics\tCell biology\tParasitology
"
Small RNA and antisense transcription in E histolytica,Transcriptome analysis  E histolytica HM1:IMSS to include small RNA sequences for determining antisense transcription and transcription start sites.,gpt-3.5-turbo,"Infectious disease	Zoology	Genetics
"
Transcriptome of Pyricularia oryzae isolates collected from Bangladeshi fields,Transcriptome of Pyricularia oryzae isolates collected from Bangladeshi fields,gpt-3.5-turbo,"Cell biology	Transcriptomics	Biology
"
Mapping TSS with TSS-Seq,Positioning of 5' transcripts extremities in C. neoformans alpha KN99 using TSS-Seq.,gpt-3.5-turbo,"Infectious disease	Zoology	RNA
"
EC mappings,Enzyme classification (EC) mappings to P. falciparum genes supplied by Hagai Ginsburg (MPMP).,gpt-3.5-turbo,"Infectious disease	Zoology	Agricultural science
"
<i>Candida tropicalis</i> MYA-3404 2020 Genome Sequence and Annotation,Genome Sequence and Annotation of Candida tropicalis MYA-3404 2020,gpt-3.5-turbo,"""Infectious disease""   ""Parasitology""    ""Public health and epidemiology""
"
"Deinocerites cancer Theobald (Diptera':' Culicidae) on Grassy Key and Long Key in the Florida Keys, USA","Mosquito abundance in Grassy Key and Long Key in the Florida Keys, USA, 1998 - 2019. (MapVEu VBP0000617)",gpt-3.5-turbo,"Genomics	Genetics	Parasitology
"
<i>Fusarium oxysporum</i> f. sp. lycopersici 4287 Genome Sequence and Annotation,Genome sequence and annotation for Fusarium oxysporum f. sp. lycopersici 4287.,gpt-3.5-turbo,"Infectious disease	Tropical medicine	Entomology
"
