Name,Description,Model,Predictions,Hallucinations
Mapping microbial ecosystems and spoilage-gene flow in breweries highlights patterns of contamination and resistance,"samples from surfaces in breweries and also components (barley, malt) used for making beer",gpt-3.5-turbo,"{'Microbial ecology', 'Mapping'}",{'Food science'}
Linking Long-Term Dietary Patterns with Gut Microbial Enterotypes (COMBO),"Diet strongly affects human health, partly by modulating gut microbiome composition. We used diet inventories and 16S rDNA sequencing to characterize fecal samples from 98 individuals. Fecal communities clustered into enterotypes distinguished primarily by levels of Bacteroides and Prevotella. Enterotypes were strongly associated with long-term diets, particularly protein and animal fat (Bacteroides) versus carbohydrates (Prevotella). A controlled-feeding study of 10 subjects showed that microbiome composition changed detectably within 24 hours of initiating a high-fat/low-fiber or low-fat/high-fiber diet, but that enterotype identity remained stable during the 10-day study. Thus, alternative enterotype states are associated with long-term diet.",gpt-3.5-turbo,"{'Genetics', 'Nutritional science', 'Microbiology'}",set()
"Associations among Wine Grape Microbiome, Metabolome, and Fermentation Behavior Suggest Microbial Contribution to Regional Wine Characteristics","Regionally distinct wine characteristics (terroir) are an important aspect of wine production and consumer appreciation. Microbial activity is an integral part of wine production, and grape and wine microbiota present regionally defined patterns associated with vineyard and climatic conditions, but the degree to which these microbial patterns associate with the chemical composition of wine is unclear. Through a longitudinal survey of over 200 commercial wine fermentations, we demonstrate that both grape microbiota and wine metabolite profiles distinguish viticultural area designations and individual vineyards within Napa and Sonoma Counties, California. Associations among wine microbiota and fermentation characteristics suggest new links between microbiota, fermentation performance, and wine properties. The bacterial and fungal consortia of wine fermentations, composed from vineyard and winery sources, correlate with the chemical composition of the finished wines and predict metabolite abundances in finished wines using machine learning models. The use of postharvest microbiota as an early predictor of wine chemical composition is unprecedented and potentially poses a new paradigm for quality control of agricultural products. These findings add further evidence that microbial activity is associated with wine terroir.",gpt-3.5-turbo,"{'Bioinformatics', 'Microbiology', 'Metabolomics'}",set()
"Comparative microbiome of Triatama infestans, vector of Chagas disease","The microbiota of the insect gut has been shown to be important for several vector-pathogen relationships; for example, the bacterium Wolbachia has profound effects on mosquito life span and fitness as a vector of dengue and other infections. Triatomine bugs are the vector of Chagas disease, a chronic parasitic infection caused by Trypanosoma cruzi that affects 8-12 million Latin Americans. We used deep sequencing to describe the hindgut microbiome of the most important vector of T. cruzi, Triatoma infestans. We compared the diversity and composition of the gut microbiome of 3 groups of triatomines: 1) lab-raised T. cruzi-infected bug, 2) lab-raised T. cruzi-uninfected bugs, and 3) uninfected bugs caught in households in Arequipa, Peru. We conducted amplicon sequencing of the V4 region of bacterial 16S RNA using an Ion Torrent. We analyzed 3-4 bugs per group, using 2-3 replicate PCRs per sample from each bug. Diversity between individuals and groups was then compared using MG-RAST, EstimateS, and. Rarefaction curves were approaching their asymptote suggesting most genera were likely detected in the majority of samples. The microbiomes of wild-caught triatomines were more diverse than the microbiomes of either lab-raised group, though this was largely driven by samples from one very diverse fifth-stage nymph with more than 300 species (twice that of the next most-diverse sample). Enterococcus and Arsenophonus were the predominant genera found in lab raised bugs, with the exception of one T. cruzi-uninfected bug where Morganella predominated. In contrast, there was no one predominant genus identified in wild-caught bugs, and Enterococcus and Enterbacteriaciae were not substantial components. There were not large differences in diversity between lab-raised T. cruzi-infected and -uninfected triatomines. Future studies should examine geographic differences in triatomine microbiome composition and diversity, microbiome changes with bug stage and infection status both in the lab and in the wild, and the effect of antibiotic-mediated disruption of the triatomine gut on susceptibility to infection by T. cruzi.",gpt-3.5-turbo,"{'Microbiology', 'Human biology', 'Parasitology'}",set()
Angenent Lab Codigestion Microbiome,"Microbiome study of 4 co-digestion reactors working with cow manure as basis substrate. One reactor was used as control and the others worked with 3 different co-substrates: food waste residues, alkaline hydrolysate of dead animals and glycerol.",gpt-3.5-turbo,"{'Microbial ecology', 'Microbiology', 'Agricultural science'}",set()
Metcalf Microbial community assembly and metabolic function during mammalian corpse decomposition Mouse exp,"Vertebrate corpse decomposition provides an important stage in nutrient cycling in most terrestrial habitats, yet microbially-mediated processes are poorly understood. Here we combine deep microbial community characterization, community-level metabolic reconstruction, and soil biogeochemical assessment to understand principles governing microbial community assembly during decomposition of mouse and human corpses on different soil substrates. We find a suite of bacterial and fungal groups contributing to nitrogen cycling and a reproducible network of decomposers that emerge on predictable timescales. The results show this decomposer community is derived primarily from bulk soil, but key decomposers are ubiquitous in low abundance. Soil type was not a dominant factor driving community development and the process of decomposition is sufficiently reproducible that it offers unique opportunities for forensic investigations.",gpt-3.5-turbo,"{'Microbial ecology', 'Metabolomics'}",{'Forensic investigations'}
Metcalf Microbial community assembly and metabolic function during mammalian corpse decomposition SHSU winter,"Vertebrate corpse decomposition provides an important stage in nutrient cycling in most terrestrial habitats, yet microbially-mediated processes are poorly understood. Here we combine deep microbial community characterization, community-level metabolic reconstruction, and soil biogeochemical assessment to understand principles governing microbial community assembly during decomposition of mouse and human corpses on different soil substrates. We find a suite of bacterial and fungal groups contributing to nitrogen cycling and a reproducible network of decomposers that emerge on predictable timescales. The results show this decomposer community is derived primarily from bulk soil, but key decomposers are ubiquitous in low abundance. Soil type was not a dominant factor driving community development and the process of decomposition is sufficiently reproducible that it offers unique opportunities for forensic investigations.",gpt-3.5-turbo,"{'Microbial ecology', 'Metabolomics'}",{'Forensic investigations'}
Metcalf Microbial community assembly and metabolic function during mammalian corpse decomposition SHSU April 2012 exp,"Vertebrate corpse decomposition provides an important stage in nutrient cycling in most terrestrial habitats, yet microbially-mediated processes are poorly understood. Here we combine deep microbial community characterization, community-level metabolic reconstruction, and soil biogeochemical assessment to understand principles governing microbial community assembly during decomposition of mouse and human corpses on different soil substrates. We find a suite of bacterial and fungal groups contributing to nitrogen cycling and a reproducible network of decomposers that emerge on predictable timescales. The results show this decomposer community is derived primarily from bulk soil, but key decomposers are ubiquitous in low abundance. Soil type was not a dominant factor driving community development and the process of decomposition is sufficiently reproducible that it offers unique opportunities for forensic investigations.",gpt-3.5-turbo,"{'Metagenomics', 'Microbial ecology', 'Environmental sciences'}",set()
Euphorbia Plant Latex Is Inhabited by Diverse Microbial Communities,Samples of Euphorbia latex sequenced for 16S rRNA and ITS1 for fungi,gpt-3.5-turbo,"{'Microbiology', 'Molecular biology', 'Biodiversity'}",set()
Beach sand microbiome from Calvert Island Canada,"beach sand and seawater samples from Calvert Island, BC, 18S and 16S",gpt-3.5-turbo,"{'Metagenomics', 'Microbiology', 'Environmental sciences'}",set()
Effects on the human gut microbiome of travel to Bangladesh,"Sequential samples of feces, skin, oral cavity from a group of people who traveled to Bangladesh Feb 2012",gpt-3.5-turbo,"{'Metagenomics', 'Gastroenterology', 'Microbiology'}",set()
The effect of wetland age and restoration methodology on long term development and ecosystem functions of restored wetlands,The effect of wetland age and restoration methodology on long term development and ecosystem functions of restored wetlands,gpt-3.5-turbo,"{'Ecology', 'Environmental sciences'}",{'Restorative biology'}
Human lung microbiome in Cystic Fibrosis - 3D reconstruction,explant or post-mortem lung lobes from human with Cystic Fibrosis,gpt-3.5-turbo,"{'Respiratory medicine', 'Microbiology', 'Molecular biology'}",set()
"Characterizing the gut microbiome of the last population of undomesticated horses living in the wild, the Przewalski horse","The domestication of animals is often viewed as one of the most important developments in modern human history.  Although much attention has been paid to the effects of domestication on host phenotypes, the effects of domestication on the host gut microbiome is relatively understudied. Given the important role of the mammalian gut microbiome in host health, nutrition, and the immune system (McFall-Ngai et al. 2013), filling this knowledge gap has important potential health implications for livestock, pets, and for improving current management strategies. The diet of domesticated animals is often highly different and less varied than their ancestral diet (e.g. dogs eating Iams or Purina processed food vs. wolves eating caribou or bison). We propose to study equids as a model for investigating the effects of domestication in mammals.  We collected fecal samples from 45 individuals in the last wild population of the highly endangered Przewalski horse (Equus przewalskii) in Mongolia. The horse population was monitered with binoculars and fecal material was collected within an hour (usually within minutes) of defecation, allowing each fecal sample to be associated with a particular horse. Extremely detailed metadata is available for the population investigated, including pedigree, age, social structure, health, reintroduction dates, whole-genome data and years of daily behavioral observations in the field. We will compare the gut microbiota of these samples to fecal samples collected from 36 wild, domesticated horses living in the same region of Mongolia, which will allow us to isolate the effects of domestication/species differences from effects of current diet. We hypothesize that the gut microbiome of domesticated horses will have lower microbial diversity than the microbiome of their undomesticated relatives. ",gpt-3.5-turbo,"{'Zoology', 'Animal study', 'Microbiology'}",set()
Bacterial colonization and succession in a newly opened hospital,"The rise of high-throughput sequencing technologies and culture-independent microbial surveys has the potential to revolutionize our understanding of how microbes colonize, move about, and evolve in hospital environments. Genome analysis of individual organisms, characterization of population dynamics, and microbial community ecology are facilitating the identification of novel pathogens, the tracking of disease outbreaks, and the study of the evolution of antibiotic resistance. Here we review the recent applications of these methods to microbial ecology studies in hospitals and discuss their potential to influence hospital management policy and practice and to reduce nosocomial infections and the spread of antibiotic resistance.",gpt-3.5-turbo,"{'Microbial ecology', 'Antimicrobial Resistance', 'Infectious disease'}",set()
DNA extraction for streamlined metagenomics of diverse environmental samples,"We compared the extraction efficiencies of three magnetic bead−based platforms (KingFisher,epMotion, and Tecan) to a standardized column-based extraction platform across a variety of sample types, including feces,
oral, skin, soil, and water. Replicate sample plates were extracted
and prepared for 16S rRNA gene amplicon sequencing in parallel to assess extraction bias and DNA quality. The data demonstrate that any effect of extraction method on sequencing results was small compared with the variability across samples; however, the KingFisher platform produced the largest number of high-quality reads in the shortest amount of time. Based on
these results, we have identified an extraction pipeline that dramatically
reduces sample processing time without sacrificing bacterial taxonomic or abundance information.",gpt-3.5-turbo,"{'Metagenomics', 'Microbiology', 'DNA'}",set()
Metagenome of microbial communities involved in the nitrogen cycle in sugarcane  soils in Brazil,"The cultivation of sugarcane occupies about 5 million hectares in the state of Sao Paulo and is a crop of a great impact in Brazilian agriculture. Considering crop productivity and sustainability, a better understanding of the microbial composition in soils with sugarcane, as well as the role that microorganisms involved in the nitrogen cycle play is of utmost importance, since they are responsible for the availability of this element to plants. However, little is known about the microbial community related to this biogeochemical cycle in soil of sugarcane fields and our sample areas, for the first time, offer a range of different management conditions and characteristics.",gpt-3.5-turbo,"{'Metagenomics', 'Microbiology', 'Environmental sciences'}",set()
Comparison of Collection Methods for Fecal Samples in Microbiome Studies,"To evaluate fecal collection methods for 16S rRNA gene sequencing,we determined technical reproducibility,stability at ambient temperature over a period of four days,and accuracy of five fecal collection methods (no additive,95% ethanol,RNAlater,fecal occult blood test,and fecal immunochemical test) using samples collected from 52 healthy volunteers at the Mayo Clinic in 2014.",gpt-3.5-turbo,"{'Metagenomics', 'Microbiology', 'Sample collections'}",set()
Composition of symbiotic bacteria as a predictor of survival in Panamanian golden frogs infected with Batrachochytrium dendrobatidis,"Symbiotic microbes can dramatically impact host health and fitness, and recent research in a diversity of systems suggests that different symbiont community structures may result in distinct outcomes for the host. In amphibians, some symbiotic skin bacteria produce metabolites that inhibit the growth of Batrachochytrium dendrobatidis (Bd), a cutaneous fungal pathogen that has caused many amphibian population declines and extinctions. Treatment with beneficial bacteria (probiotics) prevents Bd infection in some amphibian species, and provides optimism for conservation of species that are highly susceptible to chytridiomycosis, the disease caused by Bd. In a laboratory experiment, we used Bd-inhibitory bacteria from non Bd-susceptible Panamanian amphibians in a probiotic development trial with Panamanian golden frogs, Atelopus zeteki, a species currently surviving only in captive assurance colonies. Approximately 30% of infected golden frogs survived Bd exposure by either clearing infection or maintaining low Bd loads, but this was not associated with probiotic treatment. Survival was instead correlated with initial composition of the skin bacterial community and metabolites present on the skin. This suggests a strong link between the structure of these symbiotic microbial communities and amphibian host health in the face of Bd exposure.",gpt-3.5-turbo,"{'Animal study', 'Microbiology', 'Ecology'}",set()
Widespread colonization of the lung by Tropheryma whipplei in HIV infection UPenn,"Lung infections caused by opportunistic or virulent pathogens are a principal cause of morbidity and mortality in HIV infection. It is unknown whether HIV infection leads to changes in basal lung microflora, which may contribute to chronic pulmonary complications that increasingly are being recognized in individuals infected with HIV",gpt-3.5-turbo,"{'Respiratory medicine', 'Immunology', 'Infectious disease'}",set()
Improved Bacterial 16S rRNA Gene (V4 and V4-5) and Fungal Internal Transcribed Spacer Marker Gene Primers for Microbial Community Surveys,"combined samples sequenced with primers modified for forward barcoding on the 515f site, extended to include V5 and improved ITS",gpt-3.5-turbo,"{'Microbiology', 'DNA'}","{'microbiology', 'metagenomics'}"
The Soil Microbiome Influences Grapevine-Associated Microbiota MiSeq,"The aim is to classify the microbial diversity associated with the bulk soil, rhizosphere, roots, leaves, flowers (in the spring) and grapes (in the fall) from 4 Merlot vine clonal varieties, found in 2 different soil types, in 5 different wineries, in 3 different seasons over 2 years in the North Fork region of Long Island. We are attempting to determine the microbial community structure associated with the vines (endophytic and epiphytic) and to explore the factors which influence the community structure, e.g. host variety, soil type, geolocation, etc.? Ultimately we will examine both the 16S rRNA community structure and the shotgun metagenomic functional characteristics to determine whether microbial community structure and function influence the health and productivity of the vines.",gpt-3.5-turbo,"{'Metagenomics', 'Microbiology', 'Environmental sciences'}",set()
Creating a 3D microbial and chemical snapshot of a human habitat,"Little is known about the molecules that are present in the human habitat, or how human and microbial residents influence them. Using 3D cartographic approaches, we mapped the microbial composition and molecular migration among four human volunteers within a single office environment, to reveal the chemicals and microbes associated with specific niches within the human habitat. This cartographic analysis shows how both chemistry and microbes track human activity.",gpt-3.5-turbo,"{'Metagenomics', 'Microbiology', 'Chemistry'}",set()
"Diversity, host affinity and ecology of foliar endophytic microbes in Amazonian Peru","In total, 2,543 living cultures were obtained from 178 leaflets, 120 from litter bags, plus 58 taken fresh from the crown, of an individual Protium subserratum Burseraceae near Iquitos, Peru. P. subserratum is a mid-canopy tree that occurs throughout the basin, in various edaphic contexts-including nutrient-rich clay forests, as well as depauperate white sand forests known for their high endemism Fine et al. 2006. This broad geographic distribution and ecological amplitude makes characterizing the microbiome of P. subserratum an excellent starting-point in the effort to understand the diversity of symbiotrophic microbes in the lowland tropics.",gpt-3.5-turbo,"{'Microbiology', 'Ecology', 'Biodiversity'}",set()
"The North American Arctic Transect, NAAT and the Eurasian Arctic Transect, EAT","We collected soil samples along two arctic transects in North America, NAAT and Eurasia, EAT. Each transect extends across all five bioclimatic subzones of the Arctic.",gpt-3.5-turbo,"{'Ecology', 'Environmental sciences', 'Agricultural science'}",{'Soil science'}
Pitcher plant Darlingtonia california microbe intervention and analysis,Study of pitcher plants over time through a summer season,gpt-3.5-turbo,"{'Microbiology', 'Zoology', 'Ecology'}",set()
"Antibiotics, birth mode, and diet shape microbiome maturation during early life","Early childhood is a critical stage for the foundation and development of both the microbiome and host. Early-life antibiotic exposures, cesarean section, and formula feeding could disrupt microbiome establishment and adversely affect health later in life. We profiled microbial development during the first two years of life in a cohort of 43 US infants, and identify multiple disturbances associated with antibiotic exposures, cesarean section, and diet. Antibiotics delayed microbiome development and suppressed Clostridiales, including Lachnospiraceae. Cesarean section led to depleted Bacteroidetes populations, altering establishment of maternal bacteria. Formula-feeding was associated with age-dependent diversity deviations. These findings illustrate the complexity of early-life microbiome development, and microbiota disturbances with antibiotic use, cesarean section, and formula feeding that may contribute to obesity, asthma, and other disorders.",gpt-3.5-turbo,"{'Metagenomics', 'Antimicrobial Resistance', 'Microbiology'}",set()
Field study on drinking water samples from five utilities in eastern U.S.,"Building plumbing is a unique environment and serves as the frontline where most public exposure to drinking water microbes occur.  The building plumbing microbiome composition and the factors that shape it remains little understood.   In this study, standardized rigs were deployed at five potable water utilities (A-E) across the eastern U.S. and first-flush water samples were collected.  At each utility location one rig locates at the water treatment plant (WTP) and the other at the distribution system (DS), thus the impact of water age is examined.  Three pipe materials were compared: copper with lead solder (“copper”), CPVC with brass fittings (“CPVC” or “brass”) and copper/lead combined pipe (“copper/lead”).  All rigs were subject to a uniform stagnation-flush cycle.  Samples before and after stagnation are compared, and impact of different pipe materials is examined within after-stagnation samples.  First-flush water samples (~700mL) were collected at the end of stagnation period on three consecutive flow cycles/ days.  On-site water chemistry parameters and prior water chemistry monitoring data (over a 3-month period) was available.  High throughput Illumina sequencing of 16S rRNA gene amplicons was employed to profile and compare the resident bulk water bacteria and archaea.  The utility location, rig location, stagnation and pipe materials each had significant impact on both the building plumbing microbiome and water chemistry properties, with utility location the overarching factor.  The total chlorine concentration, pH, P, SO42- and Mg together were associated with the most of the variation in bulk water microbiome composition.  A true universal core, special core, and peripheral organisms were identified to deepen insight into the physical and chemical factors that shape the building plumbing microbiome.",gpt-3.5-turbo,"{'Population genomics', 'Microbial ecology', 'Environmental sciences'}",set()
Gut-Resident Lactobacillus Abundance Associates with IDO1 Inhibition and Th17 Dynamics in SIV-Infected Macaques,"This project sought to characterize the fecal bacterial microbiome of simian immunodeficiency virus-infected rhesus macaques, followed longitudinally before infection and during acute and chronic infection.",gpt-3.5-turbo,"{'Metagenomics', 'Microbiology', 'Infectious disease'}",set()
Most of the Dominant Members of Amphibian Skin Bacterial Communities Can Be Readily Cultured,"Currently, it is estimated that only 0.001% to 15% of bacteria in any given system can be cultured by use of commonly used techniques and media, yet culturing is critically important for investigations of bacterial function. Despite this situation, few studies
have attempted to link culture-dependent and culture-independent data for a single system to better understand which members of the microbial community are readily cultured. In amphibians, some cutaneous bacterial symbionts can inhibit establishment and growth of the fungal pathogen Batrachochytrium dendrobatidis, and thus there is great interest in using these symbionts as
probiotics for the conservation of amphibians threatened by B. dendrobatidis. The present study examined the portion of the
culture-independent bacterial community (based on Illumina amplicon sequencing of the 16S rRNA gene) that was cultured
with R2A low-nutrient agar and whether the cultured bacteria represented rare or dominant members of the community in the
following four amphibian species: bullfrogs (Lithobates catesbeianus), eastern newts (Notophthalmus viridescens), spring peepers
(Pseudacris crucifer), and American toads (Anaxyrus americanus). To determine which percentage of the community was
cultured, we clustered Illumina sequences at 97% similarity, using the culture sequences as a reference database. For each amphibian
species, we cultured, on average, 0.59% to 1.12% of each individual’s bacterial community. However, the average percentage
of bacteria that were culturable for each amphibian species was higher, with averages ranging from 2.81% to 7.47%. Furthermore,
most of the dominant operational taxonomic units (OTUs), families, and phyla were represented in our cultures.
These results open up new research avenues for understanding the functional roles of these dominant bacteria in host health.",gpt-3.5-turbo,"{'Environmental sciences', 'Microbiology', 'Molecular biology'}",set()
