Data Repository,_id,Name,Description,Topics,Predictions,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
Data Discovery Engine,DDE_3cb80a1edae78bbc,Gene expression analysis of mouse alveolar macrophages infected with Mycobacterium tuberculosis,The aim of this study was to measure the immune response of alveolar macrophages (AMs) to intracellular Mtb infection in vivo. We characterized the transcriptional profile of murine Mtb-infected AMs after aerosol infection by sorting cells from bronchoalveolar lavage fluid and performing low-input RNA-sequencing. To determine the effect of the transcription factor Nrf2 on this response we also measured the transcriptional profiles of AMs from mice lacking Nrf2.,[Immunology | Transcriptomics | Infectious disease],"{'Infectious disease', 'Gene expression', 'Immunology'}",0.5,0.6666666667,0.6666666667,{'Transcriptomics'},{'Gene expression'},1.35,0.0,1.0,1.0,1.35
Data Discovery Engine,DDE_bc6759b7d16ed62e,"Gene expression analysis of WT, IFNAR KO, or STING KO bone marrow derived macrophages treated with IFNbeta and/or infected with live or heat killed Mycobacterium tuberculosis","The aim of this study was to identify the signaling pathways differentially engaged upon infection with either live or heat killed Mycobacterium tuberculosis in murine bone marrow derived macrophages. Based on preliminary data that type I IFN signaling dominates the transcriptional differences, we investigated what roles the type I IFN receptor IFNAR and the signaling molecule STING play during infection with either live or heat killed Mycobacterium tuberculosis in bone marrow derived macrophages. In WT and STING KO macrophages, IFNbeta treatment was added either by itself or in addition to both of the infection conditions to test whether the lack of IFNbeta induction in these cells accounted for any differences in transcriptional respones.added IFNbeta treatment either by itself or in addition to both of the infection conditions.","[Infectious disease | Immunology | Molecular interactions, pathways and networks]","{'Gene expression', 'Molecular biology', 'Immunology'}",0.2,0.3333333333,0.3333333333,"{'Infectious disease', 'Molecular interactions, pathways and networks'}","{'Gene expression', 'Molecular biology'}",0.9993055556,0.3333333333,1.0,1.0,0.9993055556
Data Discovery Engine,DDE_81f5fb50e9fefb2c,"Genetic Variants Associated with Tacrolimus Metabolism in Kidney Transplant Recipients
","The goal of this genetic epidemiology proposal is to identify and validate genetic variants associated with metabolism of Tacrolimus which is the primary immune suppressant used in transplantation. Since African Americans have worse kidney allograft survival, in part due to increased Tacrolimus metabolism, this project will determine these genetic variants in African American kidney transplant patients using an extreme phenotype sampling model and next generation sequencing, then validate the variants in cell culture assays. The data from this project will lead to personalized dosing models that account for clinical factors, aimed at improving disparities in clinical outcomes. 
",[Sequencing | Genetic variation | Pharmacogenomics],{'Genetics'},0.0,0.0,0.0,"{'Genetic variation', 'Sequencing', 'Pharmacogenomics'}",{'Genetics'},0.7777777778,0.0,3.0,1.0,0.7777777778
Data Discovery Engine,DDE_2646b226628f6c16,Global RNA-seq and proteomics landscape of SARS-CoV-2 Alpha variant,"Mass spectrometry-based protein abundance and phosphorylation profiling and total RNA sequencing were performed in Calu-3 cells at 10 and 24 hours post-infection. Cells were infected with SARS-CoV-2 Alpha (B.1.1.7) variant, B lineage BetaCoV/Australia/VIC01/2020 (VIC) or B.1.13 hCoV-19/England/IC19/2020 (IC19).",[Infectious disease | Proteogenomics | RNA-Seq],"{'Transcriptomics', 'Phylogeny', 'Proteomics'}",0.0,0.0,0.0,"{'Infectious disease', 'Proteogenomics', 'RNA-Seq'}","{'Transcriptomics', 'Phylogeny', 'Proteomics'}",0.8018518519,0.0,1.0,1.0,0.8018518519
Data Discovery Engine,DDE_e4ee0e24bc70d9ad,"GNPS U01 COM08 Metabolomics D592 CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method
","Coordinated OMICs data collection as part of UCSD U01 ""Systems Biology Approach to Redefine Susceptibility Testing and Treatment of MDR Pathogens in the Context of Host Immunity"" [dataset license: CC0 1.0 Universal (CC0 1.0)]
",[Infectious disease | Systems medicine | Immunology],"{'Systems biology', 'Metabolomics', 'Bioinformatics'}",0.0,0.0,0.0,"{'Infectious disease', 'Systems medicine', 'Immunology'}","{'Bioinformatics', 'Systems biology', 'Metabolomics'}",0.787037037,0.0,1.0,1.0,0.787037037
Data Discovery Engine,DDE_5a8901bc36fc84b8,Human Calu-3 cell micro RNA transcriptome response to a wild type infectious clone of H7N9 Influenza virus and mutant H7N9 viruses,"The purpose is to obtain samples for mRNA, miRNA, proteomics, lipidomics, metabolomics, and histopathology analysis in human Calu-3 cells infected with WT A/Anhui/1/2013 (H7N9; 'AH1'), and AH - NS1-103F/106M.",[Infectious disease | Virology | Transcriptomics],"{'Transcriptomics', 'Infectious disease', 'Virology'}",1.0,1.0,1.0,{},{},1.0,0.0,1.0,1.0,1.0
Data Discovery Engine,DDE_5e05907318982f1d,"Human monocyte-derived macrophage (MDM) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.
","Human monocyte-derived macrophages (MDM) serve as a model for resident alveolar macrophages (AM) in the human respiratory tract. mRNA-Seq analysis was used to profile the cellular transcriptome of MDM cells at multiple time points in response to infection with influenza A/California/04/09 (H1N1), A/Wyoming/03/03 (H3N2), and A/Vietnam/1203/04 (H5N1) HALo virus. The Influenza A/Vietnam/1203/04 (H5N1) HALo mutant virus is an attenuated H5N1 virus generated from wild-type Influenza A/Vietnam/1203/04 (H5N1) virus as described in Steel, J., et al. J Virol. 2009 Feb; 83(4):1742-53.",[Infectious disease | RNA-Seq | Virology],"{'Infectious disease', 'Genetics', 'Immunology'}",0.2,0.3333333333,0.3333333333,"{'RNA-Seq', 'Virology'}","{'Genetics', 'Immunology'}",0.9916666667,0.0,1.0,1.0,0.9916666667
Data Discovery Engine,DDE_b30a6e68d8c34610,"Identification of chloramphenical and tigecycline hypersensitivity loci in Acinetobacter baumannii
","A. baumannii Tn-seq banks were grown in broth culture in the presence or absence of growth inhibiting concentrations of either chloramphenicol or tigecycline. After allowing 7-8 generations of growth, the banks were pooled and subjected to deep sequencing to identify insertions that confer hypersensitivity to antibiotics.
",[Antimicrobial Resistance | Sequencing | Functional genomics],"{'Microbiology', 'Bioinformatics'}",0.0,0.0,0.0,"{'Antimicrobial Resistance', 'Functional genomics', 'Sequencing'}","{'Microbiology', 'Bioinformatics'}",0.7777777778,0.0,1.5,1.0,0.7777777778
Data Discovery Engine,DDE_117d63cc05742798,"Immune Constraints on Antibiotic Resistance
","Genome sequence of Streptococcus pneumoniae following murine passaging
",[Immunology |  Genomics | Antimicrobial Resistance],"{'Infectious disease', 'Microbiology', 'Genomics'}",0.2,0.3333333333,0.3333333333,"{'Antimicrobial Resistance', 'Immunology'}","{'Infectious disease', 'Microbiology'}",0.9993055556,0.3333333333,1.0,1.0,0.9993055556
Data Discovery Engine,DDE_0c6dbc5996117836,"Microbiota of allo-HCT patients and Gram Negative Blood Stream Infections
","Thus study analyzes microbiota time series of allo-HCT bone marrow transplant patients at Memorial Sloan Kettering with a focus on gram negative blood stream infections.
",[Infectious disease | Microbial ecology | Immunology],"{'Transcriptomics', 'Infectious disease', 'Microbiology'}",0.2,0.3333333333,0.3333333333,"{'Microbial ecology', 'Immunology'}","{'Transcriptomics', 'Microbiology'}",0.9847222222,1.0,1.0,1.0,0.9847222222
Data Discovery Engine,DDE_d7c3c8dda6398918,Mycobacterium tuberculosis-Human Protein-Protein Interaction Map,An affinity tag purification mass spectrometry (AP-MS) approach was used to identify 187 Mycobacterium tuberculosis (Mtb)-human protein-protein interactions (PPIs) involving 34 secreted Mtb proteins.,"[Infectious disease | Protein interactions | Molecular interactions, pathways and networks]","{'Proteins', 'Molecular biology', 'Bioinformatics'}",0.0,0.0,0.0,"{'Infectious disease', 'Molecular interactions, pathways and networks', 'Protein interactions'}","{'Proteins', 'Molecular biology', 'Bioinformatics'}",0.7824074074,0.0,1.0,1.0,0.7824074074
Data Discovery Engine,DDE_ba31ae21d3350f49,"Parallel evolution of tobramycin resistance across species and environments
","An important problem in evolution is identifying the genetic basis of how different species adapt to similar environments. Understanding how diverse bacterial pathogens evolve in response to an antimicrobial treatment is a pressing example of this problem, where discovery of molecular parallelism could lead to clinically useful predictions. Evolution experiments with pathogens in environments containing antibiotics, combined with periodic whole population genome sequencing, can be used to identify many contending routes to antimicrobial resistance. We separately propagated two clinically relevant Gram-negative pathogens, Pseudomonas aeruginosa and Acinetobacter baumannii, in increasing concentrations of tobramycin in two different environments each: planktonic and biofilm. Independent of the pathogen, populations adapted to tobramycin selection by parallel evolution of mutations in fusA1, encoding elongation factor G, and ptsP, encoding phosphoenolpyruvate phosphotransferase. As neither gene is a direct target of this aminoglycoside, both are unexpected and underreported causes of resistance. Additionally, both species acquired antibiotic-associated mutations that were more prevalent in the biofilm lifestyle than planktonic, in electron transport chain components in A. baumannii and LPS biosynthesis enzymes in P. aeruginosa populations. Using existing databases, we discovered both fusA1 and ptsP mutations to be prevalent in antibiotic resistant clinical isolates. Additionally, we report site-specific parallelism of fusA1 mutations that extend across several bacterial phyla. This study suggests that strong selective pressures such as antibiotic treatment may result in high levels of predictability in molecular targets of evolution despite differences between organism's genetic background and environment.",[Antimicrobial Resistance | Microbial ecology | Evolutionary biology],"{'Antimicrobial Resistance', 'Microbiology', 'Genomics'}",0.2,0.3333333333,0.3333333333,"{'Evolutionary biology', 'Microbial ecology'}","{'Microbiology', 'Genomics'}",0.9916666667,0.0,1.0,1.0,0.9916666667
Data Discovery Engine,DDE_22067908eb3e1ed6,Primary human lung fibroblast cells transcriptome response to interferon αβ or interferon γ,To obtain samples for RNA analysis following treatment of primary human lung fibroblasts (FB)) with universal interferon alpha beta or interferon gamma.,[Transcriptomics | Respiratory medicine | Immunology],"{'Transcriptomics', 'Cell biology', 'Immunology'}",0.5,0.6666666667,0.6666666667,{'Respiratory medicine'},{'Cell biology'},1.291666667,0.0,1.0,1.0,1.291666667
Data Discovery Engine,DDE_f69a7658f7cdf84e,"Primary human microvascular endothelial cells Proteome response to an icMERS coronavirus
","Proteomics data from cell culture; time points 0, 12, 24, 36 & 48 h [dataset license: CC0 1.0 Universal (CC0 1.0)]
",[Infectious disease | Proteomics | Immunology],"{'Infectious disease', 'Cell biology', 'Proteomics'}",0.5,0.6666666667,0.6666666667,{'Immunology'},{'Cell biology'},1.291666667,0.0,1.0,1.0,1.291666667
Data Discovery Engine,DDE_e128fe39d18e8d5e,SARS-CoV-2 Virus Sequencing,"Virus sequencing of patients infected with COVID-19 from Southern California, Tijuana, New Orleans and Jordan by the SEARCH Alliance along with a large number of partners. The virus sequence data will be used to to gain insights into the emergence and spread of SARS-CoV-2. The sequencing is being performed using an amplicon-based sequencing scheme using PrimalSeq with artic nCoV-2019 scheme. Nanopore data was processed using the artic-nCoV019 pipeline with minimap2 and medaka. Illumina data was processed using iVar (Grubaguh et al. Genome Biology 2019) with bwa. Methodology is available at https://github.com/andersen-lab/HCoV-19-Genomics",[Infectious disease | Virology | Sequencing],"{'Infectious disease', 'Microbiology', 'Genomics'}",0.2,0.3333333333,0.3333333333,"{'Sequencing', 'Virology'}","{'Microbiology', 'Genomics'}",0.9916666667,0.0,1.0,1.0,0.9916666667
Data Discovery Engine,DDE_c0d0ee2f2d71b44e,"SRA Study SRP156489 is not public
","SRA Study SRP156489 is not public
",Cannot be determined,"{'Data submission, annotation, and curation', 'Bioinformatics', 'Open science'}",0.0,0.0,0.0,{},"{'Data submission, annotation, and curation', 'Bioinformatics', 'Open science'}",0.0,0.0,0.0,0.0,0.0
Data Discovery Engine,DDE_3e18312eda80a9da,"Staphylococcus aureus LAC RNAseq
","Methicillin Resistant Staphylococcus aureus (MRSA) strain LAC has differential resistance to beta-lactams depending on environmental conditions. In this study, LAC was exposed to various levels of sub-inhibitory concentrations of nafcillin in RPMI or CAMHB media and gene expression in each condition was measured with RNAseq. 
",[Antimicrobial Resistance | RNA-Seq | Microbiology],"{'Antimicrobial Resistance', 'Microbiology', 'RNA'}",0.5,0.6666666667,0.6666666667,{'RNA-Seq'},{'RNA'},0.5,0.0,1.0,1.0,0.5
Data Discovery Engine,DDE_bc33aef299ea2332,"Staphylococcus aureus strain:LAC Transcriptome or Gene expression
",RNAseq of S. aureus LAC treated with Nafcillin in two different media types: CA-MHB and RPMI+1ug/ml LL37,[Antimicrobial Resistance | RNA-Seq | Microbiology],"{'Transcriptomics', 'Antimicrobial Resistance', 'Gene expression'}",0.2,0.3333333333,0.3333333333,"{'Microbiology', 'RNA-Seq'}","{'Transcriptomics', 'Gene expression'}",0.9777777778,0.0,1.0,1.0,0.9777777778
