Name,Description,Model,Predictions,Ground Truth,Hallucinations,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
2013 Murine Vaccine with Adjuvant Study,Study of Influenza vaccine coupled with adjuvant in Murine model,gpt-3.5-turbo,"{'Vaccinology', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Vaccinology', 'Animal study'}",0.9239087301587303,0.3333333333333333,1.0,1.0,0.9239087301587303
CRISPR-Cas9 Engineering in Primary Cell Protocol,"A detailed, peer-reviewed protocol published in Nature Protocols for optimizing CRISPR-Cas9 editing pipelines to primary cell types. A detailed example is provided for editing primary CD4+ T cells to identify HIV host factors.",gpt-3.5-turbo,"{'Molecular biology', 'Immunology', 'Bioengineering'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Molecular biology', 'Bioengineering'}",0.9993055555555554,0.3333333333333333,1.0,1.0,0.9993055555555554
Dataset from B cell sequencing data from individuals with kidney transplantation (SNS01) {NCT00141037},No description,gpt-3.5-turbo,"{'Biomedical science', 'Immunology', 'Genetics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Biomedical science', 'Genetics'}",0.9093253968253969,0.0,1.0,1.0,0.9093253968253969
Dataset from Antimicrobial Response to Oral Vitamin D3 in Patients with Psoriasis (CATH 03) {NCT00789880},No description,gpt-3.5-turbo,"{'Allergy, clinical immunology and immunotherapeutics', 'Dermatology', 'Antimicrobial Resistance'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Clinical Immunology'},0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Immunology'}","{'Dermatology', 'Antimicrobial Resistance'}",0.9993055555555554,0.3333333333333333,1.0,1.0,0.9993055555555554
Optimization FACS panels,Optimization of ICS and phenotyping panels for the Mal067 study using cryopreserved PBMC samples from the SAC cohort,gpt-3.5-turbo,"{'Cell biology', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",{'Flow cytometry'},0.25,0.5,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}",{'Cell biology'},1.0347222222222223,0.0,1.5,1.0,1.0347222222222223
gso32 infected with Mtb,Gene expression analysis of gso32 bone marrow derived macrophages treated with IFNbeta and/or infected with live or heat killed Mycobacterium tuberculosis,gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Gene expression'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Gene expression'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
UT_SSc,HLA Genotyping,gpt-3.5-turbo,"{'Molecular biology', 'Immunogenetics', 'Genetics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Molecular biology', 'Immunogenetics', 'Genetics'}",0.7919753086419754,0.2857142857142857,1.0,1.0,0.7919753086419754
MS3 peptide detection,MS3 peptide detection,gpt-3.5-turbo,"{'Analytical chemistry', 'Proteomics', 'Data submission, annotation, and curation'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Analytical chemistry', 'Proteomics', 'Data submission, annotation, and curation'}",0.7870370370370372,0.0,1.0,1.0,0.7870370370370372
Dataset from Monozygotic and Dizygotic Twin Pair T-Cell Responses to Influenza Vaccination SLVP018 2009 {NCT01987349},No description,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Dataset from ADVN Biomarker Registry Study {NCT00406081;NCT00407069;NCT00515047;NCT00789880;NCT00723489;NCT00438022;NCT00614731;NCT00550316;NCT00407979},No description,gpt-3.5-turbo,"{'Biomarkers', 'Preclinical and clinical studies'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Clinical study', 'Registry'}",0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Biomarkers', 'Preclinical and clinical studies'}",0.7119708994708995,0.0,1.5,1.0,0.7119708994708995
Dataset from Systems Biology of Varicella Zoster Vaccination {NCT01911065},No description,gpt-3.5-turbo,"{'Vaccinology', 'Immunology', 'Systems biology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Vaccinology', 'Systems biology'}",0.9993055555555557,0.3333333333333333,1.0,1.0,0.9993055555555557
Immune cells in bronchoalveolar lavage fluid of Ugandan adults who resist versus those who develop latent Mycobacterium tuberculosis infection,An observational study using flow cytometry to measure and compare immune cell percentages in peripheral blood and bronchoalveolar lavage fluid in Mtb infected participants and those who are resistant to Mtb infection.,gpt-3.5-turbo,"{'Respiratory medicine', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Respiratory medicine'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
HLA Homozygous Cell Haplotype Sequencing,Assay development for HLA homozygous cell haplotype sequencing,gpt-3.5-turbo,"{'Molecular biology', 'Bioinformatics', 'Genetics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Molecular biology', 'Bioinformatics', 'Genetics'}",0.7870370370370372,0.0,1.0,1.0,0.7870370370370372
Analysis of STAT mediated dendritic cell activation mechanisms with different stimuli.,"Cells isolated from healthy subjects are used for the in vitro analysis of STAT mediated dendritic cell activation with different stimuli. This is preformed by measuring cell responses to interleukin or other treatments with or without siRNA inhibition of signaling pathways mediating dendritic cell maturation. Analysis of DC responses is measured with flow cytometry, siRNA inhibition, QPCR and western blots.",gpt-3.5-turbo,"{'Cell biology', 'Molecular biology', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Cell biology', 'Molecular biology'}",0.9847222222222223,0.0,1.0,1.0,0.9847222222222223
The Role of Epigenetics in Inner City Asthma (ICAC-15),The study is designed to determine the relation between methylation of CpG motifs and asthma in children residing in the inner city.,gpt-3.5-turbo,"{'Biology', 'Epigenetics', 'Allergy, clinical immunology and immunotherapeutics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Immunology'}","{'Epigenetics', 'Biology'}",0.9239087301587303,0.3333333333333333,1.0,1.0,0.9239087301587303
Immune Profiling Assay Development for Pertussis vaccines,Enrollment min/max Age Unit is years old,gpt-3.5-turbo,"{'Vaccinology', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,{'Infectious disease'},{'Vaccinology'},1.35,0.0,1.0,1.0,1.35
Pregnancy induces an earlier chronotype in both mice and women,"Wrist actigraphy was obtained for two weeks before conception and then throughout pregnancy. Chronotype was measured by determining the time of sleep onset from the actigraphy profile of each 24-hour period (12 PM to 12 PM the next day) during the first (gestational weeks 4 through 13), second (weeks 14 through 27) and third trimesters (week 28 until delivery).",gpt-3.5-turbo,"{'Reproductive health', 'Biology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.0,0.0,0.0,"{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}","{'Reproductive health', 'Biology', 'Animal study'}",0.6869488536155202,0.0,1.0,1.0,0.6869488536155202
MDR1 expression in hematopeotic cells,We generated MDR1-reporter (Abcb1aAME /+) mice to quantify steady-state Abcb1a expression in more than 100 immune cell types and developmental stage.,gpt-3.5-turbo,"{'Cell biology', 'Immunology', 'Genetics'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Cell biology', 'Genetics'}",0.9847222222222223,0.0,1.0,1.0,0.9847222222222223
KSHV tropism in B lymphocytes,Study of Tonsil Biospecimens via ex vivo infection with KSHV to determine KSHV tropism for B lymphocytes in human tonsil,gpt-3.5-turbo,"{'Molecular biology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Molecular biology'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
HP45,Eight to thirteen-weeks-old wild-type and LysMcre mice were infected with two doses (days 0 and 2) of 5x10e7 CFU of either H. pylori strain SS1 or mutant ChePep resuspended in 1X PBS. An uninfected group receiving 1X PBS was included.,gpt-3.5-turbo,"{'Infectious disease', 'Immunology', 'Animal study'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Animal study'},1.1428571428571428,0.0,1.0,1.0,1.1428571428571428
ADVN Biomarker Registry Study: CMI-HSV Substudy,To evaluate AD subjects cell mediated immunity CMI responses to Herpes simplex virus.,gpt-3.5-turbo,"{'Biomarkers', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Biomarkers'},1.2916666666666667,0.0,1.0,1.0,1.2916666666666667
"Immune Responses to Seasonal LAIV 2011-2012 Influenza Vaccination in Humans (see companion study SDY224,SDY564)",To use system biology approaches to compare differences in immune responses to vaccine,gpt-3.5-turbo,"{'Vaccinology', 'Immunology', 'Systems biology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.2,0.3333333333333333,0.3333333333333333,"{'Infectious disease', 'Allergy, clinical immunology and immunotherapeutics'}","{'Vaccinology', 'Systems biology'}",0.9993055555555557,0.3333333333333333,1.0,1.0,0.9993055555555557
Dataset from Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID) SLVP021 2012 {NCT02141581},No description,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
Dataset from Heterovariant cross-reactive B-cell responses induced by the 2009 pandemic influenza virus A subtype H1N1 vaccine SLVP021 {NCT02141581},No description,gpt-3.5-turbo,"{'Vaccinology', 'Infectious disease', 'Immunology'}","{'Infectious disease', 'Immunology', 'Allergy, clinical immunology and immunotherapeutics'}",set(),0.5,0.6666666666666666,0.6666666666666666,"{'Allergy, clinical immunology and immunotherapeutics'}",{'Vaccinology'},1.277777777777778,0.0,1.0,1.0,1.277777777777778
