Name,Description,Ground Truth,Predictions,Filtered Predictions,Hallucinations,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
"Sims et al., Diversity and divergence of the glioma-infiltrating T-cell receptor repertoire","Cancer Study nonneoplastic, low-grade and high-grade glioma NIH/National Institute of Biomedical Imaging and Bioengineering Grant K01EB016071, NIH/National Institute of Neurological Disorders and Stroke Grant R01NS066955","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Biomedical science', 'Immunology'}","Biomedical science, Immunology, Oncology",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Biomedical science', 'Immunology'}",0.7065696649029981,0.2857142857142857,1.0,1.0,0.7065696649029981
"Munson et al., Identification of shared TCR sequences from T cells in human breast cancer using emulsion RT-PCR","Cancer Study Inclusion breast cancer Department of Defense Congressionally Directed Medical Research Programs Multi-Team Awards BC100597, BC100597P1, and 100597P2, University of Colorado Cancer Center Flow Cytometry Shared Resource Cancer Center Support Grant CA046934","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Immunology', 'Bioinformatics'}","Immunology, Bioinformatics",{'Cancer study'},0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Immunology', 'Bioinformatics'}",0.7197420634920635,0.3333333333333333,1.5,1.0,0.7197420634920635
"Shi et al., Multi-omics study revealing the complexity and spatial heterogeneity of tumor-infiltrating lymphocytes in primary liver carcinoma","Cancer Study primary liver carcinoma National Key Research and Development Program of the Ministry of Science and Technology of China (NO.2016YFC0905301), CAMS Innovation Fund for Medical Sciences (CIFMS, NO.2016-12M-3-005)","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Multiomics', 'Immunology'}","Multiomics, Immunology, Oncology",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Multiomics', 'Immunology'}",0.7374338624338624,0.5,1.0,1.0,0.7374338624338624
Single-Cell Map of Diverse Immune Phenotypes in the Breast Tumor Microenvironment,"Knowledge of immune cell phenotypes in the tumor microenvironment is essential for understanding mechanisms of cancer progression and immunotherapy response. We profiled 45,000 immune cells from eight breast carcinomas, as well as matched normal breast tissue, blood, and lymph nodes, using single-cell RNA-seq. We developed a preprocessing pipeline, SEQC, and a Bayesian clustering and normalization method, Biscuit, to address computational challenges inherent to single-cell data. Despite significant similarity between normal and tumor tissue-resident immune cells, we observed continuous phenotypic expansions specific to the tumor microenvironment. Analysis of paired single-cell RNA and T cell receptor (TCR) sequencing data from 27,000 additional T cells revealed the combinatorial impact of TCR utilization on phenotypic diversity. Our results support a model of continuous activation in T cells and do not comport with the macrophage polarization model in cancer. Our results have important implications for characterizing tumor-infiltrating immune cells. Tissues were collected from women undergoing surgery for primary breast cancer. All samples were obtained after informed consent and approval from the Institutional Review Board (IRB) at Memorial Sloan Kettering Cancer Center. This study was supported by NIH grants R37 AI034206 (A.Y.R.), DP1-HD084071 (D.P.), R01CA164729 (D.P.), U54 CA209975 (A.Y.R, D.P.). Cancer Center Support Grant P30 CA008748, the Hilton-Ludwig Cancer Prevention Initiative funded by the Conrad N. Hilton Foundation, Ludwig Cancer Research, and Gerry Center for Metastasis and Tumor Ecosystems. E.A. was supported by an American Cancer Society - Fairfield County Roast Committee Postdoctoral Fellowship (PF-17-243-01-RMC), A.J.C. by a HHMI international graduate fellowship, G.P. by a Breast Cancer Alliance Young Investigator Grant and the Society of MSK Research Grant, C.K. by a Hutham S. Olayan Graduate Fellowship, and P.T.M. by a Boehringer Ingelheim SHINE Fellowship. CyTOF experiments were supported with funds from the Boehringer Ingelheim SHINE Program (A.Y.R.). A.Y.R. is an investigator with the Howard Hughes Medical Institute.","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Immunology', 'Bioinformatics'}","Immunology, Bioinformatics, Oncology",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Immunology', 'Bioinformatics'}",0.7273242630385487,0.4,1.0,1.0,0.7273242630385487
"Jia et al., Local mutational diversity drives intratumoral immune heterogeneity in non-small cell lung cancer.","Cancer Study Lung cancer National Nature Science Foundation of China (81222031) to B.Z., and Beau Biden Cancer Moonshot Initiative from the NIH (R33CA225328)","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Genetics', 'Immunology'}","Immunology, Genetics",{'Cancer study'},0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Genetics', 'Immunology'}",0.7374338624338624,0.5,1.5,1.0,0.7374338624338624
A Potently Neutralizing Antibody Protects Mice against SARS-CoV-2 Infection,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is responsible for millions of infections and hundreds of thousands of deaths globally. There are no widely available licensed therapeutics against SARS-CoV-2, highlighting an urgent need for effective interventions. The virus enters host cells through binding of a receptor-binding domain within its trimeric spike glycoprotein to human angiotensin-converting enzyme 2. In this article, we describe the generation and characterization of a panel of murine mAbs directed against the receptor-binding domain. One mAb, 2B04, neutralized wild-type SARS-CoV-2 in vitro with remarkable potency (half-maximal inhibitory concentration of <2 ng/ml). In a murine model of SARS-CoV-2 infection, 2B04 protected challenged animals from weight loss, reduced lung viral load, and blocked systemic dissemination. Thus, 2B04 is a promising candidate for an effective antiviral that can be used to prevent SARS-CoV-2 infection. Work in Ellebedy laboratory was supported by NIAID R21 AI139813, U01 AI141990, and NIAID Centers of Excellence for Influenza Research and Surveillance (CEIRS) contract HHSN272201400008C. Work in the Diamond laboratory was partially supported by was supported by NIH contracts and grants 75N93019C00062 and R01 AI127828 and the Defense Advanced Research Project Agency HR001117S0019. Work in the Fremont laboratory was partially supported by NIAID contracts HHSN272201700060C and 75N93019C00062. Work in the Kleinstein laboratory was partially supported by NIH R01AI104739. Work in the Krammer laboratory was partially supported by the NIAID CEIRS contract HHSN272201400008C and Collaborative Influenza Vaccine Innovation Centers contract 75N93019C00051. The Genome Technology Access Center in the Department of Genetics at Washington University School of Medicine is partially supported by NCI Cancer Center Support Grant #P30 CA91842 to the Siteman Cancer Center and by ICTS/CTSA Grant# UL1 TR000448 from the NCRR. JST was supported by NIAID 5T32CA009547. JBC was supported by a Helen Hay Whitney postdoctoral fellowship.","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Immunology', 'Biotechnology'}","Immunology, Biotechnology, Infectious disease",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Immunology', 'Biotechnology'}",0.7419312169312169,0.8,1.0,1.0,0.7419312169312169
T cell receptor repertoire among women who cleared and failed to clear cervical human papillomavirus infection: An exploratory proof-of-principle study,"Background: It is unknown why a minority of women fail to clear human papillomavirus (HPV) and develop precancer/cancer. Differences in T-cell receptor (TCR) repertoires may identify HPV16- infected women at highest-risk for progression to cancer. We conducted a proof-of-principle study nested within the Guanacaste HPV Natural History Study to evaluate the utility of next-generation sequencing for interrogating the TCR repertoires among women who cleared and failed to clear cervical HPV16. Methods: TCR repertoires of women with HPV16-related intraepithelial neoplasia grade 3 or higher (CIN3+; n = 25) were compared to women who cleared an incident HPV16 infection without developing precancer/cancer (n = 25). TCR diversity (richness and evenness) and relative abundance (RA) of gene segment (V [n = 51], D [n = 2], J [n = 13]) usage was evaluated; receiver operating curve analysis assessed the ability to differentiate case-control status. Results: TCR repertoire richness was associated with CIN3+ status (P = 0.001). Relative abundance (RA) of V-gene segments was enriched for associations between cases and controls. A sin- gle V-gene (TRBV6-7) was significantly associated with CIN3+ status (RA = 0.11%, 0.16%, among cases and controls, respectively, Bonferroni P = 0.0008). The estimated area under the curve using richness and V-gene segment RA was 0.83 (95% confidence interval: 0.73-0.90). Conclusions: Substantial differences in TCR repertoire among women with CIN3+ compared to women who cleared infection were observed. This work was supported by the intramural research program at the National Cancer Institute, Division of Cancer Epidemiology and Genetics, Infections and Immunoepidemiology Branch (Mahboobeh Safaeian)","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Genetics', 'Immunology'}","Immunology, Genetics, Oncology",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Genetics', 'Immunology'}",0.7374338624338624,0.5,1.0,1.0,0.7374338624338624
omega,MPG:Strategic_Innovation_Fund,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Bioengineering', 'Biology', 'Biotechnology'}","Biotechnology, Biology, Bioengineering",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Bioengineering', 'Biology', 'Biotechnology'}",0.7110670194003527,0.5,1.0,1.0,0.7110670194003527
Imbalance of Regulatory and Cytotoxic SARS-CoV-2-Reactive CD4 + T Cells in COVID-19,"The contribution of CD4+ T cells to protective or pathogenic immune responses to SARS-CoV-2 infection remains unknown. Here, we present single-cell transcriptomic analysis of >100,000 viral antigen-reactive CD4+ T cells from 40 COVID-19 patients. In hospitalized patients compared to non-hospitalized patients, we found increased proportions of cytotoxic follicular helper cells and cytotoxic T helper (TH) cells (CD4-CTLs) responding to SARS-CoV-2 and reduced proportion of SARS-CoV-2-reactive regulatory T cells (TREG). Importantly, in hospitalized COVID-19 patients, a strong cytotoxic TFH response was observed early in the illness, which correlated negatively with antibody levels to SARS-CoV-2 spike protein. Polyfunctional TH1 and TH17 cell subsets were underrepresented in the repertoire of SARS-CoV-2-reactive CD4+ T cells compared to influenza-reactive CD4+ T cells. Together, our analyses provide insights into the gene expression patterns of SARS-CoV-2-reactive CD4+ T cells in distinct disease severities. NIH grants U19AI14274 , U19AI142742-0S1 (to P.V., A.S., and C.H.O.), U19AI118626 (to P.V., A.S., and G.S.), R01HL114093 (to P.V., F.A., and G.S.), R35-GM128938 (F.A), S10RR027366 (BD FACSAria-II), and S10OD025052 (Illumina Novaseq6000); the William K. Bowes, Jr. Foundation (P.V.); and Whittaker Foundation (C.H.O.). Supported by the Wessex Clinical Research Network and National Institute for Health Research UK .","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Gene expression', 'Immunology'}","Immunology, Infectious disease, Gene expression",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Gene expression', 'Immunology'}",0.7464285714285714,1.25,1.0,1.0,0.7464285714285714
omega,MPG:Strategic_Innovation_Fund,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Data integration and warehousing', 'Biochemistry', 'Biotechnology'}","Biochemistry, Biotechnology, Data integration and warehousing",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Data integration and warehousing', 'Biochemistry', 'Biotechnology'}",0.691137566137566,0.2,1.0,1.0,0.691137566137566
"Zhou et al., Multi-donor Analysis Reveal Structural Elements, Genetic Determinants, and Maturation Pathway for Effective HIV-1 Neutralization by VRC01-class Antibodies",HIV+ Study,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Genetics', 'Immunology'}","Immunology, Genetics, Infectious disease",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Infectious disease', 'Genetics', 'Immunology'}",0.7419312169312169,0.8,1.0,1.0,0.7419312169312169
"Michaeli et al., Immunoglobulin gene repertoire diversification and selection in the stomach - from gastritis to gastric lymphomas",Cancer Study,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Genetics', 'Immunology'}","Immunology, Genetics, Oncology",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Genetics', 'Immunology'}",0.7374338624338624,0.5,1.0,1.0,0.7374338624338624
"Palanichamy et al., Immunoglobulin class-switched B cells provide an active immune axis between CNS and periphery in multiple sclerosis",Multiple Sclerosis Study,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Immunology', 'Neurology'}","Immunology, Neurology",{'Multiple Sclerosis'},0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Immunology', 'Neurology'}",0.7374338624338624,0.5,1.5,1.0,0.7374338624338624
Individual heritable differences result in unique cell lymphocyte receptor repertoires of naive and antigen-experienced cells,"The adaptive immune system's capability to protect the body requires a highly diverse lymphocyte antigen receptor repertoire. However, the influence of individual genetic and epigenetic differences on these repertoires is not typically measured. By leveraging the unique characteristics of B, CD4+ T, and CD8+ T lymphocyte subsets isolated from monozygotic twins, we have quantified the impact of heritable factors on both the V(D)J recombination process and thymic selection in the case of T cell receptors, and show that the repertoires of both naive and antigen experienced cells are subject to biases resulting from differences in recombination. We show that biases in V(D)J usage, as well as biased N/P additions, contribute to significant variation in the CDR3 region. Moreover, we show that the relative usage of V and J gene segments is chromosomally biased, with approximately 1.5 times as many rearrangements originating from a single chromosome. These data refine our understanding of the heritable mechanisms affecting the repertoire, and show that biases are evident on a chromosome-wide level.","{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Genetics', 'Immunology', 'Genomics'}","Immunology, Genetics, Genomics",set(),0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Genetics', 'Immunology', 'Genomics'}",0.7374338624338624,0.5,1.0,1.0,0.7374338624338624
"Wang et al., The Different T-cell Receptor Repertoires in Breast Cancer Tumors, Draining Lymph Nodes, and Adjacent Tissues",Cancer Study,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Immunology'}","Immunology, Oncology",{'Cancer study'},0.0,0.0,0.0,"{'Immunoinformatics', 'Structure analysis', 'Immunoproteins and antigens'}","{'Oncology', 'Immunology'}",0.7374338624338624,0.5,1.5,1.0,0.7374338624338624
