Name,Description,Model,Predictions,Ground Truth,Hallucinations,Jaccard Similarity,Precision,Recall,Exclusive Ground Truth,Exclusive Predictions,Weight,Broadness Score,overprediction penalty,penalty,Adjusted Weights
Drug-induced adverse events prediction with the LINCS L1000 data.,"MOTIVATION:Adverse drug reactions (ADRs) are a central consideration during drug development. Here we present a machine learning classifier to prioritize ADRs for approved drugs and pre-clinical small-molecule compounds by combining chemical structure (CS) and gene expression (GE) features. The GE data is from the Library of Integrated Network-based Cellular Signatures (LINCS) L1000 dataset that measured changes in GE before and after treatment of human cells with over 20 000 small-molecule compounds including most of the FDA-approved drugs. Using various benchmarking methods, we show that the integration of GE data with the CS of the drugs can significantly improve the predictability of ADRs. Moreover, transforming GE features to enrichment vectors of biological terms further improves the predictive capability of the classifiers. The most predictive biological-term features can assist in understanding the drug mechanisms of action. Finally, we applied the classifier to all ?>20 000 small-molecules profiled, and developed a web portal for browsing and searching predictive small-molecule/ADR connections. AVAILABILITY AND IMPLEMENTATION:The interface for the adverse event predictions for the ?>20 000 LINCS compounds is available at http://maayanlab.net/SEP-L1000/ CONTACT: avi.maayan@mssm.edu SUPPLEMENTARY INFORMATION:Supplementary data are available at Bioinformatics online.",gpt-3.5-turbo,"{'Bioinformatics', 'Machine learning', 'Drug discovery'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Machine learning', 'Drug discovery'}",0.6322751322751322,0.0,1.0,1.0,0.6322751322751322
broadinstitute/lincs-cell-painting: Full release of LINCS Cell Painting dataset,"Summary
This release contains finalized profile and metadata information for the CellProfiler-derived features from the LINCS Cell Painting dataset.
We assayed two batches of data and applied an image analysis pipeline using CellProfiler to segment cells and extract morphology features. Using the CellProfiler output, we applied an image-based profiling pipeline to process the morphology profiles into an analysis-ready form.
In this repository, we provide the full image-based profiling pipeline we used to process the data, as well as most of the intermediate data.
Data counts

Two batches (""2016_04_01_a549_48hr_batch1"" and ""2017_12_05_Batch2"")
159,717,488 unique cells total

2016_04_01_a549_48hr_batch1

52,223 profiles (batch corrected)
10,752 unique perturbations
1,571 unique compounds
1 time point (48 hour)
7 doses
1 cell line (A549)
110,012,425 unique cells

2017_12_05_Batch2

51,447 profiles (batch corrected)
10,368 unique perturbations
349 unique compounds
3 time points (6 hour, 24 hour, 48 hour)
6 doses
3 cell lines (A549, MCF7, U2OS)
49,705,063 unique cells
",gpt-3.5-turbo,"{'Bioinformatics', 'Cell biology', 'Data management'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Cell biology', 'Data management'}",0.7833333333333335,0.0,1.0,1.0,0.7833333333333335
"L1000 Connectivity Map perturbational profiles from Broad Institute LINCS Center for Transcriptomics LINCS Pilot PHASE I (n=1,319,138; updated March 03, 2017)","The Library of Integrated Cellular Signatures (LINCS) is an NIH program which funds the generation of perturbational profiles across multiple cell and perturbation types, as well as read-outs, at a massive scale. The LINCS Center for Transcriptomics at the Broad Institute uses the L1000 high-throughput gene-expression assay to build a Connectivity Map which seeks to enable the discovery of functional connections between drugs, genes and diseases through analysis of patterns induced by common gene-expression changes. These files represent L1000 data generated during the LINCS Pilot Phase (2012-2015), as well as profiles generated for more specific purposes, such as assay development and validation projects or testing custom compounds or non-standard cell lines (not part of the core LINCS cell lines). Note: Related GEO projects include (a) Additional L1000 and RNA-Seq data used to validate the assay and improve the inference model, available at GSE92743 (b)  The LINCS “production phase” (also termed Phase II, 2015-2020) which is generating an additional cohort of L1000 data, available at GSE70138.The Platform is GPL20573: Broad Institute Human L1000 epsilonhttps://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL20573For questions or assistance with this dataset, please email the CMap support team at: clue@broadinstitute.org
LINCS aims to enable a functional understanding of biology by cataloging changes in gene expression and other cellular processes that occur when cells are exposed to a variety of perturbing agents. The Broad Institute LINCS Center for Transcriptomics contributes to this collaborative effort by application of the Connectivity Map concept. In brief, the study design involves the generation of a compendium of transcriptional expression data from cultured human cells treated with small-molecule and genetic loss/gain of function perturbagens. These measurements are made using the L1000 high-throughput gene-expression assay that enables data generation at an unprecedented scale.  The data are processed through a computational system, that converts raw fluorescence intensities into differential gene expression signatures. The data at each stage of the pre-processing are available: Level 1 (LXB) - raw, unprocessed flow cytometry data from Luminex scanners. One LXB file is generated for each well of a 384-well plate, and each file contains a fluorescence intensity value for every observed analyte in the well. Level 2 (GEX) - gene expression values per 1,000 genes after deconvolution from Luminex beads. Level 3 (Q2NORM) - gene expression profiles of both directly measured landmark transcripts plus inferred genes. Normalized using invariant set scaling followed by quantile normalization. Level 4 (Z-SCORES) - signatures with differentially expressed genes computed by robust z-scores for each profile relative to control (PC relative to plate population as control; VC relative to vehicle control). Level 5 (SIG) consists of the replicates, usually 3 per treatment, aggregated into a single differential expression vector derived from the weighted averages of the individual replicates.Please note that a description of the latest file, and a table listing the contents of the 'Broad_LINCS_auxiliary_datasets.tar.gz' file are updated in the following document;https://docs.google.com/document/d/1q2gciWRhVCAAnlvF2iRLuJ7whrGP6QjpsCMq1yWz7dU/edit#heading=h.l6bq0r1aih50",gpt-3.5-turbo,"{'Bioinformatics', 'Genomics', 'Transcriptomics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Genomics', 'Transcriptomics'}",0.7910774410774412,0.5,1.0,1.0,0.7910774410774412
L1000 Dataset -small molecule perturbagens- LINCS Phase 2 (June 2015),"L1000 is a bead-based, high-throughput gene expression assay in which cultured cells are treated with various chemical and genetic perturbations and the corresponding transcriptional responses are measured.The data are processed through a computational system, that converts raw fluorescence intensities into differential gene expression signatures. The data at each stage of the pre-processing are available: Level 1 (LXB) - raw, unprocessed flow cytometry data from Luminex scanners. One LXB file is generated for each well of a 384-well plate, and each file contains a fluorescence intensity value for every observed analyte in the well. Level 2 (GEX) - gene expression values per 1,000 genes after deconvolution from Luminex beads. Level 3 (Q2NORM) - gene expression profiles of both directly measured landmark transcripts plus inferred genes. Normalized using invariant set scaling followed by quantile normalization. Level 4 (Z-SCORES) - signatures with differentially expressed genes computed by robust z-scores for each profile relative to control (PC relative to plate population as control; VC relative to vehicle control)",gpt-3.5-turbo,"{'Bioinformatics', 'Computational biology', 'Gene expression'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Computational biology', 'Gene expression'}",0.7155483405483406,0.5,1.0,1.0,0.7155483405483406
"L1000 Dataset -small molecule, CRISPR perturbagens- LINCS Phase 2 (March 2017)","L1000 is a bead-based, high-throughput gene expression assay in which cultured cells are treated with various chemical and genetic perturbations and the corresponding transcriptional responses are measured.The data are processed through a computational system, that converts raw fluorescence intensities into differential gene expression signatures. The data at each stage of the pre-processing are available: Level 1 (LXB) - raw, unprocessed flow cytometry data from Luminex scanners. One LXB file is generated for each well of a 384-well plate, and each file contains a fluorescence intensity value for every observed analyte in the well. Level 2 (GEX) - gene expression values per 1,000 genes after deconvolution from Luminex beads. Level 3 (Q2NORM) - gene expression profiles of both directly measured landmark transcripts plus inferred genes. Normalized using invariant set scaling followed by quantile normalization. Level 4 (Z-SCORES) - signatures with differentially expressed genes computed by robust z-scores for each profile relative to control (PC relative to plate population as control; VC relative to vehicle control)",gpt-3.5-turbo,"{'Bioinformatics', 'Computational biology', 'Genetics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Computational biology', 'Genetics'}",0.7078042328042328,0.0,1.0,1.0,0.7078042328042328
"L1000 Dataset -small molecule, CRISPR perturbagens- LINCS Phase 2 (December 2015)","L1000 is a bead-based, high-throughput gene expression assay in which cultured cells are treated with various chemical and genetic perturbations and the corresponding transcriptional responses are measured.The data are processed through a computational system, that converts raw fluorescence intensities into differential gene expression signatures. The data at each stage of the pre-processing are available: Level 1 (LXB) - raw, unprocessed flow cytometry data from Luminex scanners. One LXB file is generated for each well of a 384-well plate, and each file contains a fluorescence intensity value for every observed analyte in the well. Level 2 (GEX) - gene expression values per 1,000 genes after deconvolution from Luminex beads. Level 3 (Q2NORM) - gene expression profiles of both directly measured landmark transcripts plus inferred genes. Normalized using invariant set scaling followed by quantile normalization. Level 4 (Z-SCORES) - signatures with differentially expressed genes computed by robust z-scores for each profile relative to control (PC relative to plate population as control; VC relative to vehicle control)",gpt-3.5-turbo,"{'Bioinformatics', 'Genomics', 'Drug discovery'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Genomics', 'Drug discovery'}",0.7078042328042328,0.0,1.0,1.0,0.7078042328042328
Harnessing the biological complexity of Big Data from LINCS gene expression signatures.,"Gene expression profiling using transcriptional drug perturbations are useful for many biomedical discovery studies including drug repurposing and elucidation of drug mechanisms (MoA) and many other pharmacogenomic applications. However, limited data availability across cell types has severely hindered our capacity to progress in these areas. To fill this gap, recently, the LINCS program generated almost 1.3 million profiles for over 40,000 drug and genetic perturbations for over 70 different human cell types, including meta information about the experimental conditions and cell lines. Unfortunately, Big Data like the ones generated from the ongoing LINCS program do not enable easy insights from the data but possess considerable challenges toward their analysis. In this paper, we address some of these challenges. Specifically, first, we study the gene expression signature profiles from all cell lines and their perturbagents in order to obtain insights in the distributional characteristics of available conditions. Second, we investigate the differential expression of genes for all cell lines obtaining an understanding of condition dependent differential expression manifesting the biological complexity of perturbagents. As a result, our analysis helps the experimental design of follow-up studies, e.g., by selecting appropriate cell lines.",gpt-3.5-turbo,"{'Bioinformatics', 'Computational biology', 'Gene expression'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Computational biology', 'Gene expression'}",0.7155483405483406,0.5,1.0,1.0,0.7155483405483406
"Perturbational proteomic and transcriptional profiles of drug perturbations from Broad Institute LINCS Proteomic Characterization Center for Signaling and Epigenetics and Broad Institute LINCS Center for Transcriptomics (U54HG008097) (n=5,063)","The Library of Integrated Cellular Signatures (LINCS) is an NIH program which funds the generation of perturbational profiles across multiple cell and perturbation types, as well as read-outs, at a massive scale. The LINCS PCCSE uses two high-throughput liquid chromatography-mass spectrometry (LCMS) assays to study the proteomic changes induced by drug and genetic perturbations. P100 monitors ~100 phosphorylated peptides from cellular proteins that serve as a reduced representation of the phosphoproteome. GCP monitors ~60 modified peptides from histones (e.g., methylated, acetylated, and combinations thereof) encompassing nearly every well-studied post-translational modification on the core nucleosomal histone proteins. Closely complementing these assays is the L1000 high-throughput gene-expression assay. The files available here contain P100, GCP, and L1000 data for 90 small-molecule perturbations in six cell lines (five cancer cell lines and a neurodevelopmental cell model). These data were generated under the auspices of the NIH LINCS Program (www.lincsproject.org). Note: Related GEO projects include a large corpus of additional L1000 data, available at GSE92742.The Platform for the L1000 data is GPL20573: Broad Institute Human L1000 epsilonhttp://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL20573For questions or assistance with this dataset, please email the Connectivity Map support team at: clue@broadinstitute.org
These data represent three different read-outs (phosphosignaling, chromatin modifications, and transcriptional changes) of the same 90 small-molecule perturbations in six cell lines. The duration of treatment was 3 hours for P100, 24 hours for GCP, and 6 hours for L1000. These data are available at multiple levels of processing: level 1 is fluorescence intensity (for L1000) or mass spectrometry extracted ion chromatogram traces (for P100, GCP); level 2 is gene expression or proteomic values without normalization; level 3 is normalized; and level 4 is differential (i.e., each sample is compared to all other samples on a plate).",gpt-3.5-turbo,"{'Bioinformatics', 'Proteomics', 'Transcriptomics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Proteomics', 'Transcriptomics'}",0.7910774410774412,0.5,1.0,1.0,0.7910774410774412
LINCS L1000 dataset-based repositioning of CGP-60474 as a highly potent anti-endotoxemic agent.,"Sepsis is one of the most common clinical syndromes that causes death and disability. Although many studies have developed drugs for sepsis treatment, none have decreased the mortality rate. The aim of this study was to identify a novel treatment option for sepsis using the library of integrated network-based cellular signatures (LINCS) L1000 perturbation dataset based on an in vitro and in vivo sepsis model. Sepsis-related microarray studies of early-stage inflammatory processes in patients and innate immune cells were collected from the Gene Expression Omnibus (GEO) data repository and used for candidate drug selection based on the LINCS L1000 perturbation dataset. The anti-inflammatory effects of the selected candidate drugs were analyzed using activated macrophage cell lines. CGP-60474, an inhibitor of cyclin-dependent kinase, was the most potent drug. It alleviated tumor necrosis factor-? (TNF-?) and interleukin-6 (IL-6) in activated macrophages by downregulating the NF-?B activity, and it reduced the mortality rate in LPS induced endotoxemia mice. This study shows that CGP-60474 could be a potential therapeutic candidate to attenuate the endotoxemic process. Additionally, the virtual screening strategy using the LINCS L1000 perturbation dataset could be a cost and time effective tool in the early stages of drug development.",gpt-3.5-turbo,"{'Bioinformatics', 'Immunology', 'Drug discovery'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Immunology', 'Drug discovery'}",0.7078042328042328,0.0,1.0,1.0,0.7078042328042328
l1kdeconv: an R package for peak calling analysis with LINCS L1000 data.,"BACKGROUND:LINCS L1000 is a high-throughput technology that allows gene expression measurement in a large number of assays. However, to fit the measurements of ~1000 genes in the ~500 color channels of LINCS L1000, every two landmark genes are designed to share a single channel. Thus, a deconvolution step is required to infer the expression values of each gene. Any errors in this step can be propagated adversely to the downstream analyses. RESULTS:We presented a LINCS L1000 data peak calling R package l1kdeconv based on a new outlier detection method and an aggregate Gaussian mixture model (AGMM). Upon the remove of outliers and the borrowing information among similar samples, l1kdeconv showed more stable and better performance than methods commonly used in LINCS L1000 data deconvolution. CONCLUSIONS:Based on the benchmark using both simulated data and real data, the l1kdeconv package achieved more stable results than the commonly used LINCS L1000 data deconvolution methods.",gpt-3.5-turbo,"{'Bioinformatics', 'Computational biology', 'Genetics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Computational biology', 'Genetics'}",0.7078042328042328,0.0,1.0,1.0,0.7078042328042328
Coarse-grained simulations of a phase-separated membrane with different LINCS settings (part 1/3),systems with lincs_iter = 1. To be written.,gpt-3.5-turbo,"{'Membrane and lipoproteins', 'Computational biology', 'Biophysics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Membrane and lipoproteins', 'Computational biology', 'Biophysics'}",0.687790604457271,0.2857142857142857,1.0,1.0,0.687790604457271
Coarse-grained simulations of a phase-separated membrane with different LINCS settings (part 2/3),systems with lincs_iter = 2. To be written.,gpt-3.5-turbo,"{'Bioinformatics', 'Computational biology', 'Biophysics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Computational biology', 'Biophysics'}",0.6322751322751322,0.0,1.0,1.0,0.6322751322751322
Coarse-grained simulations of a phase-separated membrane with different LINCS settings (part 3/3),Additional simulations with lincs_order 10 & 12,gpt-3.5-turbo,"{'Computational biology', 'Biomolecular simulation', 'Biophysics'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Computational biology', 'Biomolecular simulation', 'Biophysics'}",0.6826278659611993,0.0,1.0,1.0,0.6826278659611993
"Ontological representation, integration, and analysis of LINCS cell line cells and their cellular responses.","BACKGROUND:Aiming to understand cellular responses to different perturbations, the NIH Common Fund Library of Integrated Network-based Cellular Signatures (LINCS) program involves many institutes and laboratories working on over a thousand cell lines. The community-based Cell Line Ontology (CLO) is selected as the default ontology for LINCS cell line representation and integration. RESULTS:CLO has consistently represented all 1097 LINCS cell lines and included information extracted from the LINCS Data Portal and ChEMBL. Using MCF 10A cell line cells as an example, we demonstrated how to ontologically model LINCS cellular signatures such as their non-tumorigenic epithelial cell type, three-dimensional growth, latrunculin-A-induced actin depolymerization and apoptosis, and cell line transfection. A CLO subset view of LINCS cell lines, named LINCS-CLOview, was generated to support systematic LINCS cell line analysis and queries. In summary, LINCS cell lines are currently associated with 43 cell types, 131 tissues and organs, and 121 cancer types. The LINCS-CLO view information can be queried using SPARQL scripts. CONCLUSIONS:CLO was used to support ontological representation, integration, and analysis of over a thousand LINCS cell line cells and their cellular responses.",gpt-3.5-turbo,"{'Bioinformatics', 'Cell biology', 'Ontology and terminology'}","{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}",set(),0.0,0.0,0.0,"{'Metabolomics', 'Protein binding sites', 'Molecular interactions, pathways and networks'}","{'Bioinformatics', 'Cell biology', 'Ontology and terminology'}",0.7833333333333335,0.0,1.0,1.0,0.7833333333333335
