Model,Abstract,Ground Truth,Predictions
gpt-4,"Genetic variations affecting neural tube closure along the head result in malformations of the face and brain. Neural tube defects (NTDs) are among the most common birth defects in humans. We previously reported a mouse mutant called tuft that arose spontaneously in our wild-type 3H1 colony. Adult tuft mice present midline craniofacial malformations with or without an anterior cephalocele. In addition, affected embryos presented neural tube closure defects resulting in insufficient closure of the anterior neuropore or exencephaly. Here, through whole-genome sequencing, we identified a nonsense mutation in the Tet1 gene, which encodes a methylcytosine dioxygenase (TET1), co-segregating with the tuft phenotype. This mutation resulted in premature termination that disrupts the catalytic domain that is involved in the demethylation of cytosine. We detected a significant loss of TET enzyme activity in the heads of tuft embryos that were homozygous for the mutation and had NTDs. RNA-Seq transcriptome analysis indicated that multiple gene pathways associated with neural tube closure were dysregulated in tuft embryo heads. Among them, the expressions of Cecr2, Epha7 and Grhl2 were significantly reduced in some embryos presenting neural tube closure defects, whereas one or more components of the non-canonical WNT signaling pathway mediating planar cell polarity and convergent extension were affected in others. We further show that the recombinant mutant TET1 protein was capable of entering the nucleus and affected the expression of endogenous Grhl2 in IMCD-3 (inner medullary collecting duct) cells. These results indicate that TET1 is an epigenetic determinant for regulating genes that are crucial to closure of the anterior neural tube and its mutation has implications to craniofacial development, as presented by the tuft mouse.","Gene expression, Developmental biology, Drug development, Gene regulation, Genetics, Biology, Zoology, RNA, DNA mutation, Drug metabolism","Molecular biology, Genetics, Genomic imprinting, Epigenetics, Bioinformatics, Data mining, Developmental biology, Gene expression, Genetic variation, Neurobiology"
gpt-4,"Yin and yang 1 (YY1) is a well-known zinc-finger transcription factor with crucial roles in normal development and malignancy. YY1 acts both as a repressor and as an activator of gene expression. We have identified 23 individuals with de novo mutations or deletions of YY1 and phenotypic features that define a syndrome of cognitive impairment, behavioral alterations, intrauterine growth restriction, feeding problems, and various congenital malformations. Our combined clinical and molecular data define ""YY1 syndrome"" as a haploinsufficiency syndrome. Through immunoprecipitation of YY1-bound chromatin from affected individuals' cells with antibodies recognizing both ends of the protein, we show that YY1 deletions and missense mutations lead to a global loss of YY1 binding with a preferential retention at high-occupancy sites. Finally, we uncover a widespread loss of H3K27 acetylation in particular on the YY1-bound enhancers, underscoring a crucial role for YY1 in enhancer regulation. Collectively, these results define a clinical syndrome caused by haploinsufficiency of YY1 through dysregulation of key transcriptional regulators.","Human biology, Medicinal chemistry, Biochemistry, Molecular genetics, Protein binding sites, Chemistry, Genetics, Drug metabolism","Molecular biology, Human genetics, Gene regulation, Molecular genetics, Biochemistry, Epigenetics, Cell biology, Genetic variation"
gpt-4,"The utilization of methane, a potent greenhouse gas, is an important component of local and global carbon cycles that is characterized by tight linkages between methane-utilizing (methanotrophic) and nonmethanotrophic bacteria. It has been suggested that the methanotroph sustains these nonmethanotrophs by cross-feeding, because subsequent products of the methane oxidation pathway, such as methanol, represent alternative carbon sources. We established cocultures in a microcosm model system to determine the mechanism and substrate that underlay the observed cross-feeding in the environment. Lanthanum, a rare earth element, was applied because of its increasing importance in methylotrophy. We used co-occurring strains isolated from Lake Washington sediment that are involved in methane utilization: a methanotroph and two nonmethanotrophic methylotrophs. Gene-expression profiles and mutant analyses suggest that methanol is the dominant carbon and energy source the methanotroph provides to support growth of the nonmethanotrophs. However, in the presence of the nonmethanotroph, gene expression of the dominant methanol dehydrogenase (MDH) shifts from the lanthanide-dependent MDH (XoxF)-type, to the calcium-dependent MDH (MxaF)-type. Correspondingly, methanol is released into the medium only when the methanotroph expresses the MxaF-type MDH. These results suggest a cross-feeding mechanism in which the nonmethanotrophic partner induces a change in expression of methanotroph MDHs, resulting in release of methanol for its growth. This partner-induced change in gene expression that benefits the partner is a paradigm for microbial interactions that cannot be observed in studies of pure cultures, underscoring the importance of synthetic microbial community approaches to understand environmental microbiomes.","Carbon cycle, Gene expression, Proteins, Pharmacology, Drug metabolism","Microbial ecology, Carbon cycle, Molecular biology, Biochemistry, Environmental sciences"
gpt-4,"Because microRNAs (miRNAs) have been associated with eye diseases, our study aims to profile ocular miRNA expression in normal human ciliary body (CB), cornea, and trabecular meshwork (TM) using miRNA-Seq to provide a foundation for better understanding of miRNA function and disease involvement in these tissues.","Human biology, Genetics, RNA, Drug metabolism, Sequence analysis","Ophthalmology, Molecular biology, Genomics, ""Functional, regulatory and non-coding RNA"", Bioinformatics"
gpt-4,"Many cellular models aimed at elucidating cancer biology do not recapitulate pathobiology including tumor heterogeneity, an inherent feature of cancer that underlies treatment resistance. Here we introduce a cancer modeling paradigm using genetically engineered human pluripotent stem cells (hiPSCs) that captures authentic cancer pathobiology. Orthotopic engraftment of the neural progenitor cells derived from hiPSCs that have been genome-edited to contain tumor-associated genetic driver mutations revealed by The Cancer Genome Atlas project for glioblastoma (GBM) results in formation of high-grade gliomas. Similar to patient-derived GBM, these models harbor inter-tumor heterogeneity resembling different GBM molecular subtypes, intra-tumor heterogeneity, and extrachromosomal DNA amplification. Re-engraftment of these primary tumor neurospheres generates secondary tumors with features characteristic of patient samples and present mutation-dependent patterns of tumor evolution. These cancer avatar models provide a platform for comprehensive longitudinal assessment of human tumor development as governed by molecular subtype mutations and lineage-restricted differentiation.","Gene expression, Human biology, Gene regulation, Pathology, Zoology, Genetics, DNA mutation, Genetic engineering, Drug metabolism","Cell biology, Bioinformatics, Genomics, Genetically engineering, Cancer research, Molecular biology, DNA mutation, Data analysis, Human biology"
gpt-4,"Influenza A viruses (IAVs) quickly adapt to new environments and are well known to cross species barriers. To reveal a molecular basis for these phenomena, we compared the Ser/Thr and Tyr phosphoproteomes of murine lung epithelial cells early and late after infection with mouse-adapted SC35M virus or its nonadapted SC35 counterpart. With this analysis we identified a large set of upregulated Ser/Thr phosphorylations common to both viral genotypes, while Tyr phosphorylations showed little overlap. Most of the proteins undergoing massive changes of phosphorylation in response to both viruses regulate chromatin structure, RNA metabolism, and cell adhesion, including a focal adhesion kinase (FAK)-regulated network mediating the regulation of actin dynamics. IAV also affected phosphorylation of activation loops of 37 protein kinases, including FAK and several phosphatases, many of which were not previously implicated in influenza virus infection. Inhibition of FAK proved its contribution to IAV infection. Novel phosphorylation sites were found on IAV-encoded proteins, and the functional analysis of selected phosphorylation sites showed that they either support (NA Ser178) or inhibit (PB1 Thr223) virus propagation. Together, these data allow novel insights into IAV-triggered regulatory phosphorylation circuits and signaling networks.<b>IMPORTANCE</b> Infection with IAVs leads to the induction of complex signaling cascades, which apparently serve two opposing functions. On the one hand, the virus highjacks cellular signaling cascades in order to support its propagation; on the other hand, the host cell triggers antiviral signaling networks. Here we focused on IAV-triggered phosphorylation events in a systematic fashion by deep sequencing of the phosphoproteomes. This study revealed a plethora of newly phosphorylated proteins. We also identified 37 protein kinases and a range of phosphatases that are activated or inactivated following IAV infection. Moreover, we identified new phosphorylation sites on IAV-encoded proteins. Some of these phosphorylations support the enzymatic function of viral components, while other phosphorylations are inhibitory, as exemplified by PB1 Thr223 modification. Our global characterization of IAV-triggered patterns of phospho-proteins provides a rich resource to further understand host responses to infection at the level of phosphorylation-dependent signaling networks.","Human biology, Proteins, Pharmacology, Medicinal chemistry, Biochemistry, Zoology, Molecular genetics, Chemistry, Genetics, Physiology, Sequence analysis, Drug metabolism","Virology, Cell biology, Biochemistry, Molecular biology, Proteomics, Bioinformatics, Infectious disease, Molecular genetics, ""Molecular interactions, pathways and networks"", Genomics, Biomedical science, Systems biology"
gpt-4,"Newborns are frequently affected by mucocutaneous candidiasis. Th17 cells essentially limit mucosal invasion by commensal <i>Candida</i> spp. Here, we sought to understand the molecular basis for the developmental lack of Th17 cell responses in circulating blood neonatal T cells. Naive cord blood CD4 T cells stimulated in Th17-differentiating conditions inherently produced high levels of the interleukin-22 immunoregulatory cytokine, particularly in the presence of neonatal antigen-presenting cells. A genome-wide transcriptome analysis comparing neonatal and adult naïve CD4 T cells <i>ex vivo</i> revealed major developmental differences in gene networks regulating Small Drosophila Mothers Against Decapentaplegic (SMAD) and Signal Transducer and Activator of Transcription 3 (STAT3) signaling. These changes were functionally validated by experiments showing that the requirement for TGF-β in human Th17 cell differentiation is age-dependent. Moreover, STAT3 activity was profoundly diminished while overexpression of the <i>STAT3</i> gene restored Th17 cell differentiation capacity in neonatal T cells. These data reveal that Th17 cell responses are developmentally regulated at the gene expression level in human neonates. These developmental changes may protect newborns against pathological Th17 cell responses, at the same time increasing their susceptibility to mucocutaneous candidiasis.","Immunogenetics, Human biology, Immunology, Genetics, Drug metabolism","""Cell biology, Developmental biology, Immunology, Infectious disease, Molecular biology"""
gpt-4,"Chocolate Pots hot springs (CP) is a unique, circumneutral pH, iron-rich, geothermal feature in Yellowstone National Park. Prior research at CP has focused on photosynthetically driven Fe(II) oxidation as a model for mineralization of microbial mats and deposition of Archean banded iron formations. However, geochemical and stable Fe isotopic data have suggested that dissimilatory microbial iron reduction (DIR) may be active within CP deposits. In this study, the potential for microbial reduction of native CP Fe(III) oxides was investigated, using a combination of cultivation dependent and independent approaches, to assess the potential involvement of DIR in Fe redox cycling and associated stable Fe isotope fractionation in the CP hot springs. Endogenous microbial communities were able to reduce native CP Fe(III) oxides, as documented by most probable number enumerations and enrichment culture studies. Enrichment cultures demonstrated sustained DIR driven by oxidation of acetate, lactate, and H2 . Inhibitor studies and molecular analyses indicate that sulfate reduction did not contribute to observed rates of DIR in the enrichment cultures through abiotic reaction pathways. Enrichment cultures produced isotopically light Fe(II) during DIR relative to the bulk solid-phase Fe(III) oxides. Pyrosequencing of 16S rRNA genes from enrichment cultures showed dominant sequences closely affiliated with Geobacter metallireducens, a mesophilic Fe(III) oxide reducer. Shotgun metagenomic analysis of enrichment cultures confirmed the presence of a dominant G. metallireducens-like population and other less dominant populations from the phylum Ignavibacteriae, which appear to be capable of DIR. Gene (protein) searches revealed the presence of heat-shock proteins that may be involved in increased thermotolerance in the organisms present in the enrichments as well as porin-cytochrome complexes previously shown to be involved in extracellular electron transport. This analysis offers the first detailed insight into how DIR may impact the Fe geochemistry and isotope composition of a Fe-rich, circumneutral pH geothermal environment.","Drug metabolism, Microbiology, Sequence analysis","Microbiology, Geology, Biochemistry"
gpt-4,"Activating mutations in JAK1 have been reported in acute lymphoblastic leukemias (ALLs). In this study, we found a type I interferon (IFN) transcriptional signature in JAK1 mutation-positive human ALL samples. This signature was recapitulated in vitro by the expression of JAK1 mutants in BW5147 and BaF3 hematopoietic cell lines. Binding of JAK1 to the IFN receptor was essential because mutations in the FERM domain abrogated this effect. Beside the constitutive activation of the type I IFN signaling cascade, JAK1 mutations also strongly potentiated the response to IFN in vitro. Typically, the proliferation of cell lines expressing JAK1(A634D) was abrogated by type I IFNs. Interestingly, we found that different JAK1 mutations differentially potentiate responses to type I IFNs or to interleukin-9, another cytokine using JAK1 to mediate its effects. This suggests that the type of mutation influences the specificity of the effect on distinct cytokine receptor signaling. Finally, we also showed in an in vivo leukemia model that cells expressing JAK1(A634D) are hypersensitive to the antiproliferative and antitumorigenic effect of type I IFN, suggesting that type I IFNs should be considered as a potential therapy for ALL with JAK1-activating mutations.","Gene expression, Immunogenetics, Human biology, Pharmacology, Immunoinformatics, Physiology, Immunology, Zoology, Genetics, DNA mutation, Drug metabolism","Biochemistry, Cell biology, DNA mutation, Gene expression, Haematology, Immunology, Molecular biology, Molecular genetics, Oncology, Protein interactions, Translational medicine"
gpt-4,"While microarray experiments generate voluminous data, discerning trends that support an existing or alternative paradigm is challenging. To synergize hypothesis building and testing, we designed the Pathogen Associated Drosophila MicroArray (PADMA) database for easy retrieval and comparison of microarray results from immunity-related experiments (www.padmadatabase.org). PADMA also allows biologists to upload their microarray-results and compare it with datasets housed within PADMA. We tested PADMA using a preliminary dataset from Ganaspis xanthopoda-infected fly larvae, and uncovered unexpected trends in gene expression, reshaping our hypothesis. Thus, the PADMA database will be a useful resource to fly researchers to evaluate, revise, and refine hypotheses.","Zoology, Genetics, Computational biology","Bioinformatics, Genomics, Immunology"
gpt-4,"Pea powdery mildew (PM) is an important fungal disease caused by an obligate biotroph, Erysiphe pisi (Ep), which significantly impacts pea production worldwide. The phytopathogen secretes a plethora of effectors, primarily through specialized infection structures termed haustoria, to establish a dynamic relationship with its host. To identify Ep effector candidates, a cDNA library of enriched haustoria from Ep-infected pea leaves was sequenced. The Ep transcriptome encodes 622 Ep candidate secreted proteins (CSPs), of which 167 were predicted to be candidate secreted effector proteins (CSEPs). Phylogenetic analysis indicates that Ep CSEPs are highly diverse, but, unlike cereal PM CSEPs, exhibit extensive sequence similarity with effectors from other PMs. Quantitative real-time PCR of a subset of EpCSEP/CSPs revealed that the majority are preferentially expressed in haustoria and exhibit infection stage-specific expression patterns. The functional roles of EpCSEP001, EpCSEP009 and EpCSP083 were probed by host-induced gene silencing (HIGS) via a double-stranded (ds) RNA-mediated RNAi approach. Foliar application of individual EpCSEP/CSP dsRNAs resulted in a marked reduction in PM disease symptoms. These findings were consistent with microscopic and molecular studies, suggesting that these Ep CSEP/CSPs play important roles in pea PM pathogenesis. Homology modelling revealed that EpCSEP001 and EpCSEP009 are analogous to fungal ribonucleases and belong to the RALPH family of effectors. This is the first study to identify and functionally validate candidate effectors from the agriculturally relevant pea PM, and highlights the utility of transcriptomics and HIGS to elucidate the key proteins associated with Ep pathogenesis.","Gene expression, Proteins, Medicinal chemistry, Gene regulation, Biochemistry, Microbiology, Chemistry, Genetics, Drug metabolism, Transcriptomics, Structural biology","Agricultural science, Bioinformatics, Biology, Biotechnology, Comparative genomics, Functional genomics, Genetics, Molecular biology, Plant biology, Proteomics, Transcriptomics"
gpt-4,"Bacterial genes that change in expression upon environmental disturbance have commonly been seen as those that must also phenotypically matter. However, several studies suggest that differentially expressed genes are rarely phenotypically important. We demonstrate, for Gram-positive and Gram-negative bacteria, that these seemingly uncoordinated gene sets are involved in responses that can be linked through topological network analysis. However, the level of coordination is stress dependent. While a well-coordinated response is triggered in response to nutrient stress, antibiotics trigger an uncoordinated response in which transcriptionally and phenotypically important genes are neither linked spatially nor in their magnitude. Moreover, a gene expression meta-analysis reveals that genes with large fitness changes during stress have low transcriptional variation across hundreds of other conditions, and vice versa. Our work suggests that cellular responses can be understood through network models that incorporate regulatory and genetic relationships, which could aid drug target predictions and genetic network engineering.","Gene expression, Pharmacology, Gene regulation, Medicinal chemistry, Biochemistry, Genotype and phenotype, Chemistry, Genetics, Drug metabolism","Bacterial genes, Bioinformatics, Comparative genomics, Functional genomics, Gene expression, Gene regulation, Microbiology, ""Molecular interactions, pathways and networks"", Systems biology"
gpt-4,"Differentiation proceeds along a continuum of increasingly fate-restricted intermediates, referred to as canalization<sup>1,2</sup>. Canalization is essential for stabilizing cell fate, but the mechanisms that underlie robust canalization are unclear. Here we show that the BRG1/BRM-associated factor (BAF) chromatin-remodelling complex ATPase gene Brm safeguards cell identity during directed cardiogenesis of mouse embryonic stem cells. Despite the establishment of a well-differentiated precardiac mesoderm, Brm<sup>-/-</sup> cells predominantly became neural precursors, violating germ layer assignment. Trajectory inference showed a sudden acquisition of a non-mesodermal identity in Brm<sup>-/-</sup> cells. Mechanistically, the loss of Brm prevented de novo accessibility of primed cardiac enhancers while increasing the expression of neurogenic factor POU3F1, preventing the binding of the neural suppressor REST and shifting the composition of BRG1 complexes. The identity switch caused by the Brm mutation was overcome by increasing BMP4 levels during mesoderm induction. Mathematical modelling supports these observations and demonstrates that Brm deletion affects cell fate trajectory by modifying saddle-node bifurcations<sup>2</sup>. In the mouse embryo, Brm deletion exacerbated mesoderm-deleted Brg1-mutant phenotypes, severely compromising cardiogenesis, and reveals an in vivo role for Brm. Our results show that Brm is a compensable safeguard of the fidelity of mesoderm chromatin states, and support a model in which developmental canalization is not a rigid irreversible path, but a highly plastic trajectory.","Gene expression, Gene regulation, Sequence assembly, Genotype and phenotype, Zoology, Genetics, Drug metabolism","Cell biology, Developmental biology, Molecular biology, Genetics, Biochemistry, Biomedical science, Cardiology"
gpt-4,"We designed and constructed a genome-wide microarray with 22,987 70-mer oligonucleotides covering the presently known and predicted genes in the silkworm genome, and surveyed the gene expression in multiple silkworm tissues on day 3 of the fifth instar. Clusters of tissue-prevalent and tissue-specific genes and genes that are differentially expressed in different tissues were identified, and they reflect well major tissue-specific functions on the molecular level. The data presented in this study provide a new resource for annotating the silkworm genome.","Medicinal chemistry, Biochemistry, Zoology, Chemistry, Genetics, Drug metabolism","Bioinformatics, Comparative genomics, Functional genomics, Gene expression, Genomics, Molecular biology"
gpt-4,"Dissipation kinetics of mesotrione, a new triketone herbicide, sprayed on soil from Limagne (Puy-de-Dôme, France) showed that the soil microflora were able to biotransform it. Bacteria from this soil were cultured in mineral salt solution supplemented with mesotrione as sole source of carbon for the isolation of mesotrione-degrading bacteria. The bacterial community structure of the enrichment cultures was analyzed by temporal temperature gradient gel electrophoresis (TTGE). The TTGE fingerprints revealed that mesotrione had an impact on bacterial community structure only at its highest concentrations and showed mesotrione-sensitive and mesotrione-adapted strains. Two adapted strains, identified as Bacillus sp. and Arthrobacter sp., were isolated by colony hybridization methods. Biodegradation assays showed that only the Bacillus sp. strain was able to completely and rapidly biotransform mesotrione. Among several metabolites formed, 2-amino-4-methylsulfonylbenzoic acid (AMBA) accumulated in the medium. Although sulcotrione has a chemical structure closely resembling that of mesotrione, the isolates were unable to degrade it.","Microbial ecology, Ecology, Microbiology, Environmental sciences, Drug metabolism","Agricultural science, Analytical chemistry, Biochemistry, Microbiology, Toxicology"
