Model,Abstract,MeSH Terms,Old Ground Truth,New Ground Truth,Predictions,Prioritized Predictions
ft:gpt-3.5-turbo-1106:personal::8SDAGTmv,"Bacterial genes that change in expression upon environmental disturbance have commonly been seen as those that must also phenotypically matter. However, several studies suggest that differentially expressed genes are rarely phenotypically important. We demonstrate, for Gram-positive and Gram-negative bacteria, that these seemingly uncoordinated gene sets are involved in responses that can be linked through topological network analysis. However, the level of coordination is stress dependent. While a well-coordinated response is triggered in response to nutrient stress, antibiotics trigger an uncoordinated response in which transcriptionally and phenotypically important genes are neither linked spatially nor in their magnitude. Moreover, a gene expression meta-analysis reveals that genes with large fitness changes during stress have low transcriptional variation across hundreds of other conditions, and vice versa. Our work suggests that cellular responses can be understood through network models that incorporate regulatory and genetic relationships, which could aid drug target predictions and genetic network engineering.","['Anti-Bacterial Agents/*pharmacology', 'Culture Media/chemistry/pharmacology', 'Gene Expression Profiling', '*Gene Expression Regulation, Bacterial', '*Gene Regulatory Networks', '*Genes, Bacterial', 'Genetic Fitness', 'Phenotype', 'Pseudomonas aeruginosa/*drug effects/genetics/growth & development/metabolism', 'Streptococcus pneumoniae/*drug effects/genetics/growth & development/metabolism', 'Stress, Physiological', 'Transcription, Genetic/*drug effects']","Cell culture collection, Gene expression, Gene regulation, Genetics, Genotype and phenotype, Physiology, Plant biology, Protein variants","['Gene regulation', 'Gene expression', 'Genotype and phenotype', 'Chemistry', 'Biochemistry', 'Medicinal chemistry', 'Genetics', 'Drug metabolism', 'Pharmacology']","Biodiversity, Gene expression, Gene regulation, Genetic variation, Genomics, Human biology, Human genetics, Microbial ecology","Gene expression, Gene regulation, Genetic engineering, Genetics, Human biology, Human genetics, Immunology, Sequence analysis"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"While microarray experiments generate voluminous data, discerning trends that support an existing or alternative paradigm is challenging. To synergize hypothesis building and testing, we designed the Pathogen Associated Drosophila MicroArray (PADMA) database for easy retrieval and comparison of microarray results from immunity-related experiments (www.padmadatabase.org). PADMA also allows biologists to upload their microarray-results and compare it with datasets housed within PADMA. We tested PADMA using a preliminary dataset from Ganaspis xanthopoda-infected fly larvae, and uncovered unexpected trends in gene expression, reshaping our hypothesis. Thus, the PADMA database will be a useful resource to fly researchers to evaluate, revise, and refine hypotheses.","['Animals', 'Computational Biology', '*Databases, Genetic', 'Drosophila/*genetics', 'Drosophila Proteins/*genetics', 'Immunity, Innate/genetics', 'Oligonucleotide Array Sequence Analysis']","Animal study, Biology, Computational biology, Immunoinformatics, Laboratory animal science, Proteins, Sequence analysis, Zoology","['Zoology', 'Computational biology', 'Genetics']","Animal study, Gene expression, Gene regulation, Host-pathogen interaction, Immunoinformatics, Immunology, Laboratory animal science, Zoology","Animal study, Gene expression, Gene regulation, Immunology, Infection, Laboratory animal science, Proteins, Zoology"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"Pea powdery mildew (PM) is an important fungal disease caused by an obligate biotroph, Erysiphe pisi (Ep), which significantly impacts pea production worldwide. The phytopathogen secretes a plethora of effectors, primarily through specialized infection structures termed haustoria, to establish a dynamic relationship with its host. To identify Ep effector candidates, a cDNA library of enriched haustoria from Ep-infected pea leaves was sequenced. The Ep transcriptome encodes 622 Ep candidate secreted proteins (CSPs), of which 167 were predicted to be candidate secreted effector proteins (CSEPs). Phylogenetic analysis indicates that Ep CSEPs are highly diverse, but, unlike cereal PM CSEPs, exhibit extensive sequence similarity with effectors from other PMs. Quantitative real-time PCR of a subset of EpCSEP/CSPs revealed that the majority are preferentially expressed in haustoria and exhibit infection stage-specific expression patterns. The functional roles of EpCSEP001, EpCSEP009 and EpCSP083 were probed by host-induced gene silencing (HIGS) via a double-stranded (ds) RNA-mediated RNAi approach. Foliar application of individual EpCSEP/CSP dsRNAs resulted in a marked reduction in PM disease symptoms. These findings were consistent with microscopic and molecular studies, suggesting that these Ep CSEP/CSPs play important roles in pea PM pathogenesis. Homology modelling revealed that EpCSEP001 and EpCSEP009 are analogous to fungal ribonucleases and belong to the RALPH family of effectors. This is the first study to identify and functionally validate candidate effectors from the agriculturally relevant pea PM, and highlights the utility of transcriptomics and HIGS to elucidate the key proteins associated with Ep pathogenesis.","['Amino Acid Sequence', 'Ascomycota/*genetics/*pathogenicity', 'Computer Simulation', 'Fungal Proteins/chemistry/genetics/*metabolism', 'Gene Expression Regulation, Fungal', 'Peas/*genetics', 'Plant Diseases/*microbiology', 'Plant Leaves/microbiology', 'RNA, Double-Stranded/metabolism', 'Structural Homology, Protein', 'Time Factors', 'Transcriptome/*genetics']","Computer science, Gene expression, Gene regulation, Pathology, Plant biology, Protein structure analysis, Proteins, RNA, Rare diseases, Structural biology, Transcription factors and regulatory sites, Transcriptomics","['Proteins', 'Gene expression', 'Gene regulation', 'Structural biology', 'Transcriptomics', 'Chemistry', 'Biochemistry', 'Medicinal chemistry', 'Genetics', 'Drug metabolism', 'Microbiology']","Agricultural science, Drug discovery, Gene expression, Gene regulation, Infectious disease, Laboratory animal science, Pathology, Plant biology, Protein binding sites, RNA, Sequence analysis, Transcriptomics","Agricultural science, Bioinformatics, Computational biology, DNA, DNA binding sites, Gene expression, Gene regulation, Infectious disease, Plant biology, Protein binding sites, Proteins, Transcriptomics"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"Differentiation proceeds along a continuum of increasingly fate-restricted intermediates, referred to as canalization<sup>1,2</sup>. Canalization is essential for stabilizing cell fate, but the mechanisms that underlie robust canalization are unclear. Here we show that the BRG1/BRM-associated factor (BAF) chromatin-remodelling complex ATPase gene Brm safeguards cell identity during directed cardiogenesis of mouse embryonic stem cells. Despite the establishment of a well-differentiated precardiac mesoderm, Brm<sup>-/-</sup> cells predominantly became neural precursors, violating germ layer assignment. Trajectory inference showed a sudden acquisition of a non-mesodermal identity in Brm<sup>-/-</sup> cells. Mechanistically, the loss of Brm prevented de novo accessibility of primed cardiac enhancers while increasing the expression of neurogenic factor POU3F1, preventing the binding of the neural suppressor REST and shifting the composition of BRG1 complexes. The identity switch caused by the Brm mutation was overcome by increasing BMP4 levels during mesoderm induction. Mathematical modelling supports these observations and demonstrates that Brm deletion affects cell fate trajectory by modifying saddle-node bifurcations<sup>2</sup>. In the mouse embryo, Brm deletion exacerbated mesoderm-deleted Brg1-mutant phenotypes, severely compromising cardiogenesis, and reveals an in vivo role for Brm. Our results show that Brm is a compensable safeguard of the fidelity of mesoderm chromatin states, and support a model in which developmental canalization is not a rigid irreversible path, but a highly plastic trajectory.","['Animals', 'Bone Morphogenetic Protein 4/metabolism', '*Cell Differentiation', '*Cell Lineage', 'Chromatin/genetics/metabolism', 'Chromatin Assembly and Disassembly', 'DNA Helicases/metabolism', 'Embryo, Mammalian', 'Epigenesis, Genetic', 'Female', 'Gene Expression Regulation', 'Male', 'Mesoderm/*cytology/*metabolism', 'Mice', 'Myocardium/metabolism', 'Myocytes, Cardiac/*cytology', 'Neurogenesis', 'Neurons/cytology/metabolism', 'Nuclear Proteins/metabolism', 'Octamer Transcription Factor-6/metabolism', 'Phenotype', 'Repressor Proteins/metabolism', 'Stem Cells/cytology', 'Time Factors', 'Transcription Factors/deficiency/genetics/*metabolism']","Animal study, Cardiology, DNA, Electrocardiography, Embryology, Epigenetics, Gene expression, Gene regulation, Genotype and phenotype, Laboratory animal science, Neurology, Proteins, Regenerative medicine, Sequence assembly, Transcription factors and regulatory sites, Zoology","['Zoology', 'Sequence assembly', 'Gene expression', 'Gene regulation', 'Genetics', 'Genotype and phenotype', 'Drug metabolism']","Animal study, Cardiology, Cell biology, Embryology, Gene expression, Gene regulation, Genetic engineering, Genetic variation, Genomics, Human biology, Human genetics, Membrane and lipoproteins, Model organisms, Proteins, Regenerative medicine, Zoology","Animal study, Cell culture collection, Embryology, Gene expression, Gene regulation, Genetics, Laboratory animal science, Proteins, Regenerative medicine, Reproductive health, Sequence analysis, Software engineering, Systems medicine, Transcription factors and regulatory sites, Transcriptomics, Zoology"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"The annual migration of a bird can involve thousands of kilometres of nonstop flight, requiring accurately timed seasonal changes in physiology and behaviour. Understanding the molecular mechanisms controlling this endogenous programme can provide functional and evolutionary insights into the circannual biological clock and the potential of migratory species to adapt to changing environments. Under naturally timed photoperiod conditions, we maintained captive Swainson's thrushes (Catharus ustulatus) and performed RNA sequencing (RNA-Seq) of the ventral hypothalamus and optic chiasma to evaluate transcriptome-wide gene expression changes of individuals in migratory condition. We found that 188 genes were differentially expressed in relation to migratory state, 86% of which have not been previously linked to avian migration. Focal hub genes were identified that are candidate variables responsible for the occurrence of migration (e.g. CRABP1). Numerous genes involved in cell adhesion, proliferation and motility were differentially expressed (including RHOJ, PAK1 and TLN1), suggesting that migration-related changes are regulated by seasonal neural plasticity.","['*Animal Migration', 'Animals', '*Gene Expression', 'Photoperiod', '*Seasons', 'Songbirds/*genetics', 'Transcriptome']","Animal study, Gene expression, Laboratory animal science, Pathology, Transcriptomics, Zoology","['Zoology', 'Gene expression', 'Transcriptomics', 'Genetics']","Animal study, Gene expression, Laboratory animal science, Proteins, Transcriptomics, Zoology","Animal study, Gene expression, Laboratory animal science, RNA, Transcriptomics, Zoology"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"The utilization of methane, a potent greenhouse gas, is an important component of local and global carbon cycles that is characterized by tight linkages between methane-utilizing (methanotrophic) and nonmethanotrophic bacteria. It has been suggested that the methanotroph sustains these nonmethanotrophs by cross-feeding, because subsequent products of the methane oxidation pathway, such as methanol, represent alternative carbon sources. We established cocultures in a microcosm model system to determine the mechanism and substrate that underlay the observed cross-feeding in the environment. Lanthanum, a rare earth element, was applied because of its increasing importance in methylotrophy. We used co-occurring strains isolated from Lake Washington sediment that are involved in methane utilization: a methanotroph and two nonmethanotrophic methylotrophs. Gene-expression profiles and mutant analyses suggest that methanol is the dominant carbon and energy source the methanotroph provides to support growth of the nonmethanotrophs. However, in the presence of the nonmethanotroph, gene expression of the dominant methanol dehydrogenase (MDH) shifts from the lanthanide-dependent MDH (XoxF)-type, to the calcium-dependent MDH (MxaF)-type. Correspondingly, methanol is released into the medium only when the methanotroph expresses the MxaF-type MDH. These results suggest a cross-feeding mechanism in which the nonmethanotrophic partner induces a change in expression of methanotroph MDHs, resulting in release of methanol for its growth. This partner-induced change in gene expression that benefits the partner is a paradigm for microbial interactions that cannot be observed in studies of pure cultures, underscoring the importance of synthetic microbial community approaches to understand environmental microbiomes.","['Alcohol Oxidoreductases/metabolism', 'Bacteria/drug effects/*metabolism', 'Bacterial Proteins/metabolism', 'Carbon/*metabolism', 'Gene Expression Regulation, Bacterial/drug effects', 'Lanthanoid Series Elements/*pharmacology', 'Methane/*metabolism', 'Methanol/metabolism', 'Microbial Interactions/*drug effects', 'Oxidation-Reduction/drug effects', 'Washington']","Carbohydrates, Carbon cycle, Gene expression, Gene regulation, Microbial collection, Microbial ecology, Mobile genetic elements, Plant biology, Protein interactions, Proteins","['Proteins', 'Carbon cycle', 'Gene expression', 'Drug metabolism', 'Pharmacology']","Carbon cycle, Gene expression, Gene regulation, Metagenomics, Microbial ecology, Microbiology, Proteins, Software engineering, Synthetic biology, Synthetic chemistry","Biology, Gene expression, Gene regulation, Genetics, Human biology, Human genetics, Microbial ecology, Microbiology, Protein expression, Proteins"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"We designed and constructed a genome-wide microarray with 22,987 70-mer oligonucleotides covering the presently known and predicted genes in the silkworm genome, and surveyed the gene expression in multiple silkworm tissues on day 3 of the fifth instar. Clusters of tissue-prevalent and tissue-specific genes and genes that are differentially expressed in different tissues were identified, and they reflect well major tissue-specific functions on the molecular level. The data presented in this study provide a new resource for annotating the silkworm genome.","['Animals', 'Bombyx/*genetics', 'Drosophila/genetics', 'Female', 'Gene Expression Profiling/*methods', '*Genome, Insect', 'Male', '*Oligonucleotide Array Sequence Analysis', 'Oligonucleotides/chemistry', 'Salivary Glands/metabolism', 'Sex Characteristics']","Animal study, Laboratory animal science, Sequence analysis, Zoology","['Zoology', 'Chemistry', 'Biochemistry', 'Medicinal chemistry', 'Genetics', 'Drug metabolism']","Animal study, Gene expression, Laboratory animal science, Zoology","Animal study, Gene expression, Laboratory animal science, Zoology"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"Influenza A viruses (IAVs) quickly adapt to new environments and are well known to cross species barriers. To reveal a molecular basis for these phenomena, we compared the Ser/Thr and Tyr phosphoproteomes of murine lung epithelial cells early and late after infection with mouse-adapted SC35M virus or its nonadapted SC35 counterpart. With this analysis we identified a large set of upregulated Ser/Thr phosphorylations common to both viral genotypes, while Tyr phosphorylations showed little overlap. Most of the proteins undergoing massive changes of phosphorylation in response to both viruses regulate chromatin structure, RNA metabolism, and cell adhesion, including a focal adhesion kinase (FAK)-regulated network mediating the regulation of actin dynamics. IAV also affected phosphorylation of activation loops of 37 protein kinases, including FAK and several phosphatases, many of which were not previously implicated in influenza virus infection. Inhibition of FAK proved its contribution to IAV infection. Novel phosphorylation sites were found on IAV-encoded proteins, and the functional analysis of selected phosphorylation sites showed that they either support (NA Ser178) or inhibit (PB1 Thr223) virus propagation. Together, these data allow novel insights into IAV-triggered regulatory phosphorylation circuits and signaling networks.<b>IMPORTANCE</b> Infection with IAVs leads to the induction of complex signaling cascades, which apparently serve two opposing functions. On the one hand, the virus highjacks cellular signaling cascades in order to support its propagation; on the other hand, the host cell triggers antiviral signaling networks. Here we focused on IAV-triggered phosphorylation events in a systematic fashion by deep sequencing of the phosphoproteomes. This study revealed a plethora of newly phosphorylated proteins. We also identified 37 protein kinases and a range of phosphatases that are activated or inactivated following IAV infection. Moreover, we identified new phosphorylation sites on IAV-encoded proteins. Some of these phosphorylations support the enzymatic function of viral components, while other phosphorylations are inhibitory, as exemplified by PB1 Thr223 modification. Our global characterization of IAV-triggered patterns of phospho-proteins provides a rich resource to further understand host responses to infection at the level of phosphorylation-dependent signaling networks.","['Animals', 'Antiviral Agents/*pharmacology', 'Cell Line', 'Focal Adhesion Protein-Tyrosine Kinases/metabolism', 'Genome', 'Host-Pathogen Interactions/physiology', 'Humans', 'Influenza A virus/genetics/*metabolism', 'Mice', 'Models, Molecular', 'Orthomyxoviridae Infections/*metabolism', 'Phosphorylation', 'Protein Conformation', 'Proteome/*analysis', 'Signal Transduction/*drug effects', 'Viral Proteins/chemistry/metabolism']","Animal study, Human biology, Human genetics, Laboratory animal science, Molecular modelling, Plant biology, Protein interactions, Proteins, Proteomics, Zoology","['Zoology', 'Human biology', 'Molecular genetics', 'Proteins', 'Sequence analysis', 'Chemistry', 'Biochemistry', 'Medicinal chemistry', 'Genetics', 'Drug metabolism', 'Pharmacology', 'Physiology']","Animal study, Cell culture collection, Infectious disease, Laboratory animal science, Proteins, Proteogenomics, Proteomics, RNA, Respiratory medicine, Zoology","Animal study, Cell culture collection, Gene expression, Gene regulation, Infectious disease, Laboratory animal science, Proteins, Proteogenomics, Proteomics, Zoology"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"Activating mutations in JAK1 have been reported in acute lymphoblastic leukemias (ALLs). In this study, we found a type I interferon (IFN) transcriptional signature in JAK1 mutation-positive human ALL samples. This signature was recapitulated in vitro by the expression of JAK1 mutants in BW5147 and BaF3 hematopoietic cell lines. Binding of JAK1 to the IFN receptor was essential because mutations in the FERM domain abrogated this effect. Beside the constitutive activation of the type I IFN signaling cascade, JAK1 mutations also strongly potentiated the response to IFN in vitro. Typically, the proliferation of cell lines expressing JAK1(A634D) was abrogated by type I IFNs. Interestingly, we found that different JAK1 mutations differentially potentiate responses to type I IFNs or to interleukin-9, another cytokine using JAK1 to mediate its effects. This suggests that the type of mutation influences the specificity of the effect on distinct cytokine receptor signaling. Finally, we also showed in an in vivo leukemia model that cells expressing JAK1(A634D) are hypersensitive to the antiproliferative and antitumorigenic effect of type I IFN, suggesting that type I IFNs should be considered as a potential therapy for ALL with JAK1-activating mutations.","['Animals', 'Blotting, Western', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Clinical Trials as Topic', 'Female', 'Gene Expression', 'Humans', 'Interferon Type I/*immunology/metabolism/pharmacology', 'Janus Kinase 1/*genetics/metabolism', 'Mice', 'Mice, Knockout', 'Mutation', 'Oligonucleotide Array Sequence Analysis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Signal Transduction/*physiology', 'Transcription, Genetic', 'Transfection']","Animal study, DNA mutation, Gene expression, Human biology, Human genetics, Laboratory animal science, Preclinical and clinical studies, Sequence analysis, Zoology","['Zoology', 'Gene expression', 'Genetics', 'Human biology', 'DNA mutation', 'Immunology', 'Immunogenetics', 'Immunoinformatics', 'Drug metabolism', 'Pharmacology', 'Physiology']","Animal study, Antimicrobial Resistance, Human biology, Human genetics, Laboratory animal science, Ontology and terminology, Protein binding sites, Protein variants, Zoology","Animal study, Cell culture collection, Human biology, Human genetics, Laboratory animal science, Pathology, Preclinical and clinical studies, Proteins, Zoology"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"DNA recombination is required for effective segregation and diversification of genomes and for the successful completion of meiosis. Recent studies in various species hybrids have demonstrated a genetic link between DNA recombination and speciation. Consistent with this, we observed a striking suppression of recombination in the hybrids between two nematodes, the hermaphroditic Caenorhabditis briggsae and the gonochoristic C. nigoni. To unravel the molecular basis underlying the recombination suppression in their hybrids, we generated a C. nigoni genome with chromosome-level contiguity and produced an improved C. briggsae genome with resolved gaps up to 2.8 Mb. The genome alignment reveals not only high sequence divergences but also pervasive intra- and inter-chromosomal sequence re-arrangements between the two species, which are plausible culprits for the observed suppression. Comparison of recombination boundary sequences suggests that recombination in the hybrid requires extensive sequence homology, which is rarely seen between the two genomes. The new genomes and genomic libraries form invaluable resources for studying genome evolution, hybrid incompatibilities and sex evolution for this pair of model species.","['Animals', 'Base Sequence', 'Biological Evolution', 'Caenorhabditis/classification/*genetics', 'Chimera/*genetics', 'Chromosome Mapping', 'Crosses, Genetic', 'Female', '*Genome', 'Genomic Library', 'Hermaphroditic Organisms/*genetics', 'Male', 'Meiosis', '*Recombination, Genetic', 'Sequence Alignment']","Animal study, Clone library, DNA replication and recombination, Evolutionary biology, Genetics, Genomics, Laboratory animal science, Model organisms, Zoology","['Zoology', 'Genetics', 'DNA replication and recombination']","Animal study, DNA mutation, DNA packaging, DNA polymorphism, DNA replication and recombination, Gene regulation, Genomic imprinting, Laboratory animal science, Zoology","Animal study, DNA, Genetic variation, Genetics, Laboratory animal science, Model organisms, Nucleic acids, Proteins, Zoology"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"Newborns are frequently affected by mucocutaneous candidiasis. Th17 cells essentially limit mucosal invasion by commensal <i>Candida</i> spp. Here, we sought to understand the molecular basis for the developmental lack of Th17 cell responses in circulating blood neonatal T cells. Naive cord blood CD4 T cells stimulated in Th17-differentiating conditions inherently produced high levels of the interleukin-22 immunoregulatory cytokine, particularly in the presence of neonatal antigen-presenting cells. A genome-wide transcriptome analysis comparing neonatal and adult naïve CD4 T cells <i>ex vivo</i> revealed major developmental differences in gene networks regulating Small Drosophila Mothers Against Decapentaplegic (SMAD) and Signal Transducer and Activator of Transcription 3 (STAT3) signaling. These changes were functionally validated by experiments showing that the requirement for TGF-β in human Th17 cell differentiation is age-dependent. Moreover, STAT3 activity was profoundly diminished while overexpression of the <i>STAT3</i> gene restored Th17 cell differentiation capacity in neonatal T cells. These data reveal that Th17 cell responses are developmentally regulated at the gene expression level in human neonates. These developmental changes may protect newborns against pathological Th17 cell responses, at the same time increasing their susceptibility to mucocutaneous candidiasis.","['Age Factors', 'Cell Differentiation/genetics/immunology', 'Cytokines/biosynthesis', 'Humans', '*Immunomodulation', 'Infant, Newborn', 'Interleukins/*metabolism', 'Lymphocyte Activation/immunology', 'STAT3 Transcription Factor/metabolism', 'T-Lymphocyte Subsets/immunology/metabolism', 'Th17 Cells/*immunology/*metabolism', 'Transforming Growth Factor beta/metabolism']","Cytogenetics, Human biology, Human genetics, Immunogenetics, Immunology, Immunomics, Protein interactions, Transcription factors and regulatory sites","['Human biology', 'Genetics', 'Immunology', 'Immunogenetics', 'Drug metabolism']","Animal study, Gene expression, Gene regulation, Human biology, Human genetics, Immunogenetics, Immunoproteins and antigens, Laboratory animal science","Cell culture collection, Gene expression, Gene regulation, Human biology, Human genetics, Plant biology, Protein binding sites, Transcriptomics"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"Glioblastoma stem cells (GSCs) are implicated in tumor neovascularization, invasiveness, and therapeutic resistance. To illuminate mechanisms governing these hallmark features, we developed a de novo glioblastoma multiforme (GBM) model derived from immortalized human neural stem/progenitor cells (hNSCs) to enable precise system-level comparisons of pre-malignant and oncogene-induced malignant states of NSCs. Integrated transcriptomic and epigenomic analyses uncovered a PAX6/DLX5 transcriptional program driving WNT5A-mediated GSC differentiation into endothelial-like cells (GdECs). GdECs recruit existing endothelial cells to promote peritumoral satellite lesions, which serve as a niche supporting the growth of invasive glioma cells away from the primary tumor. Clinical data reveal higher WNT5A and GdECs expression in peritumoral and recurrent GBMs relative to matched intratumoral and primary GBMs, respectively, supporting WNT5A-mediated GSC differentiation and invasive growth in disease recurrence. Thus, the PAX6/DLX5-WNT5A axis governs the diffuse spread of glioma cells throughout the brain parenchyma, contributing to the lethality of GBM.","['Endothelial Cells/cytology/metabolism', 'Epigenomics', 'Gene Expression Regulation, Neoplastic', 'Glioblastoma/*genetics/*pathology', 'Homeodomain Proteins/metabolism', 'Humans', 'Neoplasm Invasiveness/*genetics', 'Neural Stem Cells/metabolism', 'PAX6 Transcription Factor/metabolism', 'Proto-Oncogene Proteins c-akt/metabolism', 'Transcription Factors/metabolism', 'Wnt-5a Protein/*genetics']","Epigenetics, Epigenomics, Gene expression, Gene regulation, Genomics, Human biology, Human genetics, Proteins, Regenerative medicine","['Epigenomics', 'Genomics', 'Gene expression', 'Gene regulation', 'Human biology', 'Genetics', 'Drug metabolism', 'Pathology']","DNA binding sites, Gene expression, Gene regulation, Human biology, Human genetics, Preclinical and clinical studies, Proteins, Transcription factors and regulatory sites","Animal study, Cell culture collection, Embryology, Human biology, Human genetics, Laboratory animal science, Plant biology, Protein variants, Zoology"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"Genetic variations affecting neural tube closure along the head result in malformations of the face and brain. Neural tube defects (NTDs) are among the most common birth defects in humans. We previously reported a mouse mutant called tuft that arose spontaneously in our wild-type 3H1 colony. Adult tuft mice present midline craniofacial malformations with or without an anterior cephalocele. In addition, affected embryos presented neural tube closure defects resulting in insufficient closure of the anterior neuropore or exencephaly. Here, through whole-genome sequencing, we identified a nonsense mutation in the Tet1 gene, which encodes a methylcytosine dioxygenase (TET1), co-segregating with the tuft phenotype. This mutation resulted in premature termination that disrupts the catalytic domain that is involved in the demethylation of cytosine. We detected a significant loss of TET enzyme activity in the heads of tuft embryos that were homozygous for the mutation and had NTDs. RNA-Seq transcriptome analysis indicated that multiple gene pathways associated with neural tube closure were dysregulated in tuft embryo heads. Among them, the expressions of Cecr2, Epha7 and Grhl2 were significantly reduced in some embryos presenting neural tube closure defects, whereas one or more components of the non-canonical WNT signaling pathway mediating planar cell polarity and convergent extension were affected in others. We further show that the recombinant mutant TET1 protein was capable of entering the nucleus and affected the expression of endogenous Grhl2 in IMCD-3 (inner medullary collecting duct) cells. These results indicate that TET1 is an epigenetic determinant for regulating genes that are crucial to closure of the anterior neural tube and its mutation has implications to craniofacial development, as presented by the tuft mouse.","['Animals', 'Body Size', 'Cell Polarity', 'Codon, Nonsense/genetics', 'DNA-Binding Proteins/genetics', 'Ectoderm/metabolism', 'Embryo, Mammalian/metabolism', 'Gene Expression Regulation, Developmental', 'Homozygote', 'Mice', 'Models, Biological', 'Mutation/*genetics', 'Neural Tube', 'Point Mutation', 'Proto-Oncogene Proteins/genetics', 'RNA/metabolism', 'Transcription Factors/metabolism', 'Wnt Signaling Pathway/genetics']","Animal study, Cell biology, DNA binding sites, DNA mutation, Embryology, Gene expression, Gene regulation, Laboratory animal science, Neurology, Protein binding sites, Proteins, RNA, Zoology","['Zoology', 'Biology', 'Developmental biology', 'Drug development', 'Gene expression', 'Gene regulation', 'DNA mutation', 'RNA', 'Genetics', 'Drug metabolism']","Animal study, Embryology, Epigenetics, Gene expression, Gene regulation, Gene transcripts, Genetics, Laboratory animal science, Neurology, Proteins, Sequence analysis, Transcription factors and regulatory sites, Zoology","Animal study, DNA mutation, Embryology, Gene expression, Gene regulation, Genetic variation, Genetics, Laboratory animal science, Mapping, Mouse clinic, Proteins, Sequence analysis, Zoology"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"Yin and yang 1 (YY1) is a well-known zinc-finger transcription factor with crucial roles in normal development and malignancy. YY1 acts both as a repressor and as an activator of gene expression. We have identified 23 individuals with de novo mutations or deletions of YY1 and phenotypic features that define a syndrome of cognitive impairment, behavioral alterations, intrauterine growth restriction, feeding problems, and various congenital malformations. Our combined clinical and molecular data define ""YY1 syndrome"" as a haploinsufficiency syndrome. Through immunoprecipitation of YY1-bound chromatin from affected individuals' cells with antibodies recognizing both ends of the protein, we show that YY1 deletions and missense mutations lead to a global loss of YY1 binding with a preferential retention at high-occupancy sites. Finally, we uncover a widespread loss of H3K27 acetylation in particular on the YY1-bound enhancers, underscoring a crucial role for YY1 in enhancer regulation. Collectively, these results define a clinical syndrome caused by haploinsufficiency of YY1 through dysregulation of key transcriptional regulators.","['Acetylation', 'Adolescent', 'Base Sequence', 'Child, Preschool', 'Chromatin/*metabolism', 'Chromatin Immunoprecipitation', 'Cohort Studies', 'Enhancer Elements, Genetic/genetics', 'Female', 'Gene Ontology', 'Haploinsufficiency/*genetics', 'Haplotypes/genetics', 'Hemizygote', 'Histones/metabolism', 'Humans', 'Intellectual Disability/*genetics', 'Lymphocytes/metabolism', 'Male', 'Methylation', 'Models, Molecular', 'Mutation, Missense/genetics', 'Protein Binding/genetics', 'Protein Domains', '*Transcription, Genetic', 'YY1 Transcription Factor/chemistry/*genetics']","DNA mutation, Human biology, Human genetics, Mobile genetic elements, Molecular modelling, Paediatrics, Preclinical and clinical studies, Protein binding sites","['Genetics', 'Human biology', 'Molecular genetics', 'Protein binding sites', 'Chemistry', 'Biochemistry', 'Medicinal chemistry', 'Drug metabolism']","Biobank, DNA binding sites, DNA mutation, Gene expression, Gene regulation, Human biology, Human genetics, Sequence analysis","Cytogenetics, DNA binding sites, DNA mutation, Gene expression, Gene regulation, Human biology, Human genetics, Transcription factors and regulatory sites"
ft:gpt-3.5-turbo-0613:personal::8SD8i1on,"Duck enteritis virus (DEV) is an important herpesvirus pathogen associated with acute, highly contagious lethal disease in waterfowls. Using a deep sequencing approach on RNA from infected chicken embryo fibroblast cultures, we identified several novel DEV-encoded micro (mi)RNAs. Unlike most mardivirus-encoded miRNAs, DEV-encoded miRNAs mapped mostly to the unique long region of the genome. The precursors of DEV miR-D18 and miR-D19 overlapped with each other, suggesting similarities to miRNA-offset RNAs, although only the DEV-miR-D18-3p was functional in reporter assays. Identification of these novel miRNAs will add to the growing list of virus-encoded miRNAs enabling the exploration of their roles in pathogenesis.","['Animals', 'Cells, Cultured', 'Chickens', 'Fibroblasts/virology', 'High-Throughput Nucleotide Sequencing', 'Mardivirus/*genetics', 'MicroRNAs/*genetics', 'RNA, Viral/*genetics']","Animal study, Cell culture collection, Laboratory animal science, RNA, Zoology","['Zoology', 'Genetics', 'Virology']","Animal study, Laboratory animal science, RNA, Small molecules, Zoology","Animal study, Gene expression, Infectious disease, Laboratory animal science, Zoology"
